city,lat,lon
Paris,48.8588897,2.320041
Madrid,40.4167047,-3.7035825
Lisbon,38.7077507,-9.1365919
Mexico City,19.3207722,-99.1514678
Berlin,52.510885,13.3989367
London,51.4893335,-0.1440551
Los Angeles,34.0536909,-118.242766
San Diego,32.7174202,-117.162772
Lille,50.6365654,3.0635282
Merida,38.9174665,-6.3443977
"Merida, mexico",20.9670759,-89.6237402
cancun,21.1527467,-86.8425761
merida mexico,20.9670759,-89.6237402
Tequisquiapan,20.5422158,-99.9478987
Nice,43.7009358,7.2683912
San Francisco,37.7792588,-122.4193286
La Paz Mexico,24.1619948,-110.3158532
Oslo,59.9133301,10.7389701
Copenhagen,55.6867243,12.5700724
Acapulco,16.8680495,-99.8940182
Mexicali,32.6405247,-115.474899
Hermosillo,29.0948207,-110.9692202
Miami,25.7741728,-80.19362
Ann Arbor,42.2813722,-83.7484616
Porto,41.1502195,-8.6103497
Buenos Aires,-34.6083696,-58.4440583
Lyon,45.7578137,4.8320114
Biarritz,43.4711438,-1.5527266
Medellin,6.2697325,-75.6025597
Bogota,4.6533817,-74.0836331
"San Jose, Costa Rica",9.93388,-84.08489
"Kingston, Jamaica",17.99702,-76.79358
"Santiago, Chile",-33.45694,-70.64827
Panama City,8.9936,-79.51973
Marrakesh,31.63416,-7.99994
Perth,-31.95224,115.8614
New York,40.71427,-74.00597
Chicago,41.85003,-87.65005
Toronto,43.70643,-79.39864
Vancouver,49.24966,-123.11934
Montreal,45.50884,-73.58781
Seattle,47.60621,-122.33207
Denver,39.73915,-104.9847
Boston,42.35843,-71.05977
"Washington, DC",38.89511,-77.03637
Honolulu,21.30694,-157.85834
Anchorage,61.21806,-149.90028
Sao Paulo,-23.5475,-46.63611
Rio de Janeiro,-22.90642,-43.18223
Lima,-12.04318,-77.02824
Quito,-0.22985,-78.52495
Havana,23.13302,-82.38304
Rome,41.89193,12.51133
Amsterdam,52.37403,4.88969
Barcelona,41.38879,2.15899
Athens,37.98376,23.72784
Vienna,48.20849,16.37208
Zurich,47.36667,8.55
Munich,48.13743,11.57549
Prague,50.08804,14.42076
Warsaw,52.22977,21.01178
Stockholm,59.32938,18.06871
Helsinki,60.16952,24.93545
Dublin,53.33306,-6.24889
Edinburgh,55.95206,-3.19648
Reykjavik,64.13548,-21.89541
Istanbul,41.01384,28.94966
Kyiv,50.45466,30.5238
Cairo,30.06263,31.24967
Cape Town,-33.92584,18.42322
Nairobi,-1.28333,36.81667
Lagos,6.45407,3.39467
Casablanca,33.58831,-7.61138
Accra,5.55602,-0.1969
Addis Ababa,9.02497,38.74689
Dakar,14.6937,-17.44406
Dubai,25.07725,55.30927
Tel Aviv,32.08088,34.78057
Doha,25.28545,51.53096
Tehran,35.69439,51.42151
Tokyo,35.6895,139.69171
Beijing,39.9075,116.39723
Shanghai,31.22222,121.45806
Hong Kong,22.27832,114.17469
Singapore,1.28967,103.85007
Bangkok,13.75398,100.50144
Mumbai,19.07283,72.88261
Delhi,28.65195,77.23149
Seoul,37.566,126.9784
Jakarta,-6.21462,106.84513
Manila,14.6042,120.9822
Hanoi,21.0245,105.84117
Kuala Lumpur,3.1412,101.68653
Taipei,25.05306,121.52639
Colombo,6.93548,79.84868
Kathmandu,27.70169,85.3206
Sydney,-33.86785,151.20732
Melbourne,-37.814,144.96332
Auckland,-36.84853,174.76349
