month,day,avg_daytime_temperature,years_sampled
1,1,28.58,16
1,2,28.7,16
1,3,28.69,16
1,4,28.24,16
1,5,28.18,16
1,6,28.26,16
1,7,28.17,16
1,8,28.18,16
1,9,28.13,16
1,10,28.3,16
1,11,28.08,16
1,12,28.18,16
1,13,28.12,16
1,14,28.15,16
1,15,28.03,16
1,16,27.69,16
1,17,27.98,16
1,18,28.21,16
1,19,28.26,16
1,20,28.01,16
1,21,27.87,16
1,22,27.72,16
1,23,27.81,16
1,24,28.08,16
1,25,28.1,16
1,26,27.94,16
1,27,28.25,16
1,28,28.66,16
1,29,28.23,16
1,30,28.24,16
1,31,28.28,16
2,1,28.27,16
2,2,28.27,16
2,3,28.16,16
2,4,28.12,16
2,5,28.33,16
2,6,28.06,16
2,7,27.87,16
2,8,28.05,16
2,9,28.32,16
2,10,28.32,16
2,11,28.3,16
2,12,28.33,16
2,13,28.36,16
2,14,28.44,16
2,15,28.44,16
2,16,28.46,16
2,17,28.11,16
2,18,28.09,16
2,19,28.63,16
2,20,28.92,16
2,21,28.84,16
2,22,28.65,16
2,23,28.47,16
2,24,28.3,16
2,25,28.26,16
2,26,27.92,16
2,27,27.76,16
2,28,28.01,16
2,29,28.68,4
3,1,28.21,16
3,2,28.41,16
3,3,28.2,16
3,4,28.04,16
3,5,27.94,16
3,6,28.21,16
3,7,28.44,16
3,8,28.42,16
3,9,27.93,16
3,10,27.91,16
3,11,27.98,16
3,12,27.99,16
3,13,27.99,16
3,14,28.1,16
3,15,28.04,16
3,16,28.45,16
3,17,28.45,16
3,18,28.42,16
3,19,28.36,16
3,20,28.48,16
3,21,28.66,16
3,22,28.67,16
3,23,28.66,16
3,24,28.47,16
3,25,28.15,16
3,26,28.3,16
3,27,28.55,16
3,28,28.88,16
3,29,28.81,16
3,30,28.74,16
3,31,28.76,16
4,1,28.65,16
4,2,28.46,16
4,3,28.53,16
4,4,28.53,16
4,5,28.64,16
4,6,28.92,16
4,7,29.08,16
4,8,29.0,16
4,9,29.34,16
4,10,29.38,16
4,11,29.18,16
4,12,29.24,16
4,13,29.22,16
4,14,28.93,16
4,15,29.03,16
4,16,29.29,16
4,17,29.33,16
4,18,28.99,16
4,19,28.94,16
4,20,29.08,16
4,21,29.15,16
4,22,29.22,16
4,23,29.46,16
4,24,29.34,16
4,25,29.38,16
4,26,29.3,16
4,27,29.26,16
4,28,29.11,16
4,29,29.07,16
4,30,29.08,16
5,1,29.09,16
5,2,29.18,16
5,3,29.08,16
5,4,29.41,16
5,5,29.71,16
5,6,29.8,16
5,7,29.79,16
5,8,29.47,16
5,9,29.62,16
5,10,29.5,16
5,11,29.69,16
5,12,29.88,16
5,13,30.15,16
5,14,30.18,16
5,15,30.3,16
5,16,30.09,16
5,17,29.71,16
5,18,29.62,16
5,19,29.68,16
5,20,29.69,16
5,21,29.89,16
5,22,30.06,16
5,23,29.92,16
5,24,29.56,16
5,25,29.86,16
5,26,29.99,16
5,27,29.54,16
