time,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,temperature_2m_mean,temperature_2m_min,temperature_2m_max,sunshine_hours,calendar_month
2010-01-01,0.0,76,37194.77,26.5,23.4,31.0,10.331880555555555,1
2010-01-02,0.0,70,36661.71,27.1,23.4,32.1,10.183808333333333,1
2010-01-03,0.0,74,36136.43,26.8,23.4,31.2,10.037897222222222,1
2010-01-04,2.0,83,36062.13,25.5,23.2,28.7,10.017258333333332,1
2010-01-05,0.6,73,36871.45,26.4,23.2,31.2,10.242069444444443,1
2010-01-06,0.0,70,34530.24,26.4,22.4,30.3,9.591733333333332,1
2010-01-07,0.5,66,31826.46,26.2,23.4,30.0,8.840683333333333,1
2010-01-08,1.1,70,23346.64,25.8,22.7,29.9,6.4851777777777775,1
2010-01-09,2.7,70,29193.04,25.1,22.8,28.8,8.109177777777777,1
2010-01-10,0.0,69,37364.57,25.4,21.5,30.9,10.379047222222223,1
2010-01-11,0.0,65,33947.81,25.4,21.3,31.3,9.429947222222221,1
2010-01-12,0.0,77,31113.54,25.3,21.3,29.3,8.64265,1
2010-01-13,0.0,77,34714.6,25.6,22.6,29.8,9.642944444444444,1
2010-01-14,0.0,77,36925.65,25.8,21.7,29.5,10.257125,1
2010-01-15,2.6,79,37029.79,24.2,20.9,28.4,10.286052777777778,1
2010-01-16,18.7,90,32367.38,22.8,20.6,26.6,8.99093888888889,1
2010-01-17,13.7,89,30485.25,24.3,22.0,27.5,8.468125,1
2010-01-18,0.0,82,36813.89,25.4,22.0,29.5,10.226080555555555,1
2010-01-19,0.0,85,37339.75,25.2,21.1,28.8,10.372152777777778,1
2010-01-20,0.0,85,36601.14,25.5,22.3,28.6,10.166983333333333,1
2010-01-21,0.0,83,37127.22,25.3,22.9,28.4,10.313116666666668,1
2010-01-22,0.0,83,37021.29,24.7,20.8,28.4,10.283691666666668,1
2010-01-23,0.0,82,36809.78,24.0,20.2,27.6,10.224938888888888,1
2010-01-24,0.0,77,36915.1,24.1,22.2,26.7,10.254194444444444,1
2010-01-25,0.0,71,36518.92,24.8,22.0,28.4,10.144144444444445,1
2010-01-26,0.0,73,36995.17,24.0,19.7,28.6,10.27643611111111,1
2010-01-27,0.0,66,37581.66,25.3,20.2,31.3,10.439350000000001,1
2010-01-28,0.0,65,37695.78,26.2,21.6,31.4,10.47105,1
2010-01-29,0.0,69,36271.18,25.8,21.1,31.0,10.075327777777778,1
2010-01-30,0.0,68,29733.06,26.1,22.3,30.5,8.259183333333334,1
2010-01-31,0.0,68,36074.24,26.6,22.7,31.3,10.020622222222222,1
2010-02-01,0.0,71,37793.09,26.5,21.7,31.0,10.498080555555555,2
2010-02-02,0.0,73,37714.38,26.5,21.7,30.8,10.476216666666666,2
2010-02-03,6.4,76,5042.32,24.9,22.8,28.6,1.4006444444444444,2
2010-02-04,69.1,98,0.0,21.8,20.8,23.0,0.0,2
2010-02-05,0.2,80,37837.2,23.8,18.3,28.5,10.510333333333332,2
2010-02-06,0.0,73,38145.35,23.0,18.3,27.1,10.595930555555555,2
2010-02-07,0.0,77,38221.52,22.6,17.7,26.9,10.617088888888889,2
2010-02-08,0.0,77,38084.12,22.7,17.4,27.5,10.578922222222223,2
2010-02-09,0.0,70,38253.97,23.9,19.3,29.5,10.626102777777778,2
2010-02-10,0.0,69,37341.3,25.2,20.8,30.4,10.372583333333335,2
2010-02-11,0.0,76,36154.54,25.5,20.9,29.8,10.042927777777779,2
2010-02-12,0.0,79,32400.0,25.9,23.6,29.4,9.0,2
2010-02-13,0.1,81,38307.57,25.5,22.7,28.9,10.640991666666666,2
2010-02-14,0.0,81,38072.83,24.6,20.2,28.6,10.575786111111112,2
2010-02-15,0.0,78,38423.01,25.2,22.1,28.9,10.673058333333334,2
2010-02-16,0.0,77,37153.68,24.8,20.7,29.5,10.320466666666666,2
2010-02-17,0.3,78,32423.11,25.2,21.7,28.7,9.006419444444445,2
2010-02-18,0.6,76,12530.63,24.3,21.6,27.3,3.480730555555555,2
2010-02-19,0.0,74,38586.96,25.1,21.0,29.4,10.7186,2
2010-02-20,0.0,70,39186.45,25.5,21.1,30.9,10.885124999999999,2
2010-02-21,0.0,61,38087.22,25.5,20.2,31.0,10.579783333333333,2
2010-02-22,0.0,65,38503.28,24.9,21.9,28.3,10.695355555555555,2
2010-02-23,0.1,75,36853.66,24.5,22.2,27.8,10.23712777777778,2
2010-02-24,0.0,74,32551.7,24.4,22.5,26.9,9.04213888888889,2
2010-02-25,0.0,68,39299.15,25.5,23.0,29.1,10.916430555555555,2
2010-02-26,0.0,75,37809.29,24.5,20.6,28.4,10.502580555555555,2
2010-02-27,0.0,74,38886.86,24.4,19.6,28.9,10.801905555555555,2
2010-02-28,0.0,68,38525.74,25.1,20.1,30.2,10.701594444444444,2
2010-03-01,0.0,58,39672.6,25.9,22.0,30.7,11.020166666666666,3
2010-03-02,0.0,66,40061.37,24.4,19.2,29.4,11.128158333333333,3
2010-03-03,0.0,71,40068.23,23.4,17.5,28.8,11.13006388888889,3
2010-03-04,0.0,72,40177.87,24.0,17.5,28.9,11.160519444444445,3
2010-03-05,0.0,72,39128.17,24.7,18.5,30.4,10.868936111111111,3
2010-03-06,0.0,76,39999.43,25.4,21.0,30.4,11.110952777777777,3
2010-03-07,0.0,78,38896.08,25.4,21.0,29.8,10.804466666666666,3
2010-03-08,0.0,78,38763.58,26.0,21.8,29.9,10.767661111111112,3
2010-03-09,0.0,81,39151.2,25.9,23.3,29.6,10.875333333333332,3
2010-03-10,0.2,81,38623.0,25.6,23.5,29.2,10.72861111111111,3
2010-03-11,0.0,77,39402.41,24.8,22.7,28.0,10.94511388888889,3
2010-03-12,0.0,74,39850.5,23.8,21.3,27.3,11.069583333333334,3
2010-03-13,0.0,75,40325.62,23.8,19.2,28.6,11.201561111111111,3
2010-03-14,0.0,74,40696.76,24.4,20.0,28.8,11.304655555555556,3
2010-03-15,0.0,77,39113.9,24.0,18.6,28.1,10.864972222222223,3
2010-03-16,0.0,79,33344.44,24.6,21.0,28.5,9.262344444444444,3
2010-03-17,0.0,73,40933.53,26.0,20.4,30.9,11.370425,3
2010-03-18,0.0,73,40896.57,26.2,22.2,30.7,11.360158333333333,3
2010-03-19,0.0,72,41050.03,26.4,21.2,31.5,11.40278611111111,3
2010-03-20,0.0,76,39349.29,26.0,23.5,29.8,10.930358333333334,3
2010-03-21,0.0,76,41157.05,24.8,21.0,29.5,11.43251388888889,3
2010-03-22,0.0,69,41223.28,24.8,18.6,30.5,11.450911111111111,3
2010-03-23,0.0,64,41280.47,25.9,18.7,32.0,11.466797222222223,3
2010-03-24,0.0,60,40637.88,27.1,21.4,32.5,11.2883,3
2010-03-25,0.0,66,41393.81,27.0,21.3,32.6,11.498280555555555,3
2010-03-26,0.0,68,41423.39,27.2,21.3,31.6,11.506497222222222,3
2010-03-27,0.0,67,41379.7,27.2,21.3,31.9,11.494361111111111,3
2010-03-28,0.0,64,41444.74,27.4,21.5,32.8,11.512427777777777,3
2010-03-29,0.0,65,41455.04,27.0,20.6,32.3,11.51528888888889,3
2010-03-30,0.0,64,41465.12,27.2,20.7,31.8,11.51808888888889,3
2010-03-31,0.0,66,41475.05,27.2,21.2,32.8,11.520847222222223,3
2010-04-01,0.0,66,41484.84,27.5,21.4,33.0,11.523566666666666,4
2010-04-02,0.0,61,41494.52,27.4,20.9,33.2,11.526255555555554,4
