month,day,avg_daytime_temperature,years_sampled
1,1,29.07,16
1,2,29.05,16
1,3,29.1,16
1,4,29.01,16
1,5,28.96,16
1,6,29.03,16
1,7,29.01,16
1,8,28.94,16
1,9,28.73,16
1,10,28.75,16
1,11,28.9,16
1,12,29.0,16
1,13,28.75,16
1,14,28.77,16
1,15,28.87,16
1,16,28.95,16
1,17,28.92,16
1,18,28.89,16
1,19,28.88,16
1,20,28.81,16
1,21,28.98,16
1,22,28.92,16
1,23,28.85,16
1,24,28.88,16
1,25,28.83,16
1,26,28.8,16
1,27,28.87,16
1,28,29.06,16
1,29,28.98,16
1,30,28.94,16
1,31,28.82,16
2,1,28.75,16
2,2,28.85,16
2,3,28.86,16
2,4,29.09,16
2,5,29.04,16
2,6,29.07,16
2,7,29.26,16
2,8,29.17,16
2,9,29.41,16
2,10,29.22,16
2,11,29.4,16
2,12,29.09,16
2,13,29.2,16
2,14,29.06,16
2,15,29.24,16
2,16,29.31,16
2,17,29.31,16
2,18,29.13,16
2,19,29.16,16
2,20,29.37,16
2,21,29.31,16
2,22,29.35,16
2,23,29.12,16
2,24,29.15,16
2,25,29.4,16
2,26,29.08,16
2,27,29.14,16
2,28,29.33,16
2,29,29.76,4
3,1,29.31,16
3,2,29.48,16
3,3,29.25,16
3,4,29.34,16
3,5,29.43,16
3,6,29.57,16
3,7,29.57,16
3,8,29.61,16
3,9,29.55,16
3,10,29.46,16
3,11,29.44,16
3,12,29.58,16
3,13,29.63,16
3,14,29.33,16
3,15,29.66,16
3,16,29.57,16
3,17,29.61,16
3,18,29.29,16
3,19,29.56,16
3,20,29.47,16
3,21,29.63,16
3,22,29.25,16
3,23,29.3,16
3,24,28.96,16
3,25,29.33,16
3,26,29.32,16
3,27,29.72,16
3,28,29.75,16
3,29,29.72,16
3,30,29.61,16
3,31,29.6,16
4,1,29.31,16
4,2,29.24,16
4,3,29.18,16
4,4,29.18,16
4,5,29.41,16
4,6,29.29,16
4,7,29.27,16
4,8,29.09,16
4,9,28.8,16
4,10,28.81,16
4,11,28.89,16
4,12,28.89,16
4,13,29.05,16
4,14,29.15,16
4,15,29.0,16
4,16,29.13,16
4,17,28.95,16
4,18,28.97,16
4,19,29.15,16
4,20,29.17,16
4,21,29.06,16
4,22,29.31,16
4,23,29.01,16
4,24,29.0,16
4,25,29.12,16
4,26,28.5,16
4,27,28.95,16
4,28,28.94,16
4,29,28.91,16
4,30,28.72,16
5,1,28.71,16
5,2,28.84,16
5,3,28.87,16
5,4,28.71,16
5,5,28.92,16
5,6,28.74,16
5,7,28.79,16
5,8,28.51,16
5,9,28.68,16
5,10,28.79,16
5,11,28.25,16
5,12,28.22,16
5,13,28.45,16
5,14,28.36,16
5,15,28.08,16
5,16,27.92,16
5,17,28.02,16
5,18,28.09,16
5,19,28.03,16
5,20,28.04,16
5,21,27.64,16
5,22,27.58,16
5,23,27.71,16
5,24,27.76,16
5,25,27.51,16
5,26,27.68,16
5,27,27.47,16
5,28,27.52,16
5,29,27.37,16
5,30,27.18,16
5,31,27.11,16
6,1,27.22,16
6,2,27.08,16
6,3,26.84,16
6,4,26.83,16
6,5,26.94,16
6,6,26.86,16
6,7,26.77,16
6,8,27.03,16
6,9,26.88,16
6,10,26.26,16
6,11,26.71,16
6,12,26.72,16
6,13,26.75,16
6,14,26.59,16
6,15,26.46,16
6,16,26.35,16
6,17,26.55,16
6,18,26.42,16
6,19,26.45,16
6,20,26.25,16
6,21,25.94,16
6,22,26.16,16
6,23,26.16,16
6,24,25.97,16
6,25,25.94,16
6,26,25.9,16
6,27,26.04,16
6,28,25.88,16
6,29,25.69,16
6,30,25.71,16
7,1,25.84,16
7,2,25.95,16
7,3,25.71,16
7,4,25.73,16
7,5,25.84,16
7,6,25.9,16
7,7,25.97,16
7,8,25.68,16
7,9,25.73,16
7,10,25.77,16
7,11,25.71,16
7,12,25.54,16
7,13,25.69,16
7,14,25.72,16
7,15,25.76,16
7,16,25.35,16
7,17,25.49,16
7,18,25.69,16
7,19,25.71,16
7,20,25.55,16
7,21,25.5,16
7,22,25.54,16
7,23,25.42,16
7,24,25.3,16
7,25,25.2,16
7,26,25.3,16
7,27,25.36,16
7,28,25.32,16
7,29,25.31,16
7,30,25.35,16
7,31,25.25,16
8,1,25.33,16
8,2,25.22,16
8,3,25.31,16
8,4,25.28,16
8,5,25.19,16
8,6,25.28,16
8,7,25.36,16
8,8,25.26,16
8,9,25.26,16
8,10,25.35,16
8,11,25.37,16
8,12,25.39,16
8,13,25.23,16
8,14,25.14,16
8,15,25.13,16
8,16,25.2,16
8,17,25.25,16
8,18,25.34,16
8,19,25.23,16
8,20,25.35,16
8,21,25.26,16
8,22,25.57,16
8,23,25.22,16
8,24,25.32,16
8,25,25.47,16
8,26,25.36,16
8,27,25.36,16
8,28,25.56,16
8,29,25.52,16
8,30,25.58,16
8,31,25.45,16
