month,day,avg_accumulated_precipitation,years_sampled
1,1,0.52,16
1,2,0.94,16
1,3,1.47,16
1,4,2.29,16
1,5,2.65,16
1,6,2.89,16
1,7,3.26,16
1,8,3.69,16
1,9,4.46,16
1,10,4.91,16
1,11,5.32,16
1,12,5.53,16
1,13,6.08,16
1,14,6.69,16
1,15,6.88,16
1,16,7.14,16
1,17,7.41,16
1,18,8.09,16
1,19,9.29,16
1,20,10.31,16
1,21,11.19,16
1,22,12.21,16
1,23,13.12,16
1,24,14.02,16
1,25,14.67,16
1,26,16.21,16
1,27,16.75,16
1,28,17.64,16
1,29,18.41,16
1,30,19.19,16
1,31,20.89,16
2,1,23.76,16
2,2,24.69,16
2,3,25.38,16
2,4,27.18,16
2,5,28.1,16
2,6,28.72,16
2,7,29.64,16
2,8,30.29,16
2,9,30.99,16
2,10,32.06,16
2,11,32.76,16
2,12,34.72,16
2,13,36.42,16
2,14,37.33,16
2,15,38.51,16
2,16,39.79,16
2,17,41.16,16
2,18,42.35,16
2,19,43.2,16
2,20,44.89,16
2,21,45.99,16
2,22,48.47,16
2,23,49.41,16
2,24,50.94,16
2,25,52.32,16
2,26,54.74,16
2,27,56.14,16
2,28,58.31,16
2,29,58.6,4
3,1,61.44,16
3,2,62.56,16
3,3,63.89,16
3,4,65.22,16
3,5,66.23,16
3,6,67.54,16
3,7,68.61,16
3,8,70.26,16
3,9,71.72,16
3,10,72.74,16
3,11,74.78,16
3,12,75.63,16
3,13,77.61,16
3,14,79.37,16
3,15,81.02,16
3,16,82.19,16
3,17,84.97,16
3,18,87.44,16
3,19,88.37,16
3,20,89.68,16
3,21,91.82,16
3,22,93.99,16
3,23,95.56,16
3,24,97.44,16
3,25,99.82,16
3,26,100.47,16
3,27,101.38,16
3,28,102.59,16
3,29,105.25,16
3,30,106.83,16
3,31,109.06,16
4,1,110.06,16
4,2,112.17,16
4,3,116.74,16
4,4,118.19,16
4,5,119.87,16
4,6,122.76,16
4,7,124.31,16
4,8,127.24,16
4,9,130.64,16
4,10,133.32,16
4,11,136.05,16
4,12,139.03,16
4,13,140.66,16
4,14,144.21,16
4,15,146.92,16
4,16,149.97,16
4,17,151.86,16
4,18,153.46,16
4,19,155.03,16
4,20,157.06,16
4,21,159.39,16
4,22,161.26,16
4,23,163.9,16
4,24,167.11,16
4,25,169.27,16
4,26,172.51,16
4,27,175.44,16
4,28,178.84,16
4,29,181.84,16
4,30,183.44,16
5,1,185.61,16
5,2,187.39,16
5,3,190.92,16
5,4,193.32,16
5,5,194.98,16
5,6,197.58,16
5,7,200.43,16
5,8,204.59,16
5,9,207.22,16
5,10,209.85,16
5,11,214.69,16
5,12,217.6,16
5,13,221.42,16
5,14,225.48,16
5,15,229.1,16
5,16,233.91,16
5,17,238.43,16
5,18,240.59,16
5,19,242.17,16
5,20,245.97,16
5,21,252.34,16
5,22,260.93,16
5,23,266.02,16
5,24,269.49,16
5,25,275.34,16
5,26,279.56,16
5,27,283.24,16
5,28,288.62,16
5,29,292.1,16
5,30,298.81,16
5,31,306.11,16
6,1,311.26,16
6,2,317.08,16
6,3,322.06,16
6,4,327.36,16
6,5,334.61,16
6,6,341.72,16
6,7,346.79,16
6,8,351.2,16
6,9,357.56,16
6,10,371.39,16
6,11,375.27,16
6,12,380.96,16
6,13,385.03,16
6,14,390.68,16
6,15,396.7,16
6,16,403.14,16
6,17,408.43,16
6,18,414.47,16
6,19,418.92,16
6,20,423.59,16
6,21,431.86,16
6,22,435.78,16
6,23,438.58,16
6,24,444.01,16
6,25,448.89,16
6,26,452.82,16
6,27,455.78,16
6,28,460.44,16
6,29,465.26,16
6,30,469.01,16
7,1,471.73,16
7,2,474.77,16
7,3,482.84,16
7,4,488.91,16
7,5,491.9,16
7,6,493.89,16
7,7,496.75,16
7,8,499.49,16
7,9,502.33,16
7,10,504.72,16
7,11,506.37,16
7,12,510.14,16
7,13,511.58,16
7,14,512.88,16
7,15,514.71,16
7,16,520.49,16
7,17,524.68,16
7,18,526.38,16
7,19,527.11,16
7,20,528.66,16
7,21,530.28,16
7,22,532.58,16
7,23,534.33,16
7,24,538.19,16
7,25,539.61,16
7,26,541.56,16
7,27,543.02,16
7,28,543.79,16
7,29,544.68,16
