calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,64.13,32.55,114.2,89.56,62.02,117.75,-7.99,-17.8,0.6,82.45,72.0,91.0,-26.8,8.2
2,2,Feb,61.01,30.7,104.1,132.21,89.21,160.99,-6.22,-13.49,0.19,80.64,70.1,89.9,-28.8,6.4
3,3,Mar,45.51,26.55,66.95,244.81,193.28,293.1,-3.84,-11.1,1.55,75.26,63.0,86.0,-20.2,10.8
4,4,Apr,36.61,14.85,76.45,301.32,248.94,350.83,1.82,-2.42,5.4,74.01,63.9,83.0,-16.4,16.2
5,5,May,48.02,26.55,67.65,364.02,281.21,434.4,8.37,4.55,12.4,70.09,56.0,81.0,-4.5,25.4
6,6,Jun,53.26,18.35,80.0,373.94,323.1,455.91,13.46,10.0,16.9,69.79,57.0,83.0,2.6,30.8
7,7,Jul,90.4,44.8,142.9,342.38,282.11,409.94,15.26,12.2,18.4,75.53,61.0,87.0,7.0,32.5
8,8,Aug,127.29,68.8,182.55,270.72,214.68,338.72,14.05,11.65,16.65,79.2,65.0,91.0,5.2,28.0
9,9,Sep,146.09,60.95,204.9,203.94,164.76,252.03,9.38,5.8,12.5,82.11,69.0,92.0,-3.5,20.6
10,10,Oct,103.47,52.0,162.15,162.26,127.18,206.44,2.87,-1.8,7.3,80.74,64.0,93.0,-11.8,15.4
11,11,Nov,70.31,26.85,127.25,100.04,75.47,124.79,-5.1,-13.01,1.1,80.26,65.0,93.0,-24.5,6.1
12,12,Dec,73.85,44.85,97.15,53.99,31.42,88.38,-7.64,-15.65,-0.3,82.2,71.0,91.0,-25.7,7.9
