month,day,avg_accumulated_precipitation,years_sampled
1,1,4.29,16
1,2,5.81,16
1,3,7.8,16
1,4,9.49,16
1,5,10.44,16
1,6,12.59,16
1,7,14.05,16
1,8,15.73,16
1,9,16.46,16
1,10,18.1,16
1,11,19.82,16
1,12,23.45,16
1,13,27.09,16
1,14,29.48,16
1,15,31.4,16
1,16,33.43,16
1,17,36.05,16
1,18,38.3,16
1,19,40.23,16
1,20,41.86,16
1,21,43.68,16
1,22,45.88,16
1,23,48.12,16
1,24,50.39,16
1,25,54.22,16
1,26,56.0,16
1,27,57.79,16
1,28,60.37,16
1,29,62.49,16
1,30,63.14,16
1,31,64.13,16
2,1,66.83,16
2,2,67.71,16
2,3,70.71,16
2,4,71.94,16
2,5,73.24,16
2,6,75.68,16
2,7,76.64,16
2,8,78.23,16
2,9,79.69,16
2,10,81.0,16
2,11,83.14,16
2,12,86.0,16
2,13,88.24,16
2,14,90.78,16
2,15,92.76,16
2,16,95.95,16
2,17,99.01,16
2,18,105.02,16
2,19,106.51,16
2,20,107.99,16
2,21,113.05,16
2,22,115.78,16
2,23,117.11,16
2,24,119.44,16
2,25,120.72,16
2,26,122.54,16
2,27,123.54,16
2,28,124.78,16
2,29,125.14,4
3,1,126.53,16
3,2,127.67,16
3,3,128.69,16
3,4,129.38,16
3,5,131.81,16
3,6,133.19,16
3,7,134.3,16
3,8,136.71,16
3,9,139.67,16
3,10,142.28,16
3,11,143.98,16
3,12,144.35,16
3,13,145.69,16
3,14,147.49,16
3,15,148.77,16
3,16,150.03,16
3,17,152.14,16
3,18,153.36,16
3,19,156.99,16
3,20,157.89,16
3,21,158.39,16
3,22,159.8,16
3,23,160.46,16
3,24,161.44,16
3,25,163.72,16
3,26,164.83,16
3,27,165.53,16
3,28,166.88,16
3,29,168.76,16
3,30,169.64,16
3,31,170.64,16
4,1,171.52,16
4,2,171.87,16
4,3,172.24,16
4,4,174.28,16
4,5,175.75,16
4,6,177.66,16
4,7,180.89,16
4,8,182.4,16
4,9,183.79,16
4,10,184.94,16
4,11,186.28,16
4,12,188.05,16
4,13,189.61,16
4,14,190.84,16
4,15,192.14,16
4,16,193.74,16
4,17,194.95,16
4,18,196.56,16
4,19,198.19,16
4,20,199.26,16
4,21,199.72,16
4,22,201.07,16
4,23,202.25,16
4,24,203.17,16
4,25,203.67,16
4,26,204.07,16
4,27,204.64,16
4,28,205.42,16
4,29,206.46,16
4,30,207.26,16
5,1,209.12,16
5,2,210.39,16
5,3,212.24,16
5,4,214.57,16
5,5,215.68,16
5,6,217.86,16
5,7,218.64,16
5,8,221.18,16
5,9,222.48,16
5,10,223.79,16
5,11,226.26,16
5,12,227.97,16
5,13,228.83,16
5,14,229.55,16
5,15,230.02,16
5,16,231.07,16
5,17,232.81,16
5,18,233.8,16
5,19,235.01,16
5,20,236.31,16
5,21,237.46,16
5,22,238.0,16
5,23,238.86,16
5,24,240.96,16
5,25,242.08,16
5,26,243.55,16
5,27,244.89,16
5,28,246.32,16
5,29,248.47,16
5,30,253.56,16
5,31,255.28,16
6,1,258.13,16
6,2,259.79,16
6,3,261.31,16
6,4,263.49,16
6,5,266.36,16
6,6,268.79,16
6,7,270.59,16
6,8,272.01,16
6,9,274.64,16
6,10,277.15,16
6,11,279.53,16
6,12,281.24,16
6,13,282.58,16
6,14,283.44,16
6,15,286.2,16
6,16,287.42,16
6,17,288.19,16
6,18,289.62,16
6,19,292.1,16
6,20,294.1,16
6,21,295.94,16
6,22,296.4,16
6,23,297.29,16
6,24,298.38,16
6,25,300.21,16
6,26,302.78,16
6,27,304.42,16
6,28,306.46,16
6,29,307.57,16
6,30,308.54,16
7,1,309.81,16
7,2,311.69,16
7,3,313.5,16
7,4,314.73,16
7,5,316.16,16
7,6,319.64,16
7,7,322.31,16
7,8,325.29,16
7,9,326.49,16
7,10,329.8,16
7,11,332.22,16
7,12,334.72,16
7,13,339.82,16
7,14,343.54,16
7,15,346.6,16
7,16,352.42,16
7,17,355.96,16
7,18,357.97,16
7,19,363.84,16
7,20,366.47,16
7,21,369.44,16
7,22,372.88,16
7,23,373.66,16
7,24,377.57,16
7,25,384.67,16
7,26,389.43,16
7,27,391.04,16
7,28,392.74,16
7,29,395.21,16
7,30,397.3,16
7,31,398.94,16
8,1,401.01,16
8,2,406.08,16
8,3,407.81,16
8,4,410.59,16
8,5,413.01,16
8,6,415.89,16
8,7,422.64,16
8,8,430.19,16
8,9,435.4,16
8,10,439.69,16
8,11,444.72,16
8,12,449.78,16
8,13,453.23,16
8,14,455.85,16
8,15,458.74,16
8,16,463.25,16
8,17,468.3,16
8,18,470.38,16
8,19,473.43,16
8,20,476.98,16
8,21,482.09,16
8,22,485.52,16
8,23,490.11,16
8,24,493.76,16
8,25,497.47,16
8,26,501.58,16
8,27,507.97,16
8,28,514.1,16
8,29,519.23,16
8,30,521.68,16
8,31,526.23,16
9,1,529.88,16
9,2,533.69,16
9,3,537.77,16
9,4,542.7,16
9,5,548.49,16
9,6,553.29,16
9,7,558.61,16
9,8,564.59,16
9,9,569.03,16
9,10,572.71,16
9,11,577.58,16
9,12,584.96,16
9,13,589.82,16
9,14,592.7,16
9,15,599.09,16
9,16,605.03,16
9,17,609.67,16
9,18,617.37,16
9,19,625.39,16
9,20,633.24,16
9,21,638.73,16
9,22,644.88,16
9,23,647.92,16
9,24,650.86,16
9,25,655.75,16
9,26,658.22,16
9,27,660.97,16
9,28,663.96,16
9,29,669.36,16
9,30,672.31,16
10,1,677.66,16
10,2,685.87,16
10,3,688.81,16
10,4,691.56,16
10,5,695.71,16
10,6,699.0,16
10,7,701.04,16
10,8,706.05,16
10,9,709.48,16
10,10,712.78,16
10,11,716.05,16
10,12,719.56,16
10,13,725.0,16
10,14,727.92,16
10,15,729.84,16
10,16,735.99,16
10,17,738.03,16
10,18,739.41,16
10,19,741.21,16
10,20,743.04,16
10,21,745.09,16
10,22,745.36,16
10,23,748.24,16
10,24,751.04,16
10,25,755.71,16
10,26,757.91,16
10,27,760.08,16
10,28,765.56,16
10,29,768.15,16
10,30,772.56,16
10,31,775.78,16
11,1,778.24,16
11,2,780.08,16
11,3,782.49,16
11,4,784.56,16
11,5,787.18,16
11,6,790.13,16
11,7,792.01,16
11,8,797.34,16
11,9,800.31,16
11,10,803.96,16
11,11,806.63,16
11,12,808.34,16
11,13,811.42,16
11,14,813.04,16
11,15,814.29,16
11,16,816.8,16
11,17,817.31,16
11,18,818.18,16
11,19,819.7,16
11,20,820.85,16
11,21,823.23,16
11,22,825.69,16
11,23,827.16,16
11,24,829.2,16
11,25,832.82,16
11,26,835.25,16
11,27,839.83,16
11,28,842.81,16
11,29,843.88,16
11,30,846.09,16
12,1,848.19,16
12,2,850.64,16
12,3,852.96,16
12,4,855.45,16
12,5,856.7,16
12,6,858.91,16
12,7,862.8,16
12,8,865.38,16
12,9,869.31,16
12,10,870.84,16
12,11,875.68,16
12,12,879.54,16
12,13,880.88,16
12,14,883.64,16
12,15,886.4,16
12,16,888.0,16
12,17,889.72,16
12,18,892.15,16
12,19,894.89,16
12,20,896.63,16
12,21,897.61,16
12,22,899.94,16
12,23,901.25,16
12,24,903.37,16
12,25,905.89,16
12,26,907.56,16
12,27,908.86,16
12,28,910.88,16
12,29,912.36,16
12,30,916.69,16
12,31,919.94,16
