time,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,temperature_2m_mean,temperature_2m_min,temperature_2m_max,sunshine_hours,calendar_month
2010-01-01,0.0,70,28342.12,-6.0,-9.6,-2.7,7.872811111111111,1
2010-01-02,0.0,67,28282.58,-12.2,-14.2,-10.1,7.8562722222222225,1
2010-01-03,0.0,69,25674.45,-11.6,-15.7,-6.1,7.1317916666666665,1
2010-01-04,0.5,73,10800.0,-7.9,-9.6,-5.2,3.0,1
2010-01-05,0.0,79,17618.38,-7.4,-10.6,-3.6,4.893994444444445,1
2010-01-06,0.0,80,10079.49,-4.8,-6.2,-2.7,2.7998583333333333,1
2010-01-07,5.9,88,0.0,-5.2,-6.3,-3.5,0.0,1
2010-01-08,2.3,83,10345.81,-6.5,-9.1,-5.3,2.873836111111111,1
2010-01-09,0.0,78,29533.33,-11.8,-16.7,-6.3,8.203702777777778,1
2010-01-10,0.0,77,25636.86,-11.7,-17.5,-4.7,7.1213500000000005,1
2010-01-11,1.4,78,6613.02,-7.6,-11.8,-4.3,1.83695,1
2010-01-12,0.0,82,29465.97,-7.3,-10.8,-4.7,8.184991666666667,1
2010-01-13,0.0,83,29981.05,-4.4,-7.8,-0.2,8.328069444444445,1
2010-01-14,0.0,84,30108.29,-0.5,-3.7,2.9,8.36341388888889,1
2010-01-15,0.2,88,2349.12,0.8,-1.3,2.4,0.6525333333333333,1
2010-01-16,0.0,85,25268.3,-1.3,-3.5,1.4,7.018972222222222,1
2010-01-17,0.0,90,16407.13,-1.7,-7.1,1.5,4.557536111111111,1
2010-01-18,0.0,91,443.22,-2.9,-8.5,0.1,0.12311666666666668,1
2010-01-19,0.0,84,1535.98,-1.5,-3.4,0.8,0.4266611111111111,1
2010-01-20,0.0,75,30615.96,-3.3,-5.2,-0.8,8.504433333333333,1
2010-01-21,0.0,75,30661.11,-3.2,-6.4,0.6,8.516975,1
2010-01-22,0.0,79,1937.33,-0.2,-1.4,1.5,0.5381472222222222,1
2010-01-23,0.0,86,158.89,-0.1,-2.2,2.4,0.044136111111111105,1
2010-01-24,11.1,91,0.0,4.8,1.9,8.7,0.0,1
2010-01-25,2.7,81,2146.32,1.2,-1.6,5.4,0.5962000000000001,1
2010-01-26,0.0,65,20765.71,-2.8,-5.1,-1.0,5.768252777777778,1
2010-01-27,0.2,59,26369.32,-5.6,-8.5,-3.0,7.324811111111111,1
2010-01-28,0.1,52,30587.78,-8.3,-13.3,-3.5,8.496605555555556,1
2010-01-29,0.0,48,32020.35,-11.8,-15.1,-6.9,8.894541666666667,1
2010-01-30,0.0,50,30643.96,-9.6,-12.1,-5.7,8.51221111111111,1
2010-01-31,0.0,59,29420.63,-7.9,-12.5,-2.3,8.172397222222223,1
2010-02-01,0.0,62,13922.56,-7.2,-11.9,-2.6,3.8673777777777776,2
2010-02-02,1.9,77,12524.6,-4.9,-8.3,-1.0,3.4790555555555556,2
2010-02-03,0.0,78,6783.13,-2.5,-5.3,0.5,1.884202777777778,2
2010-02-04,0.0,72,26454.65,-4.0,-8.0,1.2,7.348513888888889,2
2010-02-05,1.8,74,6313.97,-2.4,-4.9,1.1,1.7538805555555557,2
2010-02-06,0.6,61,32378.01,-6.1,-8.8,-2.7,8.993891666666666,2
2010-02-07,0.0,56,31877.4,-6.1,-9.5,-1.0,8.854833333333334,2
2010-02-08,0.0,54,33587.13,-4.1,-9.3,0.4,9.329758333333332,2
2010-02-09,11.1,77,0.0,-4.8,-5.9,-3.5,0.0,2
2010-02-10,4.5,81,7488.92,-5.6,-7.1,-4.3,2.0802555555555555,2
2010-02-11,0.0,78,32247.04,-7.3,-10.4,-2.4,8.957511111111112,2
2010-02-12,0.0,78,27784.52,-7.8,-13.7,-1.8,7.717922222222223,2
2010-02-13,0.0,78,34024.96,-8.7,-16.6,-2.0,9.451377777777777,2
2010-02-14,0.0,80,34576.01,-5.4,-10.4,0.2,9.604447222222223,2
2010-02-15,0.0,75,32772.45,-5.1,-10.2,-1.4,9.103458333333332,2
2010-02-16,1.4,78,12993.94,-4.4,-6.8,-1.3,3.609427777777778,2
2010-02-17,0.0,81,18299.65,-3.5,-7.2,0.8,5.083236111111112,2
2010-02-18,0.0,74,33053.34,-1.7,-3.6,2.2,9.181483333333333,2
2010-02-19,0.0,69,35143.0,-2.8,-6.0,2.3,9.761944444444444,2
2010-02-20,0.0,69,33524.4,-3.3,-8.9,3.3,9.312333333333333,2
2010-02-21,0.5,69,32513.89,0.5,-2.3,4.3,9.03163611111111,2
2010-02-22,14.8,90,729.7,-1.5,-3.3,-0.4,0.20269444444444445,2
2010-02-23,0.2,83,30473.77,-3.1,-6.1,1.6,8.464936111111111,2
2010-02-24,3.2,88,4798.31,-5.4,-11.9,-0.2,1.332863888888889,2
2010-02-25,0.7,80,7042.66,-5.2,-8.0,-2.9,1.9562944444444443,2
2010-02-26,5.7,81,0.0,-7.2,-9.9,-4.7,0.0,2
2010-02-27,0.7,85,4257.09,-1.5,-4.6,1.3,1.182525,2
2010-02-28,0.0,84,25311.88,-0.1,-2.9,3.7,7.031077777777778,2
2010-03-01,0.0,83,33203.3,-0.9,-5.2,2.8,9.22313888888889,3
2010-03-02,0.0,81,34235.95,-4.0,-9.6,1.9,9.509986111111111,3
2010-03-03,0.0,77,36370.53,-3.2,-7.0,3.2,10.102924999999999,3
2010-03-04,0.0,67,37618.54,-3.5,-8.9,2.9,10.449594444444445,3
2010-03-05,0.0,74,37718.37,-3.7,-11.6,3.6,10.477325,3
2010-03-06,0.0,71,37824.73,-1.7,-9.2,5.8,10.506869444444446,3
2010-03-07,0.0,73,37917.39,-0.5,-7.0,6.9,10.532608333333334,3
2010-03-08,0.0,72,38057.46,1.2,-5.9,11.1,10.571516666666666,3
2010-03-09,0.0,71,38119.37,4.2,-2.5,12.3,10.58871388888889,3
2010-03-10,1.2,82,33003.82,6.7,3.0,12.5,9.167727777777777,3
2010-03-11,5.9,86,31441.68,8.2,2.6,15.1,8.7338,3
2010-03-12,3.2,92,16114.87,9.8,6.7,13.6,4.476352777777778,3
2010-03-13,15.6,95,0.0,6.4,3.3,8.0,0.0,3
2010-03-14,5.9,87,404.18,3.9,2.2,5.9,0.11227222222222222,3
2010-03-15,0.0,71,30285.93,6.1,2.6,12.0,8.412758333333333,3
2010-03-16,0.0,55,39424.54,6.9,-0.4,15.3,10.951261111111112,3
2010-03-17,0.0,59,39721.45,7.1,-2.1,16.1,11.03373611111111,3
2010-03-18,0.0,56,39676.47,8.2,0.3,16.6,11.021241666666667,3
2010-03-19,0.0,70,39167.11,10.4,4.8,16.8,10.879752777777778,3
2010-03-20,0.0,71,33850.04,3.5,-0.1,8.5,9.402788888888889,3
2010-03-21,0.0,64,38747.73,3.2,-1.6,9.6,10.763258333333335,3
2010-03-22,4.8,68,12990.74,3.5,1.7,7.1,3.608538888888889,3
2010-03-23,0.0,69,37430.27,5.9,2.4,11.3,10.397297222222221,3
2010-03-24,0.0,60,39600.0,5.8,-1.6,13.1,11.0,3
2010-03-25,3.4,66,43.55,3.9,-1.7,7.2,0.012097222222222221,3
2010-03-26,0.0,39,41268.45,-1.2,-5.0,3.4,11.463458333333332,3
2010-03-27,0.0,61,40300.26,0.7,-4.9,6.9,11.194516666666667,3
2010-03-28,11.2,87,0.0,4.1,1.1,7.3,0.0,3
2010-03-29,0.0,74,41472.3,4.6,-0.2,9.6,11.520083333333334,3
2010-03-30,0.0,69,41787.93,4.9,-1.7,12.8,11.607758333333333,3
2010-03-31,0.0,72,41875.39,9.9,0.6,19.6,11.632052777777778,3
2010-04-01,0.0,70,41118.54,16.4,10.0,23.9,11.421816666666667,4
2010-04-02,0.0,65,37550.81,18.6,13.0,24.7,10.430780555555556,4
2010-04-03,1.4,62,30965.64,15.1,9.8,22.3,8.601566666666667,4
2010-04-04,0.0,63,40625.94,12.7,4.3,19.3,11.284983333333335,4
2010-04-05,1.8,61,42863.91,16.0,11.1,21.4,11.906641666666667,4
2010-04-06,9.3,78,18440.26,17.3,11.9,23.5,5.122294444444444,4
2010-04-07,22.3,75,474.14,18.1,15.3,20.7,0.13170555555555555,4
2010-04-08,5.5,75,7462.86,8.9,2.6,15.4,2.0730166666666667,4
2010-04-09,0.0,54,33092.84,3.4,0.1,8.1,9.192455555555554,4
2010-04-10,0.0,59,44030.32,8.5,-2.3,18.9,12.230644444444444,4
2010-04-11,0.4,59,38688.11,11.9,7.9,17.4,10.746697222222222,4
2010-04-12,0.0,46,37950.22,9.4,2.1,15.4,10.541727777777778,4
2010-04-13,7.4,68,29057.53,8.7,5.6,12.2,8.071536111111111,4
2010-04-14,0.0,60,44670.13,11.0,5.6,17.1,12.408369444444444,4
2010-04-15,0.0,61,44826.36,17.0,8.5,26.1,12.451766666666666,4
2010-04-16,0.7,57,43103.71,15.6,8.2,18.3,11.973252777777777,4
2010-04-17,0.0,48,28729.27,5.5,3.2,8.1,7.980352777777778,4
2010-04-18,0.0,65,27437.25,5.9,1.3,9.5,7.621458333333333,4
2010-04-19,0.0,66,45443.41,8.5,0.9,15.7,12.623169444444445,4
2010-04-20,0.0,60,41094.53,9.3,2.3,16.3,11.415147222222222,4
2010-04-21,0.0,63,45749.11,11.1,3.0,19.0,12.708086111111111,4
2010-04-22,0.0,63,43922.51,8.5,2.7,14.5,12.200697222222223,4
2010-04-23,0.0,54,36550.92,8.8,0.8,15.8,10.153033333333333,4
2010-04-24,7.3,72,8742.82,11.5,8.8,15.7,2.428561111111111,4
2010-04-25,14.8,90,14436.56,11.8,9.7,15.1,4.0101555555555555,4
2010-04-26,3.0,58,40491.48,11.4,8.3,16.5,11.247633333333335,4
2010-04-27,0.0,45,46533.03,7.1,2.6,11.3,12.925841666666667,4
2010-04-28,0.0,57,36934.93,7.1,-0.2,13.1,10.259702777777777,4
2010-04-29,0.5,62,40659.95,10.0,1.3,16.6,11.294430555555556,4
2010-04-30,0.0,65,46774.81,18.0,10.8,25.5,12.993002777777777,4
2010-05-01,5.4,76,9058.74,19.4,17.9,22.4,2.5163166666666665,5
2010-05-02,15.0,88,20041.11,19.3,16.8,24.0,5.566975,5
2010-05-03,0.5,69,43200.0,16.9,11.9,21.8,12.0,5
2010-05-04,0.0,65,46842.18,16.4,11.3,21.0,13.011716666666667,5
2010-05-05,4.3,58,46311.07,17.4,13.1,23.6,12.864186111111112,5
2010-05-06,0.0,54,45619.11,13.4,9.9,17.1,12.671975,5
2010-05-07,19.3,82,11318.69,11.7,9.1,17.1,3.1440805555555555,5
2010-05-08,0.8,66,40777.52,8.7,5.7,12.5,11.327088888888888,5
2010-05-09,0.0,47,47075.79,6.8,1.4,12.4,13.076608333333333,5
2010-05-10,0.0,51,46964.35,7.7,1.6,12.9,13.045652777777777,5
2010-05-11,26.0,83,405.07,8.4,7.5,9.4,0.11251944444444444,5
2010-05-12,0.0,80,5584.88,9.4,6.7,12.4,1.5513555555555556,5
2010-05-13,15.5,87,8945.25,13.2,8.1,22.8,2.4847916666666667,5
2010-05-14,0.6,68,46907.14,15.8,12.2,19.1,13.02976111111111,5
2010-05-15,0.0,63,34261.75,13.2,8.7,17.8,9.517152777777778,5
2010-05-16,0.0,65,47245.3,12.8,7.3,17.4,13.123694444444446,5
2010-05-17,5.1,70,26341.51,13.3,9.7,17.5,7.31708611111111,5
2010-05-18,7.1,84,492.08,11.7,9.7,14.7,0.1366888888888889,5
