month,day,avg_accumulated_precipitation,years_sampled
1,1,2.14,16
1,2,3.31,16
1,3,6.1,16
1,4,6.53,16
1,5,8.28,16
1,6,8.68,16
1,7,9.66,16
1,8,10.79,16
1,9,13.13,16
1,10,15.72,16
1,11,22.0,16
1,12,26.73,16
1,13,28.54,16
1,14,28.76,16
1,15,29.81,16
1,16,30.78,16
1,17,32.51,16
1,18,34.79,16
1,19,36.57,16
1,20,37.59,16
1,21,38.09,16
1,22,39.19,16
1,23,42.34,16
1,24,44.89,16
1,25,46.99,16
1,26,49.64,16
1,27,50.85,16
1,28,52.91,16
1,29,55.01,16
1,30,56.91,16
1,31,58.79,16
2,1,62.06,16
2,2,65.41,16
2,3,66.22,16
2,4,67.66,16
2,5,69.12,16
2,6,70.55,16
2,7,72.49,16
2,8,73.51,16
2,9,77.27,16
2,10,78.59,16
2,11,79.87,16
2,12,81.56,16
2,13,82.58,16
2,14,83.07,16
2,15,84.5,16
2,16,86.44,16
2,17,89.88,16
2,18,90.49,16
2,19,91.74,16
2,20,97.64,16
2,21,99.84,16
2,22,103.55,16
2,23,103.96,16
2,24,108.47,16
2,25,110.32,16
2,26,112.87,16
2,27,115.75,16
2,28,118.16,16
2,29,119.09,4
3,1,125.43,16
3,2,127.14,16
3,3,130.15,16
3,4,131.12,16
3,5,134.52,16
3,6,135.67,16
3,7,137.27,16
3,8,138.66,16
3,9,141.12,16
3,10,142.77,16
3,11,144.82,16
3,12,147.34,16
3,13,150.77,16
3,14,152.69,16
3,15,153.76,16
3,16,155.78,16
3,17,156.44,16
3,18,158.59,16
3,19,159.98,16
3,20,161.07,16
3,21,161.42,16
3,22,163.21,16
3,23,166.66,16
3,24,168.77,16
3,25,171.11,16
3,26,174.05,16
3,27,175.82,16
3,28,179.03,16
3,29,180.89,16
3,30,185.97,16
3,31,189.76,16
4,1,191.24,16
4,2,195.02,16
4,3,198.35,16
4,4,200.57,16
4,5,203.62,16
4,6,207.78,16
4,7,210.77,16
4,8,213.72,16
4,9,215.84,16
4,10,218.67,16
4,11,223.56,16
4,12,226.14,16
4,13,227.76,16
4,14,231.59,16
4,15,235.34,16
4,16,237.32,16
4,17,239.52,16
4,18,242.92,16
4,19,247.36,16
4,20,251.14,16
4,21,253.12,16
4,22,254.67,16
4,23,256.38,16
4,24,258.33,16
4,25,262.41,16
4,26,265.21,16
4,27,267.59,16
4,28,271.04,16
4,29,275.56,16
4,30,280.33,16
5,1,282.91,16
5,2,285.67,16
5,3,288.9,16
5,4,293.91,16
5,5,296.18,16
5,6,299.12,16
5,7,302.16,16
5,8,302.84,16
5,9,304.65,16
5,10,308.28,16
5,11,312.81,16
5,12,316.54,16
5,13,319.96,16
5,14,323.84,16
5,15,328.49,16
5,16,330.31,16
5,17,332.89,16
5,18,337.15,16
5,19,340.19,16
5,20,341.68,16
5,21,345.35,16
5,22,347.85,16
5,23,349.17,16
5,24,350.49,16
5,25,353.19,16
5,26,357.38,16
5,27,360.67,16
5,28,365.48,16
5,29,368.03,16
5,30,370.78,16
5,31,376.41,16
6,1,379.68,16
6,2,382.45,16
6,3,383.06,16
6,4,386.23,16
6,5,391.03,16
6,6,393.05,16
6,7,394.43,16
6,8,396.71,16
6,9,400.51,16
6,10,406.02,16
6,11,407.98,16
6,12,409.21,16
6,13,413.63,16
6,14,416.67,16
6,15,419.28,16
6,16,423.04,16
6,17,424.76,16
6,18,427.89,16
6,19,429.71,16
6,20,432.93,16
6,21,435.82,16
6,22,438.47,16
6,23,443.19,16
6,24,446.13,16
6,25,452.76,16
6,26,457.61,16
6,27,463.7,16
6,28,465.11,16
6,29,467.26,16
6,30,469.23,16
7,1,471.08,16
7,2,472.4,16
7,3,473.35,16
7,4,473.84,16
7,5,475.24,16
7,6,478.49,16
7,7,481.47,16
7,8,487.57,16
7,9,491.81,16
7,10,498.56,16
7,11,499.86,16
7,12,502.11,16
7,13,505.49,16
7,14,507.63,16
7,15,510.22,16
7,16,518.14,16
7,17,520.22,16
7,18,522.99,16
7,19,525.23,16
7,20,528.89,16
7,21,530.14,16
7,22,535.39,16
7,23,540.64,16
7,24,542.28,16
7,25,542.66,16
7,26,546.84,16
7,27,549.81,16
7,28,553.46,16
7,29,555.38,16
7,30,557.35,16
7,31,560.33,16
8,1,562.78,16
8,2,565.99,16
8,3,568.17,16
8,4,569.93,16
8,5,572.78,16
8,6,575.89,16
8,7,577.91,16
8,8,580.37,16
8,9,582.36,16
8,10,584.13,16
8,11,588.5,16
8,12,592.07,16
8,13,593.82,16
8,14,596.56,16
8,15,600.13,16
8,16,605.43,16
8,17,608.77,16
8,18,610.26,16
8,19,612.34,16
8,20,614.12,16
8,21,615.66,16
8,22,616.44,16
8,23,619.0,16
8,24,621.44,16
8,25,623.68,16
8,26,624.88,16
8,27,628.71,16
8,28,632.75,16
8,29,634.92,16
8,30,636.05,16
8,31,636.44,16
9,1,637.83,16
9,2,638.89,16
9,3,640.05,16
9,4,642.2,16
9,5,642.88,16
9,6,644.81,16
9,7,648.17,16
9,8,651.36,16
9,9,652.34,16
9,10,656.56,16
9,11,659.95,16
9,12,662.39,16
9,13,664.74,16
9,14,666.0,16
9,15,667.06,16
9,16,668.4,16
9,17,671.02,16
9,18,672.13,16
9,19,674.48,16
9,20,677.08,16
9,21,679.89,16
9,22,684.28,16
9,23,687.38,16
9,24,688.96,16
9,25,692.42,16
9,26,696.82,16
9,27,697.99,16
9,28,702.11,16
9,29,706.08,16
9,30,708.53,16
10,1,709.6,16
10,2,711.22,16
10,3,714.17,16
10,4,716.31,16
10,5,718.05,16
10,6,721.56,16
10,7,724.04,16
10,8,725.04,16
10,9,725.78,16
10,10,726.64,16
10,11,729.71,16
10,12,731.96,16
10,13,735.12,16
10,14,740.06,16
10,15,742.31,16
10,16,744.15,16
10,17,744.85,16
10,18,746.09,16
10,19,751.79,16
10,20,754.98,16
10,21,758.26,16
10,22,758.9,16
10,23,761.39,16
10,24,764.13,16
10,25,768.39,16
10,26,772.23,16
10,27,773.49,16
10,28,776.67,16
10,29,778.96,16
10,30,781.39,16
10,31,787.24,16
11,1,789.16,16
11,2,791.32,16
11,3,791.91,16
11,4,792.86,16
11,5,793.4,16
11,6,795.44,16
11,7,795.92,16
11,8,797.49,16
11,9,799.54,16
11,10,801.0,16
11,11,802.82,16
11,12,804.57,16
11,13,805.04,16
11,14,807.22,16
11,15,809.35,16
11,16,810.31,16
11,17,812.34,16
11,18,815.94,16
11,19,816.83,16
11,20,817.28,16
11,21,820.33,16
11,22,823.12,16
11,23,825.23,16
11,24,827.48,16
11,25,830.6,16
11,26,832.51,16
11,27,837.23,16
11,28,838.64,16
11,29,842.95,16
11,30,845.72,16
12,1,847.81,16
12,2,849.28,16
12,3,850.28,16
12,4,852.05,16
12,5,853.94,16
12,6,854.36,16
12,7,854.81,16
12,8,855.32,16
12,9,857.18,16
12,10,858.78,16
12,11,860.95,16
12,12,863.88,16
12,13,864.54,16
12,14,867.11,16
12,15,869.59,16
12,16,871.26,16
12,17,872.21,16
12,18,873.69,16
12,19,873.96,16
12,20,876.28,16
12,21,879.53,16
12,22,881.4,16
12,23,883.42,16
12,24,885.86,16
12,25,887.21,16
12,26,889.8,16
12,27,892.39,16
12,28,895.53,16
12,29,899.48,16
12,30,902.84,16
12,31,905.71,16
