calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,59.31,28.45,90.85,226.04,205.49,241.26,8.88,4.4,12.7,76.65,66.0,87.0,-3.2,20.1
2,2,Feb,59.38,28.3,88.9,230.39,203.4,254.67,9.9,5.6,13.4,75.43,65.0,85.0,-1.4,21.8
3,3,Mar,45.75,17.6,80.4,297.48,278.77,309.99,11.88,8.5,15.0,70.42,59.0,82.0,-2.3,25.2
4,4,Apr,31.31,3.8,65.4,345.38,318.8,370.47,15.68,12.1,19.3,62.35,47.0,76.0,2.9,30.7
5,5,May,29.04,7.45,43.45,381.18,361.45,396.54,20.44,16.9,23.8,57.01,44.0,71.0,8.5,35.3
6,6,Jun,25.19,3.5,56.2,410.38,392.63,420.62,25.38,21.4,29.3,52.23,37.0,67.0,12.6,43.8
7,7,Jul,7.16,0.2,21.0,422.66,418.35,425.36,28.49,25.7,31.3,44.76,32.0,58.0,18.6,43.4
8,8,Aug,8.07,0.3,23.9,400.27,397.87,402.51,28.02,25.7,30.3,47.17,36.0,58.0,18.2,43.5
9,9,Sep,20.88,2.2,50.3,343.83,325.39,353.11,24.06,20.79,27.0,56.64,43.0,71.0,11.5,38.6
10,10,Oct,30.25,3.95,68.3,292.57,270.71,312.65,18.8,15.05,22.1,66.95,54.0,81.0,7.1,33.4
11,11,Nov,61.56,13.3,132.75,243.91,222.46,260.52,14.77,10.99,18.5,75.24,64.0,86.0,2.9,27.4
12,12,Dec,82.51,17.3,156.35,224.38,207.35,242.46,10.77,6.9,14.3,77.4,68.0,87.0,0.4,22.4
