month,day,avg_daytime_temperature,years_sampled
1,1,19.76,16
1,2,20.04,16
1,3,20.5,16
1,4,20.0,16
1,5,20.06,16
1,6,20.22,16
1,7,20.36,16
1,8,20.33,16
1,9,20.43,16
1,10,20.7,16
1,11,20.85,16
1,12,20.94,16
1,13,20.74,16
1,14,20.41,16
1,15,20.88,16
1,16,20.81,16
1,17,20.8,16
1,18,21.04,16
1,19,21.36,16
1,20,20.98,16
1,21,20.8,16
1,22,20.78,16
1,23,20.85,16
1,24,20.91,16
1,25,21.24,16
1,26,21.44,16
1,27,21.05,16
1,28,21.29,16
1,29,21.38,16
1,30,21.59,16
1,31,21.82,16
2,1,21.6,16
2,2,22.02,16
2,3,21.6,16
2,4,21.36,16
2,5,21.14,16
2,6,21.13,16
2,7,21.29,16
2,8,21.26,16
2,9,21.1,16
2,10,21.18,16
2,11,21.14,16
2,12,21.2,16
2,13,21.27,16
2,14,21.05,16
2,15,21.03,16
2,16,21.01,16
2,17,21.23,16
2,18,21.62,16
2,19,21.61,16
2,20,21.85,16
2,21,21.48,16
2,22,21.41,16
2,23,21.15,16
2,24,20.92,16
2,25,20.93,16
2,26,21.23,16
2,27,21.22,16
2,28,21.23,16
2,29,21.35,4
3,1,20.89,16
3,2,21.08,16
3,3,20.86,16
3,4,20.95,16
3,5,20.46,16
3,6,20.24,16
3,7,20.2,16
3,8,20.15,16
3,9,20.36,16
3,10,20.51,16
3,11,20.7,16
3,12,20.2,16
3,13,20.51,16
3,14,20.31,16
3,15,20.24,16
3,16,20.02,16
3,17,20.17,16
3,18,19.59,16
3,19,18.93,16
3,20,19.43,16
3,21,19.71,16
3,22,19.9,16
3,23,19.7,16
3,24,19.72,16
3,25,19.69,16
3,26,19.98,16
3,27,20.04,16
3,28,19.61,16
3,29,19.07,16
3,30,19.3,16
3,31,19.34,16
4,1,19.58,16
4,2,19.67,16
4,3,19.45,16
4,4,19.45,16
4,5,18.88,16
4,6,18.42,16
4,7,18.53,16
4,8,18.26,16
4,9,18.56,16
4,10,18.6,16
4,11,18.44,16
4,12,18.58,16
4,13,18.18,16
4,14,17.89,16
4,15,17.89,16
4,16,18.23,16
4,17,18.18,16
4,18,17.89,16
4,19,17.85,16
4,20,18.27,16
