calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,88.66,12.85,211.7,370.12,342.82,402.97,19.71,17.7,21.55,74.7,64.0,84.0,11.7,26.6
2,2,Feb,79.18,17.3,168.95,314.78,280.86,343.13,20.24,18.7,21.8,75.62,66.0,85.0,12.9,26.7
3,3,Mar,81.89,30.45,144.85,317.4,293.69,342.14,18.82,16.9,20.5,75.91,66.0,85.0,8.8,26.4
4,4,Apr,94.62,42.75,152.15,273.42,244.63,297.34,17.09,15.2,19.2,79.38,71.0,88.0,9.1,23.4
5,5,May,100.56,55.05,151.4,251.02,235.49,270.99,14.72,12.25,17.2,81.26,71.0,90.0,5.2,21.5
6,6,Jun,105.16,61.4,151.7,218.29,198.43,244.3,12.97,10.59,15.1,82.41,73.9,90.0,4.6,19.6
7,7,Jul,124.09,77.85,215.05,230.01,210.67,246.79,11.75,9.3,13.9,82.28,74.0,90.0,2.1,18.9
8,8,Aug,110.32,70.45,163.6,261.92,243.66,282.06,11.79,9.7,13.65,82.2,73.5,90.0,4.2,19.4
9,9,Sep,104.99,65.25,149.05,283.28,263.54,302.0,12.92,11.1,14.8,79.75,70.0,90.0,4.4,20.0
10,10,Oct,91.19,54.3,136.4,320.21,288.12,344.57,14.33,12.6,16.1,79.07,69.0,88.0,4.7,21.7
11,11,Nov,91.84,41.45,143.15,343.67,317.72,361.28,16.21,14.1,18.4,77.76,68.0,87.1,8.3,25.0
12,12,Dec,99.3,22.2,148.6,358.34,325.74,387.34,18.51,16.5,20.45,76.96,66.0,88.0,10.5,28.6
