month,day,avg_accumulated_precipitation,years_sampled
1,1,2.82,16
1,2,6.89,16
1,3,9.52,16
1,4,14.15,16
1,5,18.2,16
1,6,19.54,16
1,7,22.7,16
1,8,26.09,16
1,9,27.02,16
1,10,29.47,16
1,11,30.88,16
1,12,31.87,16
1,13,32.72,16
1,14,34.76,16
1,15,36.28,16
1,16,36.78,16
1,17,38.47,16
1,18,40.8,16
1,19,42.54,16
1,20,44.01,16
1,21,47.99,16
1,22,52.49,16
1,23,58.25,16
1,24,59.42,16
1,25,60.36,16
1,26,64.63,16
1,27,71.54,16
1,28,79.66,16
1,29,85.98,16
1,30,86.73,16
1,31,88.66,16
2,1,91.79,16
2,2,93.06,16
2,3,96.58,16
2,4,99.47,16
2,5,101.9,16
2,6,105.17,16
2,7,108.26,16
2,8,110.62,16
2,9,112.97,16
2,10,115.31,16
2,11,118.96,16
2,12,121.54,16
2,13,130.19,16
2,14,133.89,16
2,15,139.81,16
2,16,144.31,16
2,17,147.33,16
2,18,149.83,16
2,19,151.42,16
2,20,152.38,16
2,21,152.87,16
2,22,155.22,16
2,23,157.76,16
2,24,161.12,16
2,25,163.01,16
2,26,164.41,16
2,27,165.73,16
2,28,166.92,16
2,29,167.83,4
3,1,171.46,16
3,2,174.31,16
3,3,176.27,16
3,4,178.17,16
3,5,180.42,16
3,6,181.23,16
3,7,182.5,16
3,8,186.87,16
3,9,188.07,16
3,10,190.34,16
3,11,193.16,16
3,12,196.52,16
3,13,197.22,16
3,14,197.72,16
3,15,201.54,16
3,16,204.19,16
3,17,208.59,16
3,18,211.25,16
3,19,217.06,16
3,20,218.99,16
3,21,224.85,16
3,22,226.77,16
3,23,230.74,16
3,24,234.34,16
3,25,235.33,16
3,26,236.99,16
3,27,239.18,16
3,28,240.62,16
3,29,246.85,16
3,30,247.98,16
3,31,249.72,16
4,1,252.42,16
4,2,253.44,16
4,3,255.59,16
4,4,262.72,16
4,5,265.58,16
4,6,269.62,16
4,7,270.32,16
4,8,271.37,16
4,9,272.68,16
4,10,276.45,16
4,11,279.71,16
4,12,285.12,16
4,13,289.95,16
4,14,292.29,16
4,15,294.75,16
4,16,298.49,16
4,17,304.41,16
4,18,308.36,16
4,19,311.87,16
4,20,316.98,16
4,21,318.62,16
4,22,320.26,16
4,23,321.89,16
4,24,323.07,16
4,25,325.89,16
4,26,328.4,16
4,27,334.09,16
4,28,339.21,16
4,29,342.49,16
4,30,344.34,16
5,1,347.24,16
5,2,348.84,16
5,3,351.11,16
5,4,353.52,16
5,5,355.03,16
5,6,357.19,16
5,7,358.66,16
5,8,362.2,16
5,9,368.38,16
5,10,369.49,16
5,11,371.67,16
5,12,378.01,16
5,13,380.41,16
5,14,383.43,16
5,15,386.72,16
5,16,388.22,16
5,17,391.25,16
5,18,394.14,16
5,19,396.88,16
5,20,399.81,16
5,21,403.0,16
5,22,405.16,16
5,23,409.09,16
5,24,412.46,16
5,25,415.36,16
5,26,423.18,16
5,27,427.58,16
5,28,431.56,16
5,29,435.61,16
5,30,440.41,16
5,31,444.9,16
6,1,448.21,16
6,2,451.9,16
6,3,454.84,16
6,4,460.06,16
6,5,463.41,16
6,6,469.72,16
6,7,472.04,16
6,8,472.69,16
6,9,478.25,16
6,10,485.86,16
6,11,488.15,16
6,12,491.99,16
6,13,493.38,16
6,14,497.22,16
6,15,498.12,16
6,16,502.19,16
6,17,503.92,16
6,18,509.41,16
6,19,512.45,16
6,20,518.36,16
6,21,519.79,16
6,22,523.34,16
6,23,527.01,16
6,24,530.06,16
6,25,536.0,16
6,26,537.91,16
6,27,543.43,16
6,28,545.05,16
6,29,547.49,16
6,30,550.06,16
7,1,553.12,16
7,2,553.98,16
7,3,560.21,16
7,4,567.65,16
7,5,571.92,16
7,6,574.08,16
7,7,579.51,16
7,8,584.83,16
7,9,587.3,16
7,10,589.75,16
7,11,595.68,16
7,12,602.02,16
7,13,604.07,16
7,14,608.03,16
7,15,618.79,16
7,16,622.54,16
7,17,627.39,16
7,18,629.23,16
7,19,632.18,16
7,20,635.99,16
7,21,642.63,16
7,22,647.13,16
7,23,649.61,16
7,24,651.54,16
7,25,654.86,16
7,26,658.32,16
7,27,659.18,16
7,28,660.59,16
7,29,669.34,16
7,30,672.04,16
7,31,674.15,16
8,1,675.55,16
8,2,678.66,16
8,3,681.26,16
8,4,683.6,16
8,5,686.15,16
8,6,687.58,16
8,7,691.73,16
8,8,695.97,16
8,9,700.09,16
8,10,702.66,16
8,11,707.48,16
8,12,709.94,16
8,13,713.03,16
8,14,717.61,16
8,15,718.88,16
8,16,721.42,16
8,17,727.36,16
8,18,734.67,16
8,19,741.71,16
8,20,747.49,16
8,21,749.41,16
8,22,751.29,16
8,23,753.87,16
8,24,756.18,16
8,25,760.98,16
8,26,761.76,16
8,27,764.78,16
8,28,769.56,16
8,29,773.88,16
8,30,778.46,16
8,31,784.48,16
9,1,788.11,16
9,2,790.22,16
9,3,794.03,16
9,4,797.64,16
9,5,804.04,16
9,6,807.5,16
9,7,810.32,16
9,8,813.29,16
9,9,815.25,16
9,10,818.14,16
9,11,823.08,16
9,12,827.22,16
9,13,828.51,16
9,14,831.78,16
9,15,835.47,16
9,16,840.2,16
9,17,842.82,16
9,18,846.56,16
9,19,849.48,16
9,20,853.9,16
9,21,856.79,16
9,22,860.98,16
9,23,866.4,16
9,24,873.96,16
9,25,876.72,16
9,26,879.04,16
9,27,882.06,16
9,28,885.51,16
9,29,886.86,16
9,30,889.47,16
10,1,895.33,16
10,2,898.61,16
10,3,903.18,16
10,4,905.59,16
10,5,907.41,16
10,6,909.03,16
10,7,914.12,16
10,8,916.79,16
10,9,918.38,16
10,10,920.21,16
10,11,923.21,16
10,12,926.28,16
10,13,931.2,16
10,14,936.67,16
10,15,939.36,16
10,16,939.68,16
10,17,941.85,16
10,18,944.46,16
10,19,946.19,16
10,20,946.58,16
10,21,948.39,16
10,22,950.09,16
10,23,953.34,16
10,24,955.69,16
10,25,956.85,16
10,26,957.64,16
10,27,960.05,16
10,28,965.56,16
10,29,971.43,16
10,30,977.71,16
10,31,980.66,16
11,1,982.04,16
11,2,982.94,16
11,3,986.46,16
11,4,989.04,16
11,5,993.65,16
11,6,996.21,16
11,7,1000.75,16
11,8,1005.32,16
11,9,1007.56,16
11,10,1010.69,16
11,11,1014.36,16
11,12,1019.27,16
11,13,1022.3,16
11,14,1024.98,16
11,15,1028.23,16
11,16,1030.01,16
11,17,1033.99,16
11,18,1040.45,16
11,19,1045.74,16
11,20,1048.0,16
11,21,1050.13,16
11,22,1053.49,16
11,23,1054.21,16
