month,day,avg_accumulated_precipitation,years_sampled
1,1,0.05,16
1,2,0.09,16
1,3,0.24,16
1,4,0.62,16
1,5,2.58,16
1,6,2.98,16
1,7,5.72,16
1,8,6.45,16
1,9,7.31,16
1,10,9.46,16
1,11,9.49,16
1,12,9.78,16
1,13,10.01,16
1,14,10.71,16
1,15,11.63,16
1,16,11.95,16
1,17,12.5,16
1,18,13.7,16
1,19,16.34,16
1,20,20.63,16
1,21,26.04,16
1,22,28.42,16
1,23,31.3,16
1,24,31.64,16
1,25,31.97,16
1,26,33.82,16
1,27,34.68,16
1,28,37.09,16
1,29,38.43,16
1,30,38.88,16
1,31,39.5,16
2,1,41.16,16
2,2,42.09,16
2,3,42.52,16
2,4,44.38,16
2,5,47.06,16
2,6,47.69,16
2,7,50.82,16
2,8,54.4,16
2,9,55.68,16
2,10,56.69,16
2,11,57.33,16
2,12,59.49,16
2,13,60.37,16
2,14,61.16,16
2,15,61.73,16
2,16,62.74,16
2,17,63.16,16
2,18,63.4,16
2,19,65.31,16
2,20,65.81,16
2,21,66.79,16
2,22,68.05,16
2,23,69.23,16
2,24,70.13,16
2,25,70.33,16
2,26,71.29,16
2,27,73.87,16
2,28,75.51,16
2,29,75.51,4
3,1,77.41,16
3,2,77.92,16
3,3,82.2,16
3,4,84.09,16
3,5,86.22,16
3,6,89.08,16
3,7,90.16,16
3,8,93.78,16
3,9,97.03,16
3,10,97.36,16
3,11,97.85,16
3,12,102.5,16
3,13,104.31,16
3,14,106.27,16
3,15,108.41,16
3,16,110.41,16
3,17,111.24,16
3,18,111.73,16
3,19,114.63,16
3,20,115.97,16
3,21,118.32,16
3,22,119.81,16
3,23,121.63,16
3,24,125.11,16
3,25,127.73,16
3,26,129.39,16
3,27,129.7,16
3,28,129.8,16
3,29,130.08,16
3,30,132.14,16
3,31,133.85,16
4,1,136.36,16
4,2,136.62,16
4,3,139.27,16
4,4,140.46,16
4,5,144.28,16
4,6,144.98,16
4,7,145.33,16
4,8,146.51,16
4,9,147.21,16
4,10,147.72,16
4,11,150.68,16
4,12,151.68,16
4,13,153.91,16
4,14,154.49,16
4,15,154.68,16
4,16,156.26,16
4,17,156.57,16
4,18,158.03,16
4,19,160.26,16
4,20,162.53,16
4,21,168.44,16
4,22,171.61,16
4,23,173.08,16
4,24,173.51,16
4,25,175.21,16
4,26,176.61,16
4,27,180.43,16
4,28,182.63,16
4,29,191.08,16
4,30,193.46,16
5,1,195.45,16
5,2,197.06,16
5,3,201.0,16
5,4,202.71,16
5,5,204.06,16
5,6,205.66,16
5,7,205.96,16
5,8,206.74,16
5,9,208.49,16
5,10,209.81,16
5,11,211.03,16
5,12,213.06,16
5,13,216.26,16
5,14,219.61,16
5,15,221.83,16
5,16,222.68,16
5,17,223.77,16
5,18,224.93,16
5,19,227.03,16
5,20,228.44,16
5,21,229.78,16
5,22,230.68,16
5,23,230.94,16
5,24,234.59,16
5,25,238.29,16
5,26,239.32,16
5,27,239.41,16
5,28,240.26,16
5,29,240.78,16
5,30,242.29,16
5,31,242.89,16
6,1,244.88,16
6,2,245.82,16
6,3,247.76,16
6,4,249.17,16
6,5,250.11,16
6,6,250.9,16
6,7,252.19,16
6,8,254.34,16
6,9,255.55,16
6,10,256.86,16
6,11,260.68,16
6,12,261.95,16
6,13,263.27,16
6,14,264.53,16
6,15,265.69,16
6,16,266.55,16
6,17,267.4,16
6,18,268.55,16
6,19,268.9,16
6,20,270.86,16
6,21,271.11,16
6,22,271.94,16
6,23,272.79,16
6,24,273.61,16
6,25,273.87,16
6,26,274.09,16
6,27,274.17,16
6,28,275.27,16
6,29,276.09,16
6,30,276.62,16
7,1,278.19,16
7,2,278.33,16
7,3,279.26,16
7,4,280.19,16
7,5,280.41,16
7,6,282.56,16
7,7,284.8,16
7,8,285.44,16
7,9,285.96,16
7,10,286.16,16
7,11,286.34,16
7,12,288.63,16
7,13,289.14,16
7,14,290.19,16
7,15,290.59,16
7,16,292.04,16
7,17,292.67,16
7,18,292.89,16
7,19,293.88,16
7,20,294.15,16
7,21,295.24,16
7,22,295.55,16
7,23,298.14,16
7,24,300.34,16
7,25,301.42,16
7,26,303.31,16
7,27,304.67,16
7,28,305.76,16
7,29,308.32,16
7,30,309.25,16
7,31,310.02,16
8,1,311.08,16
8,2,311.39,16
8,3,312.24,16
8,4,313.34,16
8,5,313.66,16
8,6,314.47,16
8,7,314.9,16
8,8,316.84,16
8,9,318.16,16
8,10,319.48,16
8,11,319.71,16
8,12,320.43,16
8,13,321.58,16
8,14,324.47,16
8,15,326.16,16
8,16,326.44,16
8,17,329.26,16
8,18,333.19,16
8,19,333.81,16
8,20,335.61,16
8,21,336.48,16
8,22,338.23,16
8,23,338.64,16
8,24,340.29,16
8,25,341.6,16
8,26,342.42,16
8,27,346.24,16
8,28,346.99,16
8,29,348.87,16
8,30,351.39,16
8,31,355.14,16
9,1,356.64,16
9,2,358.89,16
9,3,363.17,16
9,4,365.48,16
9,5,366.8,16
9,6,368.69,16
9,7,370.82,16
9,8,372.13,16
9,9,376.61,16
9,10,379.77,16
9,11,381.95,16
9,12,385.59,16
9,13,392.74,16
9,14,395.47,16
9,15,400.02,16
9,16,403.36,16
9,17,407.89,16
9,18,412.67,16
9,19,414.46,16
9,20,416.87,16
9,21,423.32,16
9,22,425.1,16
9,23,431.37,16
9,24,434.91,16
9,25,435.84,16
9,26,437.07,16
9,27,437.4,16
9,28,439.12,16
9,29,444.85,16
9,30,447.57,16
10,1,448.22,16
10,2,450.18,16
10,3,453.0,16
10,4,454.75,16
10,5,457.11,16
10,6,459.14,16
10,7,462.48,16
10,8,465.61,16
10,9,469.47,16
10,10,478.32,16
10,11,480.11,16
10,12,486.29,16
10,13,490.58,16
10,14,495.22,16
10,15,498.56,16
10,16,501.34,16
10,17,502.58,16
10,18,503.53,16
10,19,507.02,16
10,20,511.27,16
10,21,513.45,16
10,22,519.39,16
10,23,523.29,16
10,24,524.98,16
10,25,525.66,16
10,26,528.37,16
10,27,531.54,16
10,28,533.49,16
10,29,533.94,16
10,30,537.71,16
10,31,543.72,16
11,1,544.71,16
11,2,548.55,16
11,3,551.38,16
11,4,556.36,16
11,5,559.12,16
11,6,562.03,16
11,7,563.57,16
11,8,564.55,16
11,9,566.28,16
11,10,567.28,16
11,11,567.84,16
11,12,568.46,16
11,13,569.21,16
11,14,571.18,16
11,15,574.35,16
11,16,576.97,16
11,17,579.41,16
11,18,585.07,16
11,19,586.21,16
11,20,587.15,16
11,21,588.59,16
11,22,590.12,16
11,23,593.6,16
11,24,594.61,16
11,25,596.56,16
11,26,598.19,16
11,27,600.48,16
11,28,602.61,16
11,29,604.96,16
11,30,607.46,16
12,1,608.24,16
12,2,608.44,16
12,3,608.57,16
12,4,612.13,16
12,5,614.51,16
12,6,614.85,16
12,7,614.97,16
12,8,615.36,16
12,9,615.73,16
12,10,616.71,16
12,11,618.31,16
12,12,618.8,16
12,13,619.6,16
12,14,620.7,16
12,15,625.11,16
12,16,625.64,16
12,17,625.81,16
12,18,626.93,16
12,19,628.24,16
12,20,630.25,16
12,21,631.44,16
12,22,632.52,16
12,23,633.06,16
12,24,633.15,16
12,25,634.04,16
12,26,635.11,16
12,27,638.08,16
12,28,638.18,16
12,29,639.43,16
12,30,639.43,16
12,31,639.55,16
