month,day,avg_daytime_temperature,years_sampled
1,1,-1.1,16
1,2,-1.24,16
1,3,-1.42,16
1,4,-1.43,16
1,5,-1.22,16
1,6,-1.7,16
1,7,-1.3,16
1,8,-1.17,16
1,9,-1.31,16
1,10,-1.18,16
1,11,-1.39,16
1,12,-1.52,16
1,13,-0.33,16
1,14,-1.05,16
1,15,-1.8,16
1,16,-1.51,16
1,17,-0.73,16
1,18,-0.51,16
1,19,-0.41,16
1,20,-1.16,16
1,21,-1.22,16
1,22,-1.63,16
1,23,-2.14,16
1,24,-1.18,16
1,25,-0.94,16
1,26,-0.57,16
1,27,-0.5,16
1,28,-0.69,16
1,29,-0.38,16
1,30,-0.47,16
1,31,0.24,16
2,1,-0.16,16
2,2,-0.3,16
2,3,0.58,16
2,4,0.44,16
2,5,0.61,16
2,6,0.9,16
2,7,-0.84,16
2,8,0.51,16
2,9,0.66,16
2,10,1.12,16
2,11,2.04,16
2,12,2.23,16
2,13,2.34,16
2,14,1.71,16
2,15,1.66,16
2,16,2.23,16
2,17,2.45,16
2,18,3.23,16
2,19,4.02,16
2,20,3.28,16
2,21,4.24,16
2,22,3.39,16
2,23,3.28,16
2,24,4.04,16
2,25,4.55,16
2,26,4.62,16
2,27,4.92,16
2,28,5.74,16
2,29,2.7,4
3,1,5.08,16
3,2,6.27,16
3,3,6.33,16
3,4,6.63,16
3,5,6.17,16
3,6,6.12,16
3,7,6.78,16
3,8,6.83,16
3,9,7.35,16
3,10,8.89,16
3,11,8.97,16
3,12,8.49,16
3,13,9.52,16
3,14,10.03,16
3,15,9.55,16
3,16,9.75,16
3,17,9.65,16
3,18,10.04,16
3,19,10.43,16
3,20,11.35,16
3,21,11.5,16
3,22,12.28,16
3,23,12.02,16
3,24,11.49,16
3,25,13.07,16
3,26,12.92,16
3,27,14.13,16
3,28,13.3,16
3,29,14.09,16
3,30,14.15,16
3,31,15.11,16
4,1,14.1,16
4,2,13.84,16
4,3,14.18,16
4,4,14.21,16
4,5,14.3,16
4,6,14.63,16
4,7,14.99,16
4,8,15.53,16
4,9,15.63,16
4,10,15.86,16
4,11,16.03,16
4,12,15.91,16
4,13,16.58,16
4,14,18.05,16
4,15,18.54,16
4,16,17.76,16
4,17,18.02,16
4,18,18.2,16
4,19,17.33,16
4,20,17.92,16
4,21,17.0,16
4,22,16.9,16
4,23,18.49,16
4,24,18.92,16
4,25,19.09,16
4,26,18.67,16
4,27,18.3,16
4,28,18.95,16
4,29,20.36,16
4,30,21.3,16
5,1,22.44,16
5,2,21.78,16
5,3,22.03,16
5,4,21.18,16
5,5,21.24,16
5,6,21.5,16
5,7,22.28,16
5,8,21.37,16
5,9,20.34,16
5,10,21.71,16
5,11,21.7,16
5,12,21.84,16
5,13,23.04,16
5,14,23.02,16
5,15,23.1,16
5,16,23.72,16
5,17,23.46,16
5,18,24.59,16
5,19,24.49,16
5,20,24.24,16
5,21,24.22,16
5,22,25.05,16
5,23,25.04,16
5,24,24.74,16
5,25,24.57,16
5,26,25.41,16
5,27,25.36,16
5,28,26.76,16
5,29,26.56,16
5,30,26.57,16
5,31,25.39,16
6,1,26.09,16
6,2,26.16,16
6,3,26.58,16
6,4,26.59,16
6,5,27.94,16
6,6,26.84,16
6,7,26.41,16
6,8,27.43,16
6,9,26.86,16
6,10,26.38,16
6,11,26.36,16
6,12,27.68,16
6,13,26.88,16
6,14,27.12,16
6,15,27.96,16
6,16,27.6,16
6,17,28.26,16
6,18,29.08,16
6,19,28.35,16
6,20,29.38,16
6,21,29.37,16
6,22,28.42,16
6,23,28.42,16
6,24,28.79,16
6,25,28.29,16
6,26,28.34,16
6,27,29.05,16
6,28,28.04,16
6,29,28.13,16
6,30,28.74,16
7,1,28.47,16
7,2,28.18,16
7,3,27.92,16
7,4,28.45,16
7,5,28.99,16
7,6,28.65,16
