calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,2.12,0.0,3.45,255.82,240.12,269.59,-3.42,-6.8,-0.2,39.64,22.0,67.0,-20.0,11.8
2,2,Feb,6.05,0.4,11.45,251.35,225.89,276.51,-0.46,-4.3,3.59,42.33,21.0,67.9,-12.7,23.4
3,3,Mar,9.02,1.2,18.05,305.51,270.64,334.12,7.07,1.5,12.8,42.09,22.0,67.5,-7.9,28.3
4,4,Apr,18.05,6.4,31.95,299.71,262.77,328.02,14.71,9.39,19.91,38.8,19.0,62.1,-3.1,34.6
5,5,May,29.32,16.75,45.65,320.94,282.83,357.18,21.38,17.2,25.5,41.54,22.5,62.5,3.9,41.2
6,6,Jun,63.16,19.6,102.15,312.02,269.69,351.5,26.1,22.3,29.7,50.89,29.0,73.1,12.8,41.2
7,7,Jul,207.22,111.75,308.2,278.95,252.01,300.57,27.16,24.3,30.05,70.25,49.0,87.0,16.0,41.6
8,8,Aug,139.59,85.4,212.05,294.04,254.96,330.79,25.6,22.6,28.2,73.56,57.0,86.0,13.6,36.6
9,9,Sep,58.27,11.85,99.75,276.38,247.54,304.73,20.96,17.2,24.2,64.54,45.0,82.0,6.2,36.1
10,10,Oct,33.41,9.85,71.8,250.77,209.57,286.35,13.05,8.75,17.55,59.31,36.5,80.5,-3.3,31.5
11,11,Nov,19.53,0.1,38.6,228.79,205.55,262.99,4.56,-0.72,9.72,54.87,31.0,81.0,-13.9,21.9
12,12,Dec,2.77,0.0,7.85,244.12,221.65,261.38,-2.26,-6.3,1.0,42.46,22.0,68.0,-16.1,12.0
