month,day,avg_accumulated_precipitation,years_sampled
1,1,0.0,16
1,2,0.0,16
1,3,0.8,16
1,4,0.8,16
1,5,0.96,16
1,6,1.04,16
1,7,1.09,16
1,8,1.09,16
1,9,1.09,16
1,10,1.09,16
1,11,1.09,16
1,12,1.27,16
1,13,1.27,16
1,14,1.29,16
1,15,1.34,16
1,16,1.34,16
1,17,1.39,16
1,18,1.39,16
1,19,1.4,16
1,20,1.52,16
1,21,1.54,16
1,22,1.72,16
1,23,1.79,16
1,24,1.81,16
1,25,1.93,16
1,26,1.99,16
1,27,1.99,16
1,28,1.99,16
1,29,1.99,16
1,30,2.08,16
1,31,2.12,16
2,1,2.14,16
2,2,2.23,16
2,3,2.44,16
2,4,2.44,16
2,5,2.49,16
2,6,2.67,16
2,7,3.09,16
2,8,3.09,16
2,9,3.17,16
2,10,3.38,16
2,11,3.38,16
2,12,3.91,16
2,13,4.71,16
2,14,5.84,16
2,15,5.84,16
2,16,5.84,16
2,17,5.85,16
2,18,6.0,16
2,19,6.05,16
2,20,6.54,16
2,21,6.78,16
2,22,6.78,16
2,23,6.82,16
2,24,6.84,16
2,25,6.96,16
2,26,7.15,16
2,27,7.34,16
2,28,8.15,16
2,29,8.18,4
3,1,8.56,16
3,2,8.96,16
3,3,8.97,16
3,4,8.98,16
3,5,9.04,16
3,6,9.11,16
3,7,9.2,16
3,8,9.48,16
3,9,9.72,16
3,10,9.86,16
3,11,10.16,16
3,12,10.54,16
3,13,10.59,16
3,14,11.31,16
3,15,11.62,16
3,16,11.65,16
3,17,12.24,16
3,18,12.75,16
3,19,13.52,16
3,20,13.83,16
3,21,13.98,16
3,22,13.99,16
3,23,14.7,16
3,24,15.54,16
3,25,15.69,16
3,26,16.09,16
3,27,16.16,16
3,28,16.31,16
3,29,16.59,16
3,30,16.97,16
3,31,17.19,16
4,1,17.39,16
4,2,18.09,16
4,3,18.19,16
4,4,19.59,16
4,5,20.14,16
4,6,20.16,16
4,7,20.17,16
4,8,20.3,16
4,9,20.73,16
4,10,20.92,16
4,11,21.14,16
4,12,21.86,16
4,13,22.26,16
4,14,22.29,16
4,15,22.42,16
4,16,23.04,16
4,17,23.33,16
4,18,24.21,16
4,19,24.83,16
4,20,25.23,16
4,21,27.91,16
4,22,28.91,16
4,23,29.61,16
4,24,31.61,16
4,25,32.53,16
4,26,33.01,16
4,27,33.69,16
4,28,34.82,16
4,29,35.19,16
4,30,35.24,16
5,1,35.71,16
5,2,36.43,16
5,3,36.56,16
5,4,37.88,16
5,5,38.76,16
5,6,39.56,16
5,7,40.21,16
5,8,42.78,16
5,9,45.2,16
5,10,46.74,16
5,11,48.54,16
5,12,49.85,16
5,13,49.88,16
5,14,51.61,16
5,15,51.77,16
5,16,51.98,16
5,17,52.49,16
5,18,52.89,16
5,19,55.64,16
5,20,55.66,16
5,21,56.29,16
5,22,58.28,16
5,23,59.3,16
5,24,60.21,16
5,25,61.21,16
5,26,62.14,16
5,27,62.88,16
5,28,63.19,16
5,29,63.57,16
5,30,63.79,16
5,31,64.57,16
6,1,64.76,16
6,2,65.57,16
6,3,66.81,16
6,4,67.72,16
6,5,67.77,16
6,6,69.19,16
6,7,70.41,16
6,8,70.71,16
6,9,73.47,16
6,10,73.95,16
6,11,76.11,16
6,12,76.39,16
6,13,80.31,16
6,14,83.92,16
6,15,84.14,16
6,16,85.9,16
6,17,88.3,16
6,18,88.78,16
6,19,89.61,16
6,20,90.53,16
6,21,91.95,16
6,22,96.33,16
6,23,103.27,16
6,24,107.54,16
6,25,110.29,16
6,26,112.52,16
6,27,115.57,16
6,28,123.15,16
6,29,126.16,16
6,30,127.73,16
7,1,133.81,16
7,2,138.28,16
7,3,145.81,16
7,4,149.45,16
7,5,153.21,16
7,6,159.79,16
7,7,163.67,16
7,8,165.76,16
7,9,170.26,16
7,10,173.83,16
7,11,176.45,16
7,12,187.09,16
7,13,189.42,16
7,14,193.99,16
7,15,200.87,16
7,16,203.86,16
7,17,212.48,16
7,18,216.71,16
7,19,226.16,16
7,20,241.86,16
7,21,253.25,16
7,22,260.91,16
7,23,265.23,16
7,24,273.77,16
7,25,283.08,16
7,26,284.53,16
7,27,293.03,16
7,28,301.16,16
7,29,312.54,16
7,30,324.36,16
7,31,334.95,16
8,1,342.26,16
8,2,346.76,16
8,3,349.02,16
8,4,355.16,16
8,5,358.74,16
