time,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,temperature_2m_mean,temperature_2m_min,temperature_2m_max,sunshine_hours,calendar_month
2010-01-01,3.4,86,0.0,-2.5,-3.2,-1.6,0.0,1
2010-01-02,1.2,90,2062.35,-3.1,-5.7,-1.2,0.572875,1
2010-01-03,0.0,93,12379.42,-6.7,-8.8,-4.9,3.438727777777778,1
2010-01-04,0.0,90,0.0,-7.6,-9.5,-5.8,0.0,1
2010-01-05,0.0,88,16316.89,-7.6,-10.8,-5.4,4.532469444444445,1
2010-01-06,0.0,89,0.0,-8.6,-12.7,-4.9,0.0,1
2010-01-07,0.0,90,485.41,-7.4,-8.6,-5.7,0.13483611111111113,1
2010-01-08,0.1,89,3491.58,-6.6,-9.4,-3.6,0.9698833333333333,1
2010-01-09,11.2,85,0.0,-3.3,-4.1,-2.9,0.0,1
2010-01-10,7.6,88,0.0,-3.5,-4.6,-2.9,0.0,1
2010-01-11,1.1,89,0.0,-5.0,-6.9,-3.8,0.0,1
2010-01-12,0.0,91,2064.66,-5.8,-8.0,-3.7,0.5735166666666667,1
2010-01-13,0.0,91,0.0,-3.9,-5.5,-2.5,0.0,1
2010-01-14,0.0,91,3741.41,-3.6,-4.8,-2.4,1.0392805555555555,1
2010-01-15,0.0,92,12078.22,-4.7,-6.2,-3.3,3.355061111111111,1
2010-01-16,0.0,91,4701.1,-4.4,-5.1,-3.5,1.3058611111111111,1
2010-01-17,1.7,90,0.0,-2.1,-4.9,0.8,0.0,1
2010-01-18,0.1,93,0.0,-0.4,-1.9,0.5,0.0,1
2010-01-19,3.0,98,0.0,0.1,-2.3,0.7,0.0,1
2010-01-20,1.2,91,0.0,-2.9,-7.3,-0.3,0.0,1
2010-01-21,0.0,83,14442.46,-8.5,-9.3,-7.7,4.011794444444444,1
2010-01-22,0.0,83,21943.43,-9.3,-11.6,-7.3,6.095397222222222,1
2010-01-23,0.0,80,25684.32,-12.3,-15.8,-9.1,7.134533333333334,1
2010-01-24,0.0,76,12119.26,-14.1,-17.3,-10.9,3.366461111111111,1
2010-01-25,0.0,77,25882.25,-12.3,-15.3,-9.3,7.1895138888888885,1
2010-01-26,0.0,78,26543.36,-16.7,-20.6,-12.8,7.373155555555556,1
2010-01-27,3.6,79,843.49,-12.6,-19.7,-3.4,0.23430277777777778,1
2010-01-28,4.1,87,26125.02,-0.3,-2.7,1.5,7.25695,1
2010-01-29,2.7,89,0.0,-0.7,-2.6,0.8,0.0,1
2010-01-30,2.1,86,6878.29,-2.2,-7.2,0.6,1.9106361111111112,1
2010-01-31,1.2,86,21878.98,-6.9,-10.5,-2.6,6.0774944444444445,1
2010-02-01,0.0,85,14878.51,-2.7,-5.1,0.2,4.132919444444444,2
2010-02-02,3.8,85,10554.67,-2.4,-5.9,1.1,2.931852777777778,2
2010-02-03,3.0,85,21303.53,0.5,-1.7,2.0,5.917647222222222,2
2010-02-04,2.3,92,0.0,-0.7,-3.0,1.2,0.0,2
2010-02-05,0.0,89,27900.93,-0.2,-3.0,1.7,7.750258333333333,2
2010-02-06,0.0,88,24556.7,-0.3,-4.6,1.5,6.821305555555556,2
2010-02-07,0.0,88,0.0,-6.0,-7.4,-5.1,0.0,2
2010-02-08,0.0,87,0.0,-5.0,-6.3,-3.4,0.0,2
2010-02-09,0.0,86,18619.59,-6.9,-10.7,-4.5,5.172108333333333,2
2010-02-10,0.0,87,0.0,-6.1,-7.5,-4.5,0.0,2
2010-02-11,1.1,87,0.0,-5.1,-6.8,-3.0,0.0,2
2010-02-12,4.1,90,0.0,-1.6,-3.1,0.3,0.0,2
2010-02-13,0.0,89,278.69,-2.1,-3.6,-0.7,0.0774138888888889,2
2010-02-14,0.0,90,528.13,-3.3,-4.8,-1.1,0.14670277777777777,2
2010-02-15,0.0,88,26626.59,-3.8,-6.8,-0.9,7.396275,2
2010-02-16,0.0,89,29788.81,-3.4,-7.3,0.7,8.274669444444445,2
2010-02-17,0.0,89,31632.36,-4.4,-8.1,0.4,8.786766666666667,2
2010-02-18,0.0,91,3304.01,-0.6,-4.9,2.8,0.9177805555555556,2
2010-02-19,0.0,93,11441.7,1.0,-1.5,3.4,3.1782500000000002,2
2010-02-20,0.6,84,31997.05,0.5,-3.7,3.2,8.888069444444444,2
2010-02-21,0.0,87,22739.85,-2.1,-5.1,1.7,6.316624999999999,2
2010-02-22,1.7,86,21575.59,-0.7,-5.6,4.1,5.993219444444445,2
2010-02-23,3.6,86,0.0,2.7,-0.9,5.0,0.0,2
2010-02-24,3.3,91,0.0,-0.5,-2.1,1.1,0.0,2
2010-02-25,0.0,91,32776.86,2.7,0.4,6.2,9.104683333333334,2
2010-02-26,1.8,90,1441.83,3.2,2.0,4.5,0.4005083333333333,2
2010-02-27,1.0,82,31081.6,3.8,1.7,6.2,8.633777777777777,2
2010-02-28,1.5,80,18346.06,3.8,0.2,8.2,5.096127777777778,2
2010-03-01,3.9,76,19604.4,4.0,1.6,6.7,5.445666666666667,3
2010-03-02,0.2,75,33055.23,2.0,0.3,4.6,9.182008333333334,3
2010-03-03,1.1,82,34226.32,1.3,-3.1,4.1,9.507311111111111,3
2010-03-04,0.6,74,34913.51,-1.5,-4.0,3.0,9.698197222222223,3
2010-03-05,0.2,58,32474.44,-2.4,-4.2,0.4,9.020677777777777,3
2010-03-06,0.4,57,35495.2,-1.9,-4.0,1.5,9.859777777777778,3
2010-03-07,0.0,67,32685.85,-1.9,-6.2,2.6,9.079402777777778,3
2010-03-08,0.1,69,23155.57,-1.0,-2.9,0.9,6.432102777777778,3
2010-03-09,0.0,66,36802.86,-1.6,-4.6,2.6,10.223016666666666,3
2010-03-10,0.0,76,37323.28,-1.2,-4.6,4.0,10.367577777777777,3
2010-03-11,0.0,79,36624.12,-1.5,-5.2,2.9,10.173366666666668,3
