calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute,temperature_2m_mean_min,temperature_2m_mean_max
1,1,Jan,54.406666666666666,35.300000000000004,72.36,83.49425648148147,57.97998944444444,102.35968555555556,1.1120430107526882,-4.96,6.8,84.96344086021506,73.0,94.0,-20.6,15.9,-20.6,15.9
2,2,Feb,41.63333333333333,11.580000000000002,80.03999999999999,137.51254648148148,104.50703944444444,170.6497011111111,2.0587264150943394,-3.7699999999999996,7.3,80.18867924528301,67.0,91.0,-18.1,17.9,-18.1,17.9
3,3,Mar,39.34666666666668,17.46,65.52,215.35690481481478,177.2053038888889,245.77441666666667,4.938709677419355,-0.15999999999999945,9.7,75.76989247311828,64.0,87.0,-17.1,22.2,-17.1,22.2
4,4,Apr,32.193333333333335,15.5,48.46,287.2846762962963,250.5784238888889,323.57267666666667,9.498000000000001,4.3,14.6,69.21777777777778,56.900000000000006,81.0,-11.2,27.2,-11.2,27.2
5,5,May,53.65333333333333,20.8,101.86,331.56423407407414,283.67895111111113,380.0485561111111,14.308172043010755,9.6,19.3,66.12258064516129,52.400000000000006,81.0,0.4,30.8,0.4,30.8
6,6,Jun,67.53999999999999,29.86,92.06,354.1471722222222,312.9428072222222,385.4062311111111,18.758444444444443,14.5,23.21,64.43333333333334,51.0,78.10000000000002,6.0,37.5,6.0,37.5
7,7,Jul,82.99333333333334,43.68,130.85999999999999,354.5040172222222,323.56659833333333,390.9118261111111,20.122795698924733,16.2,24.46,65.75698924731182,51.0,81.0,8.7,37.6,8.7,37.6
8,8,Aug,55.286666666666676,21.1,90.6,329.37476648148146,293.21928722222225,357.92402333333337,20.09032258064516,16.040000000000003,24.860000000000003,67.04086021505377,51.400000000000006,81.0,8.0,36.7,8.0,36.7
9,9,Sep,46.48000000000001,18.44,61.28,257.22677425925923,234.50168888888888,284.14601500000003,15.851999999999999,11.8,20.120000000000005,72.5,59.0,84.0,3.6,33.9,3.6,33.9
10,10,Oct,50.56000000000001,22.12,69.91999999999999,179.85339888888888,145.5185011111111,220.44832666666667,10.966451612903224,6.8,15.360000000000003,81.27956989247312,71.0,91.0,-3.1,24.8,-3.1,24.8
11,11,Nov,48.586666666666666,11.840000000000002,78.1,106.77528351851853,73.35898277777778,129.7686672222222,5.823555555555556,0.9,10.5,86.77333333333333,78.0,94.0,-6.9,19.9,-6.9,19.9
12,12,Dec,54.70000000000001,34.28,74.61999999999999,70.76881407407407,49.90178777777778,101.46984277777777,2.8286021505376344,-2.7,7.960000000000003,86.91612903225807,78.0,95.0,-15.4,16.8,-15.4,16.8
