calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,56.06875,35.45,77.3,91.7610982638889,64.85017916666666,110.26409166666667,1.1860887096774193,-4.6,6.9,84.9899193548387,73.0,94.0,-20.6,15.9
2,2,Feb,40.5125,12.549999999999999,78.9,146.59809930555556,111.06049861111111,181.75721944444444,1.9657079646017699,-3.7899999999999996,7.290000000000004,80.33407079646018,68.0,91.0,-18.1,17.9
3,3,Mar,37.737500000000004,13.649999999999999,64.5,229.00280190972222,187.50512361111112,268.3128027777778,5.0193548387096785,0.05,9.649999999999999,75.59274193548387,64.0,87.0,-17.1,22.2
4,4,Apr,31.4125,15.55,48.25,300.64891215277777,262.18149305555556,337.41515416666664,9.660833333333333,4.3,14.720000000000004,68.85416666666667,55.900000000000006,81.0,-11.2,27.2
5,5,May,51.756249999999994,20.35,101.8,344.73889305555554,291.6620486111111,392.29726666666664,14.285887096774195,9.649999999999999,19.200000000000003,65.60282258064517,51.0,80.0,0.4,30.8
6,6,Jun,67.1,31.299999999999997,90.95,371.73240121527783,328.20613888888886,407.4275625,18.823124999999997,14.59,23.21,64.01458333333333,50.0,78.0,6.0,37.5
7,7,Jul,87.70625000000001,44.0,149.65,367.39734114583337,330.2984486111111,406.9636625,20.087298387096773,16.25,24.4,66.00806451612904,51.0,81.0,8.7,37.6
8,8,Aug,54.318749999999994,21.55,89.95,343.12761996527774,305.21900694444446,371.77615833333334,20.01633064516129,16.0,24.700000000000003,67.0524193548387,52.0,81.0,8.0,36.7
9,9,Sep,46.900000000000006,19.4,61.05,269.971328125,243.18732222222224,295.2240611111111,15.842708333333333,11.7,20.120000000000005,72.58541666666666,60.0,84.0,3.6,33.9
10,10,Oct,51.150000000000006,22.9,69.44999999999999,189.1383967013889,152.51992222222222,232.67759722222223,10.922983870967741,6.8,15.149999999999999,81.33266129032258,71.5,91.0,-3.1,24.8
11,11,Nov,48.037499999999994,12.55,77.05,117.55859965277779,81.176975,141.1134583333333,5.786874999999999,0.9,10.5,86.83958333333334,78.9,95.0,-7.0,19.9
12,12,Dec,52.74374999999999,29.1,74.19999999999999,81.69462395833334,55.72822361111111,117.17052361111111,2.8459677419354836,-2.7,8.0,87.07862903225806,78.0,95.0,-15.4,16.8
