month,day,avg_accumulated_precipitation,years_sampled
1,1,4.09,15
1,2,8.33,15
1,3,10.91,15
1,4,14.36,15
1,5,18.15,15
1,6,25.34,15
1,7,27.83,15
1,8,29.93,15
1,9,33.99,15
1,10,40.73,15
1,11,44.21,15
1,12,46.59,15
1,13,50.74,15
1,14,61.0,15
1,15,67.19,15
1,16,75.62,15
1,17,81.78,15
1,18,87.17,15
1,19,92.58,15
1,20,96.98,15
1,21,100.73,15
1,22,107.05,15
1,23,112.42,15
1,24,117.21,15
1,25,120.97,15
1,26,124.95,15
1,27,129.91,15
1,28,135.43,15
1,29,140.72,15
1,30,148.77,15
1,31,156.62,15
2,1,164.45,15
2,2,169.36,15
2,3,172.51,15
2,4,177.09,15
2,5,183.82,15
2,6,188.37,15
2,7,192.96,15
2,8,197.77,15
2,9,201.33,15
2,10,208.46,15
2,11,214.02,15
2,12,219.09,15
2,13,222.55,15
2,14,229.8,15
2,15,233.13,15
2,16,235.64,15
2,17,238.23,15
2,18,240.25,15
2,19,243.38,15
2,20,244.83,15
2,21,249.02,15
2,22,252.99,15
2,23,257.77,15
2,24,262.71,15
2,25,269.21,15
2,26,273.75,15
2,27,280.39,15
2,28,285.1,15
2,29,286.39,4
3,1,289.51,15
3,2,295.55,15
3,3,304.43,15
3,4,311.75,15
3,5,317.0,15
3,6,321.47,15
3,7,324.41,15
3,8,326.38,15
3,9,329.37,15
3,10,332.0,15
3,11,335.75,15
3,12,340.16,15
3,13,344.27,15
3,14,347.47,15
3,15,349.49,15
3,16,353.78,15
3,17,356.95,15
3,18,360.09,15
3,19,364.93,15
3,20,366.19,15
3,21,368.16,15
3,22,370.07,15
3,23,372.49,15
3,24,374.79,15
3,25,381.04,15
3,26,384.92,15
3,27,387.45,15
3,28,389.48,15
3,29,394.15,15
3,30,398.19,15
3,31,404.14,15
4,1,411.7,15
4,2,418.59,15
4,3,422.21,15
4,4,425.3,15
4,5,426.87,15
4,6,428.64,15
4,7,432.76,15
4,8,436.95,15
4,9,439.77,15
4,10,441.59,15
4,11,446.11,15
4,12,448.47,15
4,13,451.83,15
4,14,453.45,15
4,15,456.52,15
