month,day,avg_daytime_temperature,years_sampled
1,1,11.06,16
1,2,9.84,16
1,3,9.96,16
1,4,10.31,16
1,5,9.12,16
1,6,8.51,16
1,7,9.31,16
1,8,9.84,16
1,9,9.0,16
1,10,9.48,16
1,11,9.08,16
1,12,9.02,16
1,13,9.46,16
1,14,9.67,16
1,15,9.84,16
1,16,10.2,16
1,17,9.12,16
1,18,8.88,16
1,19,9.14,16
1,20,8.3,16
1,21,8.85,16
1,22,8.94,16
1,23,9.13,16
1,24,9.63,16
1,25,9.1,16
1,26,9.48,16
1,27,9.28,16
1,28,9.84,16
1,29,9.83,16
1,30,9.77,16
1,31,10.27,16
2,1,9.87,16
2,2,9.81,16
2,3,9.41,16
2,4,9.26,16
2,5,9.51,16
2,6,9.27,16
2,7,9.06,16
2,8,9.15,16
2,9,9.83,16
2,10,9.32,16
2,11,9.37,16
2,12,9.51,16
2,13,11.32,16
2,14,11.69,16
2,15,12.38,16
2,16,12.08,16
2,17,11.76,16
2,18,11.52,16
2,19,11.41,16
2,20,12.1,16
2,21,11.5,16
2,22,10.62,16
2,23,10.37,16
2,24,10.92,16
2,25,10.79,16
2,26,10.14,16
2,27,9.78,16
2,28,9.5,16
2,29,10.94,4
3,1,11.16,16
3,2,11.02,16
3,3,11.68,16
3,4,10.99,16
3,5,11.01,16
3,6,11.12,16
3,7,11.57,16
3,8,12.36,16
3,9,12.42,16
3,10,12.3,16
3,11,12.16,16
3,12,11.64,16
3,13,11.36,16
3,14,11.38,16
3,15,12.15,16
3,16,13.01,16
3,17,12.47,16
3,18,11.91,16
3,19,12.67,16
3,20,12.58,16
3,21,12.54,16
3,22,12.22,16
3,23,12.74,16
3,24,12.93,16
3,25,12.3,16
3,26,12.68,16
3,27,12.44,16
3,28,13.96,16
3,29,14.85,16
3,30,14.31,16
3,31,13.31,16
4,1,13.4,16
4,2,13.06,16
4,3,12.41,16
4,4,12.51,16
4,5,13.61,16
4,6,14.52,16
4,7,13.81,16
4,8,14.86,16
4,9,14.57,16
4,10,15.08,16
4,11,14.29,16
4,12,14.43,16
4,13,14.41,16
4,14,15.1,16
4,15,14.87,16
4,16,14.14,16
4,17,15.05,16
4,18,15.3,16
4,19,14.74,16
4,20,14.25,16
4,21,15.67,16
4,22,14.9,16
4,23,14.6,16
4,24,15.62,16
4,25,15.51,16
4,26,14.6,16
4,27,13.76,16
4,28,14.26,16
4,29,14.54,16
4,30,14.5,16
5,1,14.31,16
5,2,14.66,16
5,3,15.82,16
5,4,16.38,16
5,5,15.74,16
5,6,15.96,16
5,7,16.75,16
5,8,17.37,16
5,9,17.56,16
5,10,17.94,16
5,11,15.86,16
5,12,15.09,16
5,13,15.21,16
5,14,15.22,16
5,15,15.44,16
5,16,15.56,16
5,17,15.77,16
5,18,15.94,16
5,19,15.41,16
5,20,15.7,16
5,21,16.97,16
5,22,16.56,16
5,23,16.11,16
5,24,16.84,16
5,25,18.03,16
5,26,16.98,16
5,27,17.73,16
5,28,17.71,16
5,29,17.83,16
5,30,17.74,16
5,31,18.29,16
6,1,19.37,16
6,2,18.71,16
6,3,18.2,16
6,4,18.17,16
6,5,18.75,16
6,6,19.3,16
6,7,18.94,16
6,8,19.42,16
6,9,18.73,16
6,10,18.96,16
6,11,18.73,16
6,12,18.98,16
6,13,19.28,16
6,14,19.56,16
6,15,18.85,16
6,16,19.89,16
6,17,20.26,16
6,18,20.16,16
6,19,20.41,16
6,20,20.83,16
6,21,20.22,16
6,22,20.03,16
6,23,19.93,16
6,24,20.68,16
6,25,20.81,16
6,26,21.48,16
6,27,21.56,16
6,28,20.25,16
6,29,19.55,16
6,30,20.48,16
7,1,20.28,16
7,2,20.34,16
7,3,21.12,16
7,4,21.34,16
7,5,21.22,16
7,6,20.5,16
7,7,20.8,16
7,8,21.33,16
7,9,21.21,16
7,10,21.55,16
7,11,21.82,16
7,12,20.89,16
7,13,21.17,16
7,14,21.1,16
7,15,21.03,16
7,16,21.84,16
7,17,23.18,16
7,18,23.75,16
7,19,22.58,16
7,20,21.42,16
7,21,21.17,16
7,22,21.56,16
7,23,21.87,16
7,24,21.85,16
7,25,21.18,16
7,26,21.64,16
7,27,21.35,16
7,28,21.72,16
7,29,21.57,16
7,30,22.24,16
7,31,21.88,16
8,1,21.75,16
8,2,22.01,16
8,3,21.67,16
8,4,21.81,16
8,5,21.71,16
8,6,22.63,16
8,7,21.99,16
8,8,22.38,16
8,9,22.68,16
8,10,23.24,16
8,11,23.56,16
8,12,22.76,16
8,13,21.79,16
8,14,22.39,16
8,15,22.12,16
8,16,21.8,16
8,17,22.07,16
8,18,21.6,16
8,19,21.83,16
8,20,22.58,16
8,21,23.23,16
8,22,22.49,16
8,23,23.16,16
8,24,22.6,16
8,25,22.56,16
8,26,22.33,16
8,27,23.05,16
8,28,22.37,16
8,29,21.32,16
8,30,21.07,16
8,31,21.15,16
9,1,20.98,16
9,2,20.83,16
9,3,21.1,16
9,4,21.9,16
9,5,21.79,16
9,6,21.96,16
9,7,21.86,16
9,8,20.73,16
9,9,20.86,16
9,10,20.9,16
9,11,21.7,16
9,12,21.2,16
9,13,21.62,16
9,14,20.92,16
9,15,20.97,16
9,16,20.69,16
9,17,20.48,16
9,18,19.79,16
9,19,19.89,16
9,20,20.39,16
9,21,19.82,16
9,22,19.35,16
9,23,19.85,16
9,24,19.2,16
9,25,18.6,16
9,26,19.12,16
9,27,19.8,16
9,28,19.9,16
9,29,19.57,16
9,30,19.57,16
10,1,19.44,16
10,2,19.6,16
10,3,19.26,16
10,4,18.47,16
10,5,19.29,16
10,6,19.06,16
10,7,18.42,16
10,8,18.88,16
10,9,18.4,16
10,10,17.7,16
10,11,18.39,16
10,12,19.05,16
10,13,18.91,16
10,14,17.36,16
10,15,17.58,16
10,16,18.64,16
10,17,18.88,16
10,18,19.01,16
10,19,18.95,16
10,20,17.79,16
10,21,17.03,16
10,22,17.15,16
10,23,17.13,16
10,24,17.92,16
10,25,16.91,16
10,26,16.88,16
10,27,16.6,16
10,28,16.19,16
10,29,16.73,16
10,30,16.54,16
10,31,17.12,16
11,1,16.94,16
11,2,16.63,16
11,3,15.36,16
11,4,14.96,16
11,5,14.77,16
11,6,14.33,16
11,7,13.51,16
11,8,14.49,16
11,9,13.93,16
11,10,13.94,16
11,11,14.32,16
11,12,15.41,16
11,13,15.1,16
11,14,13.92,16
11,15,13.4,16
11,16,13.58,16
11,17,13.49,16
11,18,12.79,16
11,19,12.61,16
11,20,12.75,16
11,21,12.55,16
11,22,11.66,16
11,23,12.41,16
11,24,12.63,16
11,25,11.73,16
11,26,10.78,16
11,27,10.96,16
11,28,11.11,16
11,29,11.89,16
11,30,11.33,16
12,1,9.88,16
12,2,9.07,16
12,3,9.77,16
12,4,10.66,16
12,5,10.88,16
12,6,11.41,16
12,7,12.38,16
12,8,11.57,16
12,9,10.83,16
12,10,10.75,16
12,11,10.65,16
12,12,10.75,16
12,13,11.42,16
12,14,11.71,16
12,15,11.6,16
12,16,11.3,16
12,17,10.86,16
12,18,12.01,16
12,19,11.66,16
12,20,11.54,16
12,21,11.6,16
12,22,12.54,16
12,23,12.21,16
12,24,11.97,16
12,25,10.58,16
12,26,9.82,16
12,27,11.13,16
12,28,10.79,16
12,29,10.19,16
12,30,10.46,16
12,31,10.14,16
