calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,155.31,83.25,242.4,179.0,152.68,201.79,8.17,3.4,12.6,80.01,68.0,90.0,-4.1,21.0
2,2,Feb,126.78,52.75,208.0,201.22,168.98,227.78,8.83,4.4,12.8,77.65,65.0,88.0,-4.6,24.4
3,3,Mar,117.91,47.25,181.6,272.18,240.87,302.06,10.76,7.35,14.1,75.57,63.0,86.5,-2.2,27.2
4,4,Apr,108.75,46.2,164.1,296.35,260.94,341.35,12.95,9.79,16.5,75.76,63.0,87.0,0.3,29.2
5,5,May,105.0,41.0,161.15,346.67,310.63,377.49,15.31,12.0,18.85,78.32,67.0,87.0,2.9,34.0
6,6,Jun,103.93,56.0,169.1,344.67,312.18,374.78,18.6,15.4,21.91,80.22,73.0,87.0,9.0,41.0
7,7,Jul,62.56,14.8,107.35,376.49,346.1,407.65,20.49,17.9,22.9,79.49,73.0,86.0,10.9,40.6
8,8,Aug,65.19,28.7,103.65,363.7,346.69,376.68,20.95,18.25,24.05,78.3,70.0,85.0,12.4,39.1
9,9,Sep,97.38,43.85,203.15,308.65,287.02,333.01,19.11,15.9,22.5,77.85,66.0,86.1,8.3,35.2
10,10,Oct,103.81,36.95,172.6,253.31,217.08,284.54,16.46,12.65,20.45,77.13,64.0,89.0,4.2,33.1
11,11,Nov,201.49,100.85,306.55,190.81,154.98,221.49,12.07,7.7,16.0,79.67,68.0,89.0,-0.3,25.6
12,12,Dec,150.63,52.95,266.35,172.69,152.46,215.59,9.71,5.6,13.5,79.66,67.0,90.0,-2.8,20.6
