calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute,temperature_2m_mean_min,temperature_2m_mean_max
1,1,Jan,91.97333333333333,37.84,152.14,321.4335101851852,308.00419166666666,335.50704,13.760430107526883,12.5,15.1,78.3010752688172,70.0,86.0,1.7,25.2,1.7,25.2
2,2,Feb,158.45333333333335,66.36,292.32,282.7421118518519,266.0878911111111,301.08233666666666,14.194575471698114,13.0,15.4,79.94811320754717,72.0,88.0,4.0,23.9,4.0,23.9
3,3,Mar,208.82000000000002,70.38,379.2,292.2136709259259,262.4338594444444,328.6308872222222,14.2047311827957,12.9,15.7,82.13118279569892,75.0,90.0,6.3,24.7,6.3,24.7
4,4,Apr,240.78,86.86,462.34,266.9031340740741,232.7619322222222,299.5035766666667,14.068666666666665,13.0,15.110000000000001,83.1511111111111,75.0,92.0,5.6,24.2,5.6,24.2
5,5,May,201.8133333333333,60.1,375.34,282.5176607407408,245.9041877777778,307.21170277777776,14.067741935483872,13.1,15.1,82.51397849462366,77.0,89.0,7.0,21.6,7.0,21.6
6,6,Jun,150.2533333333333,32.96,287.04,291.2870750000001,239.20055000000002,324.48841055555556,13.766666666666667,12.6,14.8,78.75333333333333,73.0,85.0,6.6,21.0,6.6,21.0
7,7,Jul,142.99333333333334,30.580000000000002,268.48,296.9732209259259,258.50226388888893,335.80234666666666,13.566021505376346,12.2,14.9,76.65591397849462,67.4,84.0,6.2,21.4,6.2,21.4
8,8,Aug,101.37333333333332,17.34,202.1,321.53085907407404,293.2384488888889,341.57320944444444,13.913763440860217,12.6,15.3,73.15483870967742,66.0,80.0,5.9,22.5,5.9,22.5
9,9,Sep,85.51333333333332,22.94,172.08,320.17269351851854,306.1560027777778,332.23388222222223,14.228444444444444,13.1,15.4,72.60666666666667,64.9,81.0,4.2,23.7,4.2,23.7
10,10,Oct,160.8266666666667,55.440000000000005,307.28000000000003,302.5222077777778,282.8177577777778,320.1355966666667,13.875483870967743,13.0,14.8,79.89462365591397,71.0,89.0,5.1,22.6,5.1,22.6
11,11,Nov,214.96666666666664,89.96,357.76,286.47439499999996,261.16466388888887,305.4805688888889,13.661555555555555,12.9,14.5,84.69777777777777,78.0,91.0,6.1,22.6,6.1,22.6
12,12,Dec,128.53333333333333,37.22,252.5,314.51767537037034,296.58526,333.89010666666667,13.780645161290323,12.8,14.8,80.46666666666667,72.0,89.0,3.7,23.6,3.7,23.6
