month,day,avg_daytime_temperature,years_sampled
1,1,16.44,16
1,2,16.35,16
1,3,16.1,16
1,4,15.93,16
1,5,16.13,16
1,6,16.1,16
1,7,16.2,16
1,8,16.07,16
1,9,15.8,16
1,10,15.86,16
1,11,15.94,16
1,12,16.09,16
1,13,15.85,16
1,14,15.93,16
1,15,16.13,16
1,16,16.09,16
1,17,16.14,16
1,18,16.1,16
1,19,16.2,16
1,20,16.08,16
1,21,16.29,16
1,22,16.02,16
1,23,16.0,16
1,24,16.17,16
1,25,16.24,16
1,26,16.4,16
1,27,16.39,16
1,28,16.42,16
1,29,16.63,16
1,30,16.65,16
1,31,16.38,16
2,1,16.55,16
2,2,16.75,16
2,3,16.79,16
2,4,16.61,16
2,5,16.38,16
2,6,16.23,16
2,7,16.7,16
2,8,16.29,16
2,9,16.17,16
2,10,16.16,16
2,11,16.32,16
2,12,16.5,16
2,13,16.49,16
2,14,16.18,16
2,15,16.57,16
2,16,16.57,16
2,17,16.37,16
2,18,16.22,16
2,19,16.33,16
2,20,16.18,16
2,21,16.05,16
2,22,16.01,16
2,23,16.17,16
2,24,15.92,16
2,25,16.05,16
2,26,15.99,16
2,27,16.04,16
2,28,16.3,16
2,29,17.09,4
3,1,16.25,16
3,2,16.05,16
3,3,16.08,16
3,4,16.14,16
3,5,16.13,16
3,6,16.35,16
3,7,16.16,16
3,8,16.22,16
3,9,16.18,16
3,10,16.14,16
3,11,16.08,16
3,12,16.03,16
3,13,16.14,16
3,14,16.38,16
3,15,16.12,16
3,16,16.25,16
3,17,16.17,16
3,18,15.81,16
3,19,15.76,16
3,20,15.96,16
3,21,15.77,16
3,22,15.75,16
3,23,15.64,16
3,24,15.85,16
3,25,15.9,16
3,26,15.9,16
3,27,16.06,16
3,28,16.0,16
3,29,15.72,16
3,30,15.79,16
3,31,15.69,16
4,1,15.99,16
4,2,15.84,16
4,3,15.82,16
4,4,15.88,16
4,5,15.59,16
4,6,15.57,16
4,7,15.58,16
4,8,15.78,16
4,9,15.53,16
4,10,15.75,16
4,11,15.86,16
4,12,15.37,16
4,13,15.94,16
4,14,15.73,16
4,15,15.67,16
4,16,15.87,16
4,17,15.5,16
4,18,15.56,16
4,19,15.27,16
4,20,15.38,16
4,21,15.29,16
4,22,15.16,16
4,23,15.61,16
4,24,15.63,16
4,25,15.68,16
4,26,15.84,16
4,27,15.7,16
4,28,15.46,16
4,29,15.24,16
4,30,15.41,16
5,1,15.38,16
5,2,15.47,16
5,3,15.15,16
5,4,15.55,16
5,5,15.2,16
5,6,15.54,16
5,7,15.33,16
5,8,15.29,16
5,9,15.19,16
5,10,15.4,16
5,11,15.68,16
5,12,15.78,16
5,13,15.88,16
5,14,15.75,16
5,15,15.63,16
5,16,15.7,16
5,17,15.56,16
5,18,15.58,16
5,19,15.61,16
5,20,15.66,16
5,21,15.65,16
5,22,15.55,16
5,23,15.67,16
5,24,15.69,16
5,25,15.59,16
5,26,15.51,16
5,27,15.5,16
5,28,15.37,16
5,29,15.38,16
5,30,15.32,16
5,31,15.48,16
6,1,15.41,16
6,2,15.66,16
6,3,15.39,16
6,4,15.36,16
6,5,15.61,16
6,6,15.48,16
6,7,15.39,16
6,8,15.3,16
6,9,15.43,16
6,10,15.35,16
6,11,15.26,16
6,12,15.41,16
6,13,15.3,16
6,14,15.14,16
6,15,15.29,16
6,16,15.16,16
6,17,15.11,16
6,18,15.08,16
6,19,14.96,16
6,20,14.86,16
6,21,15.1,16
6,22,15.43,16
6,23,15.42,16
6,24,15.26,16
6,25,15.04,16
6,26,15.06,16
6,27,15.21,16
6,28,15.15,16
6,29,15.29,16
6,30,15.01,16
7,1,15.04,16
7,2,15.19,16
7,3,15.41,16
7,4,15.12,16
7,5,14.94,16
7,6,14.91,16
7,7,14.87,16
7,8,15.19,16
7,9,15.25,16
7,10,15.06,16
7,11,14.95,16
7,12,14.95,16
7,13,14.85,16
7,14,15.09,16
7,15,15.02,16
7,16,15.09,16
7,17,15.26,16
7,18,15.04,16
7,19,14.8,16
7,20,14.9,16
7,21,15.24,16
7,22,15.09,16
7,23,14.96,16
7,24,15.28,16
7,25,15.14,16
7,26,15.33,16
7,27,15.23,16
7,28,15.35,16
7,29,15.48,16
7,30,14.8,16
7,31,15.03,16
8,1,15.2,16
8,2,15.36,16
8,3,15.39,16
8,4,15.56,16
8,5,15.47,16
8,6,15.56,16
8,7,15.59,16
8,8,15.55,16
8,9,15.34,16
8,10,15.64,16
8,11,15.57,16
8,12,15.7,16
8,13,15.43,16
8,14,15.45,16
8,15,15.58,16
8,16,15.83,16
8,17,16.06,16
8,18,16.05,16
8,19,15.66,16
8,20,15.69,16
8,21,15.89,16
8,22,15.84,16
8,23,15.94,16
8,24,15.8,16
8,25,15.92,16
8,26,15.66,16
8,27,15.89,16
8,28,15.75,16
8,29,15.77,16
8,30,16.07,16
8,31,16.26,16
9,1,16.27,16
9,2,16.1,16
9,3,16.21,16
9,4,16.07,16
9,5,16.17,16
9,6,16.2,16
9,7,16.41,16
9,8,16.23,16
9,9,16.28,16
9,10,16.37,16
9,11,16.35,16
9,12,16.48,16
9,13,16.29,16
9,14,16.44,16
9,15,16.48,16
9,16,16.52,16
9,17,16.52,16
9,18,16.34,16
