calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,55.86,23.45,77.95,337.56,324.31,351.9,13.55,12.15,15.1,77.9,69.0,86.0,1.3,24.7
2,2,Feb,91.41,42.3,155.7,291.15,271.31,311.52,13.97,12.71,15.39,79.78,72.0,88.0,3.6,23.4
3,3,Mar,132.49,65.2,208.8,305.59,273.87,340.4,13.94,12.6,15.6,82.12,75.5,90.0,5.9,24.3
4,4,Apr,151.96,79.95,263.05,279.16,228.83,318.9,13.84,12.6,15.0,82.94,75.0,92.0,5.1,23.8
5,5,May,98.66,44.6,171.9,293.6,253.74,316.95,13.8,12.7,15.0,82.35,77.0,88.0,6.5,21.6
6,6,Jun,51.02,25.25,94.55,308.17,281.18,333.42,13.49,12.1,14.8,78.81,73.0,85.0,6.2,21.0
7,7,Jul,46.06,27.0,72.3,319.29,294.91,346.42,13.29,11.8,14.8,76.71,68.0,84.0,5.8,21.2
8,8,Aug,31.04,16.2,53.4,335.87,308.67,354.72,13.65,12.1,15.2,73.09,66.0,80.0,5.5,22.5
9,9,Sep,33.17,21.05,60.1,328.77,308.0,344.36,13.96,12.7,15.3,72.52,65.0,80.1,3.7,23.7
10,10,Oct,91.69,46.35,138.9,304.23,268.63,328.25,13.64,12.6,14.7,79.52,71.0,89.0,4.6,22.2
11,11,Nov,147.12,88.3,213.35,288.79,254.68,312.37,13.46,12.5,14.5,84.12,77.0,91.0,5.7,22.2
12,12,Dec,76.71,24.75,130.8,329.07,310.13,351.91,13.54,12.5,14.6,80.27,72.0,89.0,3.2,23.2
