month,day,avg_daytime_temperature,years_sampled
1,1,2.64,16
1,2,0.98,16
1,3,-1.0,16
1,4,-0.05,16
1,5,-0.81,16
1,6,-0.2,16
1,7,-2.12,16
1,8,-2.03,16
1,9,-1.0,16
1,10,0.65,16
1,11,1.27,16
1,12,3.9,16
1,13,2.45,16
1,14,-0.12,16
1,15,-1.54,16
1,16,0.46,16
1,17,-0.35,16
1,18,0.33,16
1,19,0.91,16
1,20,-0.66,16
1,21,-3.83,16
1,22,-3.15,16
1,23,-1.55,16
1,24,-1.21,16
1,25,0.75,16
1,26,0.37,16
1,27,1.52,16
1,28,0.27,16
1,29,-1.11,16
1,30,-2.03,16
1,31,-2.34,16
2,1,-0.12,16
2,2,0.09,16
2,3,-1.2,16
2,4,-0.06,16
2,5,0.23,16
2,6,-1.13,16
2,7,-0.36,16
2,8,-0.23,16
2,9,-1.89,16
2,10,0.32,16
2,11,-0.8,16
2,12,-0.94,16
2,13,-1.45,16
2,14,-1.69,16
2,15,-0.79,16
2,16,2.01,16
2,17,0.74,16
2,18,0.12,16
2,19,0.54,16
2,20,0.73,16
2,21,1.4,16
2,22,2.78,16
2,23,3.84,16
2,24,3.0,16
2,25,2.89,16
2,26,1.04,16
2,27,1.87,16
2,28,2.53,16
2,29,3.08,4
3,1,2.42,16
3,2,2.04,16
3,3,1.4,16
3,4,1.27,16
3,5,1.3,16
3,6,2.63,16
3,7,2.85,16
3,8,4.46,16
3,9,5.31,16
3,10,5.77,16
3,11,6.36,16
3,12,5.69,16
3,13,3.84,16
3,14,3.96,16
3,15,4.37,16
3,16,4.05,16
3,17,5.78,16
3,18,5.77,16
3,19,4.27,16
3,20,6.78,16
3,21,5.8,16
3,22,4.83,16
3,23,5.07,16
3,24,4.66,16
3,25,6.06,16
3,26,5.24,16
3,27,5.22,16
3,28,5.85,16
3,29,6.0,16
3,30,6.92,16
3,31,8.53,16
4,1,7.73,16
4,2,5.97,16
4,3,7.48,16
4,4,8.15,16
4,5,7.33,16
4,6,7.72,16
4,7,9.4,16
4,8,8.55,16
4,9,8.87,16
4,10,9.97,16
4,11,11.1,16
4,12,11.14,16
4,13,12.46,16
4,14,12.72,16
4,15,11.83,16
4,16,10.84,16
4,17,10.75,16
4,18,9.35,16
4,19,11.84,16
4,20,11.35,16
4,21,11.91,16
4,22,11.05,16
4,23,10.74,16
4,24,12.08,16
4,25,10.93,16
4,26,10.4,16
4,27,10.94,16
4,28,12.09,16
4,29,12.26,16
4,30,11.11,16
5,1,11.99,16
5,2,14.88,16
5,3,14.62,16
5,4,13.7,16
5,5,12.35,16
5,6,14.63,16
5,7,15.25,16
5,8,13.6,16
5,9,12.21,16
5,10,14.09,16
5,11,14.87,16
5,12,14.91,16
5,13,14.52,16
5,14,15.61,16
5,15,17.35,16
5,16,17.13,16
5,17,17.13,16
5,18,16.14,16
5,19,15.56,16
5,20,17.43,16
5,21,17.61,16
5,22,17.33,16
5,23,17.46,16
5,24,17.31,16
5,25,18.21,16
5,26,20.99,16
5,27,20.1,16
5,28,19.48,16
5,29,18.13,16
5,30,19.65,16
5,31,19.71,16
6,1,19.39,16
6,2,18.89,16
6,3,17.59,16
6,4,17.75,16
6,5,19.12,16
6,6,19.98,16
6,7,19.83,16
6,8,20.82,16
6,9,20.51,16
6,10,19.23,16
6,11,19.84,16
6,12,20.87,16
6,13,19.79,16
6,14,19.52,16
6,15,19.41,16
6,16,20.72,16
6,17,21.15,16
6,18,22.73,16
6,19,23.15,16
6,20,23.76,16
6,21,23.61,16
6,22,22.42,16
6,23,23.42,16
6,24,24.32,16
6,25,23.76,16
6,26,23.27,16
6,27,22.67,16
6,28,23.18,16
6,29,24.45,16
6,30,24.87,16
7,1,24.35,16
7,2,24.23,16
7,3,24.9,16
7,4,24.75,16
7,5,25.61,16
7,6,27.0,16
7,7,25.52,16
7,8,25.09,16
7,9,24.23,16
7,10,24.03,16
7,11,24.65,16
7,12,25.78,16
7,13,24.9,16
7,14,24.28,16
7,15,25.27,16
7,16,25.8,16
7,17,26.56,16
7,18,25.51,16
7,19,26.23,16
7,20,26.72,16
7,21,26.08,16
7,22,25.71,16
7,23,25.28,16
7,24,24.77,16
7,25,23.9,16
7,26,24.72,16
7,27,25.32,16
7,28,25.58,16
7,29,25.23,16
7,30,25.22,16
7,31,23.92,16
8,1,24.24,16
8,2,24.52,16
8,3,25.23,16
8,4,25.17,16
8,5,24.82,16
8,6,24.73,16
8,7,23.89,16
8,8,24.37,16
8,9,25.13,16
8,10,24.65,16
8,11,24.81,16
8,12,25.07,16
8,13,24.21,16
8,14,24.38,16
8,15,22.92,16
8,16,23.05,16
8,17,24.02,16
8,18,23.76,16
8,19,23.79,16
8,20,23.42,16
8,21,23.99,16
8,22,22.81,16
8,23,22.86,16
8,24,23.66,16
8,25,24.22,16
8,26,24.24,16
8,27,23.24,16
8,28,23.28,16
8,29,22.98,16
8,30,23.88,16
8,31,24.34,16
9,1,22.53,16
9,2,22.58,16
9,3,23.11,16
9,4,23.51,16
9,5,22.64,16
9,6,22.36,16
9,7,22.03,16
9,8,21.86,16
9,9,21.04,16
9,10,20.36,16
9,11,21.46,16
9,12,21.04,16
9,13,20.95,16
9,14,21.18,16
9,15,19.91,16
9,16,19.28,16
9,17,19.63,16
9,18,19.77,16
9,19,18.67,16
9,20,18.36,16
9,21,18.87,16
9,22,19.71,16
9,23,19.42,16
9,24,18.92,16
9,25,18.69,16
9,26,19.67,16
9,27,19.57,16
9,28,19.53,16
9,29,18.19,16
9,30,16.69,16
10,1,16.77,16
10,2,16.17,16
10,3,15.88,16
10,4,16.2,16
10,5,16.21,16
10,6,16.6,16
10,7,18.41,16
10,8,16.07,16
10,9,15.24,16
10,10,15.63,16
10,11,14.92,16
10,12,14.68,16
10,13,14.12,16
10,14,15.09,16
10,15,15.15,16
10,16,14.11,16
10,17,13.43,16
10,18,13.74,16
10,19,13.79,16
10,20,15.44,16
10,21,15.41,16
10,22,14.33,16
10,23,13.09,16
10,24,12.73,16
10,25,12.52,16
10,26,12.77,16
10,27,11.78,16
10,28,11.6,16
10,29,11.43,16
10,30,11.25,16
10,31,11.39,16
11,1,11.46,16
11,2,10.7,16
11,3,10.11,16
11,4,9.34,16
11,5,11.73,16
11,6,11.77,16
11,7,11.58,16
11,8,8.76,16
11,9,9.12,16
11,10,9.75,16
11,11,9.27,16
11,12,8.74,16
11,13,7.42,16
11,14,6.04,16
11,15,6.12,16
11,16,8.25,16
11,17,7.32,16
11,18,6.88,16
11,19,5.96,16
11,20,5.75,16
11,21,5.12,16
11,22,5.94,16
11,23,5.28,16
11,24,4.78,16
11,25,5.88,16
11,26,7.36,16
11,27,6.88,16
11,28,4.52,16
11,29,4.16,16
11,30,4.26,16
12,1,5.95,16
12,2,5.2,16
12,3,5.3,16
12,4,3.93,16
12,5,3.55,16
12,6,4.02,16
12,7,2.91,16
12,8,1.44,16
12,9,2.88,16
12,10,4.55,16
12,11,3.37,16
12,12,2.65,16
12,13,3.02,16
12,14,2.0,16
12,15,2.17,16
12,16,1.79,16
12,17,2.83,16
12,18,3.17,16
12,19,1.86,16
12,20,0.98,16
12,21,3.37,16
12,22,2.89,16
12,23,2.62,16
12,24,2.38,16
12,25,2.2,16
12,26,0.81,16
12,27,1.73,16
12,28,2.17,16
12,29,1.97,16
12,30,1.18,16
12,31,1.76,16
