month,day,avg_daytime_temperature,years_sampled
1,1,24.44,16
1,2,24.84,16
1,3,24.58,16
1,4,24.94,16
1,5,25.18,16
1,6,25.15,16
1,7,25.34,16
1,8,25.59,16
1,9,26.31,16
1,10,26.15,16
1,11,25.43,16
1,12,24.69,16
1,13,25.09,16
1,14,25.51,16
1,15,25.86,16
1,16,26.13,16
1,17,25.38,16
1,18,25.35,16
1,19,25.43,16
1,20,25.64,16
1,21,25.83,16
1,22,26.97,16
1,23,26.92,16
1,24,26.96,16
1,25,25.46,16
1,26,25.95,16
1,27,25.25,16
1,28,25.85,16
1,29,26.05,16
1,30,26.25,16
1,31,25.6,16
2,1,26.07,16
2,2,25.92,16
2,3,25.76,16
2,4,25.28,16
2,5,25.38,16
2,6,25.4,16
2,7,26.16,16
2,8,25.95,16
2,9,25.02,16
2,10,25.66,16
2,11,24.81,16
2,12,24.58,16
2,13,24.14,16
2,14,24.17,16
2,15,25.24,16
2,16,25.52,16
2,17,24.81,16
2,18,24.61,16
2,19,24.39,16
2,20,23.99,16
2,21,24.29,16
2,22,24.66,16
2,23,24.33,16
2,24,24.15,16
2,25,23.04,16
2,26,22.77,16
2,27,23.91,16
2,28,24.2,16
2,29,24.51,4
3,1,24.8,16
3,2,24.97,16
3,3,23.92,16
3,4,24.03,16
3,5,23.93,16
3,6,23.85,16
3,7,24.38,16
3,8,24.02,16
3,9,23.38,16
3,10,23.48,16
3,11,23.05,16
3,12,22.41,16
3,13,22.49,16
3,14,22.16,16
3,15,21.41,16
3,16,21.88,16
3,17,22.76,16
3,18,21.54,16
3,19,21.38,16
3,20,21.26,16
3,21,20.46,16
3,22,20.6,16
3,23,20.91,16
3,24,21.23,16
3,25,20.17,16
3,26,20.42,16
3,27,20.92,16
3,28,21.84,16
3,29,22.51,16
3,30,22.39,16
3,31,21.47,16
4,1,21.2,16
4,2,21.1,16
4,3,20.7,16
4,4,19.93,16
4,5,20.53,16
4,6,19.54,16
4,7,20.22,16
4,8,20.38,16
4,9,20.88,16
4,10,20.61,16
4,11,20.19,16
4,12,19.01,16
4,13,18.52,16
4,14,18.71,16
4,15,18.67,16
4,16,18.6,16
4,17,19.01,16
4,18,18.99,16
4,19,19.79,16
4,20,19.42,16
4,21,18.73,16
4,22,18.31,16
4,23,18.34,16
4,24,18.18,16
4,25,18.14,16
4,26,17.95,16
4,27,17.88,16
4,28,17.84,16
4,29,17.06,16
4,30,17.22,16
5,1,16.86,16
5,2,16.98,16
5,3,16.67,16
5,4,16.8,16
5,5,17.08,16
5,6,16.83,16
5,7,16.71,16
5,8,16.53,16
5,9,16.39,16
5,10,16.34,16
5,11,15.53,16
5,12,15.16,16
5,13,16.03,16
5,14,15.84,16
5,15,15.56,16
5,16,15.24,16
5,17,15.28,16
5,18,14.91,16
5,19,14.79,16
5,20,14.92,16
5,21,14.91,16
5,22,14.88,16
5,23,14.45,16
5,24,14.33,16
5,25,14.27,16
5,26,14.26,16
5,27,14.12,16
5,28,14.33,16
5,29,13.74,16
5,30,12.88,16
5,31,12.89,16
6,1,13.22,16
6,2,13.14,16
6,3,13.12,16
6,4,12.88,16
6,5,12.72,16
6,6,12.86,16
6,7,12.66,16
6,8,12.87,16
6,9,13.41,16
6,10,12.86,16
6,11,12.21,16
6,12,13.9,16
6,13,13.56,16
6,14,12.73,16
6,15,11.92,16
6,16,12.97,16
6,17,12.45,16
6,18,11.09,16
6,19,11.42,16
6,20,11.53,16
6,21,12.26,16
6,22,12.94,16
6,23,12.72,16
6,24,12.05,16
6,25,11.4,16
6,26,11.91,16
6,27,12.23,16
6,28,11.91,16
6,29,11.64,16
6,30,11.22,16
7,1,11.59,16
7,2,11.77,16
7,3,11.46,16
7,4,11.94,16
7,5,11.34,16
7,6,10.77,16
7,7,11.3,16
7,8,11.48,16
7,9,12.3,16
7,10,11.95,16
7,11,11.52,16
7,12,11.96,16
7,13,11.43,16
7,14,10.89,16
7,15,11.5,16
7,16,10.07,16
7,17,10.14,16
7,18,10.88,16
7,19,11.19,16
7,20,11.75,16
7,21,12.52,16
7,22,12.26,16
7,23,11.42,16
7,24,11.03,16
7,25,12.12,16
7,26,12.33,16
7,27,12.03,16
7,28,12.29,16
7,29,11.97,16
7,30,11.88,16
7,31,12.93,16
8,1,13.11,16
8,2,13.49,16
8,3,12.33,16
8,4,12.16,16
8,5,13.15,16
8,6,14.56,16
8,7,13.53,16
8,8,12.25,16
8,9,12.0,16
8,10,12.57,16
8,11,13.0,16
8,12,12.58,16
8,13,11.88,16
8,14,12.47,16
8,15,12.9,16
8,16,13.77,16
8,17,14.13,16
8,18,14.61,16
8,19,12.75,16
8,20,12.36,16
8,21,13.23,16
8,22,13.89,16
8,23,13.9,16
8,24,13.43,16
8,25,13.29,16
8,26,13.84,16
8,27,13.46,16
8,28,14.82,16
8,29,15.3,16
8,30,14.48,16
8,31,14.99,16
9,1,13.79,16
9,2,14.13,16
9,3,13.67,16
9,4,13.27,16
9,5,13.34,16
9,6,14.55,16
9,7,15.83,16
9,8,16.46,16
9,9,15.78,16
9,10,16.3,16
9,11,15.68,16
9,12,15.4,16
9,13,14.86,16
9,14,15.05,16
9,15,15.92,16
9,16,16.26,16
9,17,16.48,16
9,18,16.04,16
9,19,15.95,16
9,20,16.39,16
9,21,15.77,16
9,22,15.85,16
9,23,15.2,16
9,24,15.48,16
9,25,16.13,16
9,26,16.45,16
9,27,16.29,16
9,28,17.01,16
9,29,16.95,16
9,30,17.43,16
10,1,16.19,16
10,2,15.68,16
10,3,15.09,16
10,4,16.66,16
10,5,17.26,16
10,6,17.37,16
10,7,17.48,16
10,8,18.19,16
10,9,18.62,16
10,10,17.75,16
10,11,17.42,16
10,12,17.26,16
10,13,17.94,16
10,14,18.44,16
10,15,18.82,16
10,16,19.37,16
10,17,18.66,16
10,18,18.74,16
10,19,18.93,16
10,20,18.85,16
10,21,19.77,16
10,22,19.16,16
10,23,18.51,16
10,24,18.32,16
10,25,19.07,16
10,26,19.88,16
10,27,19.47,16
10,28,20.08,16
10,29,19.82,16
10,30,18.55,16
10,31,18.34,16
11,1,18.55,16
11,2,19.0,16
11,3,20.34,16
11,4,19.91,16
11,5,20.33,16
11,6,21.16,16
11,7,21.6,16
11,8,21.32,16
11,9,21.49,16
11,10,20.79,16
11,11,20.76,16
11,12,21.15,16
11,13,21.31,16
11,14,22.52,16
11,15,23.47,16
11,16,21.37,16
11,17,21.13,16
11,18,21.38,16
11,19,22.18,16
11,20,22.43,16
11,21,22.09,16
11,22,21.56,16
11,23,21.92,16
11,24,23.11,16
11,25,22.14,16
11,26,22.96,16
11,27,23.26,16
11,28,22.71,16
11,29,22.88,16
11,30,22.01,16
12,1,21.9,16
12,2,22.59,16
12,3,22.36,16
12,4,22.94,16
12,5,23.1,16
12,6,23.43,16
12,7,23.29,16
12,8,24.24,16
12,9,24.77,16
12,10,25.35,16
12,11,24.88,16
12,12,25.12,16
