month,day,avg_daytime_temperature,years_sampled
1,1,15.94,16
1,2,16.02,16
1,3,16.2,16
1,4,16.36,16
1,5,16.22,16
1,6,16.5,16
1,7,16.44,16
1,8,16.43,16
1,9,15.36,16
1,10,15.54,16
1,11,16.3,16
1,12,16.79,16
1,13,16.65,16
1,14,16.02,16
1,15,16.21,16
1,16,16.21,16
1,17,16.03,16
1,18,16.06,16
1,19,15.9,16
1,20,16.33,16
1,21,17.24,16
1,22,16.86,16
1,23,16.88,16
1,24,16.72,16
1,25,16.63,16
1,26,16.24,16
1,27,15.84,16
1,28,15.75,16
1,29,16.41,16
1,30,16.49,16
1,31,16.0,16
2,1,16.74,16
2,2,16.95,16
2,3,17.3,16
2,4,17.66,16
2,5,18.05,16
2,6,17.14,16
2,7,16.95,16
2,8,17.12,16
2,9,16.87,16
2,10,17.1,16
2,11,17.2,16
2,12,17.25,16
2,13,18.05,16
2,14,17.42,16
2,15,17.59,16
2,16,16.8,16
2,17,17.19,16
2,18,17.53,16
2,19,17.19,16
2,20,17.73,16
2,21,18.42,16
2,22,18.13,16
2,23,18.04,16
2,24,18.09,16
2,25,18.65,16
2,26,19.11,16
2,27,19.41,16
2,28,19.49,16
2,29,19.75,4
3,1,20.37,16
3,2,20.79,16
3,3,19.92,16
3,4,20.07,16
3,5,21.42,16
3,6,21.07,16
3,7,20.66,16
3,8,22.18,16
3,9,22.07,16
3,10,21.48,16
3,11,22.12,16
3,12,21.25,16
3,13,21.22,16
3,14,21.17,16
3,15,20.87,16
3,16,20.52,16
3,17,20.58,16
3,18,19.96,16
3,19,20.31,16
3,20,19.37,16
3,21,20.58,16
3,22,20.91,16
3,23,21.55,16
3,24,20.51,16
3,25,20.18,16
3,26,21.26,16
3,27,22.63,16
3,28,22.74,16
3,29,21.91,16
3,30,21.15,16
3,31,22.51,16
4,1,22.93,16
4,2,23.43,16
4,3,23.8,16
4,4,23.62,16
4,5,24.14,16
4,6,25.12,16
4,7,26.45,16
4,8,25.81,16
4,9,22.94,16
4,10,22.44,16
4,11,22.35,16
4,12,21.6,16
4,13,22.46,16
4,14,23.55,16
4,15,24.35,16
4,16,25.24,16
4,17,26.91,16
4,18,27.32,16
4,19,25.88,16
4,20,25.33,16
4,21,24.86,16
4,22,25.54,16
4,23,24.84,16
4,24,25.84,16
4,25,25.59,16
4,26,26.13,16
4,27,26.73,16
4,28,26.74,16
4,29,27.41,16
4,30,27.5,16
5,1,27.68,16
5,2,27.37,16
5,3,28.19,16
5,4,28.49,16
5,5,27.71,16
5,6,27.03,16
5,7,26.59,16
5,8,27.92,16
5,9,29.17,16
5,10,28.94,16
5,11,28.24,16
5,12,27.3,16
5,13,28.26,16
5,14,28.57,16
5,15,29.35,16
5,16,30.68,16
5,17,30.14,16
5,18,28.93,16
5,19,28.86,16
5,20,29.45,16
5,21,29.68,16
5,22,30.25,16
5,23,29.45,16
5,24,29.2,16
5,25,29.31,16
5,26,29.95,16
5,27,30.67,16
5,28,28.94,16
5,29,28.54,16
5,30,29.66,16
5,31,30.58,16
6,1,30.52,16
6,2,30.38,16
6,3,30.12,16
6,4,30.47,16
6,5,29.54,16
6,6,30.37,16
6,7,31.67,16
6,8,31.6,16
6,9,30.91,16
6,10,31.22,16
6,11,31.03,16
6,12,30.5,16
6,13,30.58,16
6,14,30.35,16
6,15,30.81,16
6,16,31.18,16
6,17,31.42,16
6,18,31.09,16
6,19,31.34,16
6,20,31.58,16
6,21,31.54,16
6,22,31.57,16
6,23,31.66,16
6,24,31.43,16
6,25,31.16,16
6,26,31.41,16
6,27,32.34,16
6,28,31.81,16
6,29,31.39,16
6,30,30.81,16
7,1,31.3,16
7,2,31.67,16
7,3,31.98,16
7,4,32.12,16
7,5,31.32,16
7,6,31.12,16
7,7,31.5,16
7,8,32.09,16
7,9,32.4,16
7,10,32.57,16
7,11,32.84,16
7,12,33.05,16
7,13,32.42,16
7,14,32.46,16
7,15,32.92,16
7,16,33.36,16
7,17,33.43,16
7,18,33.3,16
7,19,32.72,16
7,20,32.62,16
7,21,32.62,16
7,22,32.67,16
7,23,33.22,16
7,24,33.44,16
7,25,33.72,16
7,26,33.58,16
7,27,33.43,16
7,28,32.98,16
7,29,32.88,16
7,30,32.95,16
7,31,33.09,16
8,1,33.6,16
8,2,33.4,16
8,3,33.26,16
8,4,33.28,16
8,5,33.53,16
8,6,34.01,16
8,7,33.71,16
8,8,33.13,16
8,9,32.97,16
8,10,33.27,16
8,11,33.05,16
8,12,32.92,16
8,13,33.02,16
8,14,32.85,16
8,15,33.08,16
8,16,32.76,16
8,17,32.34,16
8,18,32.28,16
8,19,32.37,16
8,20,32.45,16
8,21,32.63,16
8,22,32.53,16
8,23,32.66,16
