calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,5.41,0.85,10.9,291.56,281.09,302.36,14.17,11.6,16.8,56.67,42.0,70.0,3.4,28.6
2,2,Feb,4.89,0.7,9.8,267.86,253.82,286.59,15.32,12.3,18.89,54.02,39.0,67.0,3.3,33.2
3,3,Mar,5.76,0.45,7.8,339.03,324.44,354.09,18.41,15.0,23.05,48.11,31.0,61.0,4.9,38.6
4,4,Apr,1.58,0.0,3.8,346.92,333.38,358.45,22.14,18.09,26.6,42.8,25.0,55.0,9.4,41.7
5,5,May,0.43,0.0,1.4,388.01,369.37,402.3,26.26,22.4,30.8,39.98,24.0,52.0,11.8,45.3
6,6,Jun,0.08,0.0,0.3,409.88,402.82,413.73,28.98,25.9,32.2,42.95,31.0,52.0,16.3,45.1
7,7,Jul,0.03,0.0,0.0,418.6,415.93,422.67,30.23,27.85,32.7,47.2,36.0,56.5,18.6,43.1
8,8,Aug,0.02,0.0,0.05,378.38,374.7,381.5,30.38,28.6,32.3,49.07,40.0,58.0,19.3,43.9
9,9,Sep,0.06,0.0,0.2,351.06,346.73,353.82,28.42,26.4,30.6,51.3,43.0,57.0,17.7,44.4
10,10,Oct,1.74,0.0,4.6,332.22,326.6,337.96,24.82,21.9,27.5,54.76,44.5,63.0,12.5,39.7
11,11,Nov,2.81,0.1,6.15,291.84,286.37,298.48,20.44,17.49,23.6,57.95,44.0,69.0,7.7,34.1
12,12,Dec,4.18,0.15,11.8,286.78,269.63,296.45,16.04,13.6,18.6,58.76,44.0,71.0,3.3,32.0
