month,day,avg_accumulated_precipitation,years_sampled
1,1,0.11,16
1,2,0.13,16
1,3,0.15,16
1,4,0.4,16
1,5,0.45,16
1,6,0.48,16
1,7,0.53,16
1,8,0.6,16
1,9,1.19,16
1,10,1.28,16
1,11,1.32,16
1,12,1.33,16
1,13,1.33,16
1,14,1.54,16
1,15,1.64,16
1,16,1.74,16
1,17,2.49,16
1,18,2.59,16
1,19,2.93,16
1,20,3.1,16
1,21,3.14,16
1,22,3.15,16
1,23,3.16,16
1,24,3.23,16
1,25,3.79,16
1,26,4.65,16
1,27,4.91,16
1,28,4.92,16
1,29,4.98,16
1,30,5.07,16
1,31,5.41,16
2,1,5.49,16
2,2,5.58,16
2,3,5.59,16
2,4,5.74,16
2,5,5.74,16
2,6,6.1,16
2,7,6.14,16
2,8,6.14,16
2,9,6.16,16
2,10,6.16,16
2,11,6.28,16
2,12,6.46,16
2,13,6.51,16
2,14,6.78,16
2,15,7.13,16
2,16,7.45,16
2,17,7.59,16
2,18,7.74,16
2,19,8.53,16
2,20,8.6,16
2,21,8.81,16
2,22,8.86,16
2,23,9.3,16
2,24,9.71,16
2,25,10.21,16
2,26,10.23,16
2,27,10.26,16
2,28,10.3,16
2,29,10.3,4
3,1,10.37,16
3,2,10.39,16
3,3,10.42,16
3,4,10.42,16
3,5,10.72,16
3,6,10.73,16
3,7,10.74,16
3,8,10.74,16
3,9,10.77,16
3,10,10.79,16
3,11,10.81,16
3,12,13.54,16
3,13,14.2,16
3,14,14.37,16
3,15,14.47,16
3,16,14.52,16
3,17,14.55,16
3,18,14.7,16
3,19,14.71,16
3,20,14.83,16
3,21,14.84,16
3,22,14.86,16
3,23,14.86,16
3,24,15.09,16
3,25,15.54,16
3,26,15.74,16
3,27,15.75,16
3,28,15.79,16
3,29,15.85,16
3,30,16.01,16
3,31,16.06,16
4,1,16.09,16
4,2,16.11,16
4,3,16.26,16
4,4,16.26,16
4,5,16.26,16
4,6,16.27,16
4,7,16.31,16
4,8,16.31,16
4,9,16.38,16
4,10,16.42,16
4,11,16.44,16
4,12,16.6,16
4,13,16.67,16
4,14,16.67,16
4,15,17.22,16
4,16,17.22,16
4,17,17.22,16
4,18,17.22,16
4,19,17.48,16
4,20,17.48,16
4,21,17.51,16
4,22,17.51,16
4,23,17.51,16
4,24,17.51,16
4,25,17.54,16
4,26,17.54,16
4,27,17.54,16
4,28,17.57,16
4,29,17.57,16
4,30,17.63,16
5,1,17.65,16
5,2,17.65,16
5,3,17.69,16
5,4,17.73,16
5,5,17.77,16
5,6,17.78,16
5,7,17.78,16
5,8,17.78,16
5,9,17.79,16
5,10,17.79,16
5,11,17.82,16
5,12,17.82,16
5,13,17.84,16
5,14,17.88,16
5,15,17.88,16
5,16,17.88,16
5,17,17.88,16
5,18,17.88,16
5,19,17.88,16
5,20,17.88,16
5,21,17.88,16
5,22,17.88,16
5,23,17.88,16
5,24,17.88,16
5,25,18.05,16
5,26,18.05,16
5,27,18.05,16
5,28,18.05,16
5,29,18.05,16
5,30,18.06,16
5,31,18.06,16
6,1,18.06,16
6,2,18.06,16
6,3,18.06,16
6,4,18.06,16
6,5,18.06,16
6,6,18.06,16
6,7,18.06,16
6,8,18.08,16
