time,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,temperature_2m_mean,temperature_2m_min,temperature_2m_max,sunshine_hours,calendar_month
2010-01-01,0.0,71,35634.18,25.3,23.4,28.5,9.898383333333333,1
2010-01-02,0.0,61,26882.21,22.3,21.6,23.3,7.467280555555555,1
2010-01-03,2.4,59,22589.59,21.3,20.6,22.0,6.274886111111111,1
2010-01-04,12.1,80,11846.7,20.4,19.0,21.7,3.29075,1
2010-01-05,1.2,70,35788.8,20.1,18.8,21.2,9.941333333333334,1
2010-01-06,0.0,55,35827.73,20.0,18.7,21.8,9.952147222222223,1
2010-01-07,0.0,58,31339.74,21.4,19.9,23.1,8.705483333333333,1
2010-01-08,0.0,64,35908.12,22.8,20.4,24.9,9.974477777777778,1
2010-01-09,9.9,81,874.85,20.2,18.4,21.9,0.2430138888888889,1
2010-01-10,0.5,59,13913.45,18.5,18.0,18.8,3.8648472222222225,1
2010-01-11,0.0,57,33044.7,18.7,17.8,20.1,9.179083333333333,1
2010-01-12,0.0,58,31721.84,19.4,18.2,20.6,8.811622222222223,1
2010-01-13,0.0,54,26404.48,20.6,19.2,21.9,7.334577777777778,1
2010-01-14,0.0,55,23027.96,21.8,20.5,23.1,6.396655555555555,1
2010-01-15,9.2,79,28800.0,24.0,22.6,26.0,8.0,1
2010-01-16,9.5,82,34373.35,25.2,22.2,27.6,9.548152777777778,1
2010-01-17,0.0,75,35892.21,22.0,20.3,23.6,9.970058333333332,1
2010-01-18,0.0,72,33904.07,23.6,21.7,25.3,9.417797222222221,1
2010-01-19,0.9,76,35011.05,24.4,23.3,25.8,9.725291666666667,1
2010-01-20,0.5,80,36000.0,25.1,24.2,26.3,10.0,1
2010-01-21,0.0,82,36000.0,25.9,25.1,27.2,10.0,1
2010-01-22,0.0,82,36000.0,25.6,24.4,27.6,10.0,1
2010-01-23,0.0,81,36031.05,25.4,24.2,27.1,10.008625,1
2010-01-24,0.0,81,36028.58,25.9,24.9,27.5,10.007938888888889,1
2010-01-25,0.8,72,36025.62,23.6,21.7,25.3,10.007116666666667,1
2010-01-26,0.0,63,36046.89,22.2,21.0,23.9,10.013024999999999,1
2010-01-27,0.0,67,0.0,23.4,22.2,24.3,0.0,1
2010-01-28,0.0,69,35001.77,24.4,23.5,25.2,9.722713888888888,1
2010-01-29,0.0,72,35783.16,25.6,24.5,27.1,9.939766666666667,1
2010-01-30,0.1,80,36000.0,25.7,24.0,27.3,10.0,1
2010-01-31,15.6,90,10256.6,23.2,21.6,24.6,2.8490555555555557,1
2010-02-01,4.9,86,31841.27,23.5,21.0,25.1,8.844797222222223,2
2010-02-02,1.8,84,36072.88,24.1,21.5,26.2,10.020244444444444,2
2010-02-03,0.5,80,36000.0,24.5,23.6,25.1,10.0,2
2010-02-04,0.0,77,36000.0,25.7,24.6,27.0,10.0,2
2010-02-05,9.8,79,25200.0,24.7,21.8,27.7,7.0,2
2010-02-06,0.0,66,36471.22,22.1,19.8,24.5,10.130894444444445,2
2010-02-07,0.0,61,36615.15,21.0,19.5,23.0,10.170875,2
2010-02-08,0.0,62,28912.43,23.1,20.7,25.2,8.031230555555556,2
2010-02-09,0.3,75,36208.43,25.6,23.4,27.8,10.057897222222222,2
2010-02-10,0.9,76,36000.0,22.8,21.5,23.4,10.0,2
2010-02-11,0.0,65,31516.82,21.8,20.4,23.0,8.754672222222222,2
2010-02-12,11.4,73,28616.88,23.5,20.8,27.7,7.949133333333334,2
2010-02-13,0.0,58,19045.13,19.7,18.9,20.5,5.290313888888889,2
2010-02-14,0.0,59,32892.93,20.9,18.8,23.3,9.136925,2
2010-02-15,21.3,80,19820.12,21.6,20.3,24.3,5.505588888888888,2
2010-02-16,0.0,66,36788.2,20.7,19.3,22.3,10.218944444444444,2
2010-02-17,0.0,65,36292.89,19.5,18.1,21.8,10.081358333333332,2
2010-02-18,0.0,58,17013.18,20.4,18.9,21.9,4.725883333333333,2
2010-02-19,1.7,65,945.44,21.7,20.2,23.1,0.26262222222222226,2
2010-02-20,0.3,69,36983.48,23.9,22.5,25.2,10.273188888888889,2
2010-02-21,9.2,79,36079.59,24.6,23.5,25.8,10.022108333333332,2
2010-02-22,4.6,88,36635.0,25.6,24.0,28.1,10.176388888888889,2
2010-02-23,0.0,86,31336.12,24.5,23.1,26.5,8.704477777777777,2
2010-02-24,6.8,85,11073.38,22.7,19.9,24.4,3.0759388888888886,2
2010-02-25,0.0,56,29039.9,19.7,18.5,21.3,8.066638888888889,2
2010-02-26,0.0,55,27750.43,21.9,19.6,24.2,7.708452777777778,2
2010-02-27,1.9,70,37942.66,22.0,18.9,24.7,10.53962777777778,2
2010-02-28,0.0,57,34271.75,19.9,18.2,22.2,9.519930555555556,2
2010-03-01,0.0,60,38745.48,23.3,20.5,25.3,10.762633333333333,3
2010-03-02,0.5,68,38059.83,23.1,20.1,25.6,10.572175,3
2010-03-03,0.0,55,38080.3,19.5,18.1,21.3,10.577861111111112,3
2010-03-04,0.0,56,39866.06,19.6,17.4,22.5,11.073905555555555,3
2010-03-05,0.0,57,37080.21,21.4,19.7,23.8,10.300058333333332,3
2010-03-06,0.0,61,38715.64,20.9,20.0,22.2,10.754344444444444,3
2010-03-07,0.0,58,36969.27,21.0,19.9,22.7,10.269241666666666,3
2010-03-08,0.0,58,38173.2,22.6,20.5,25.0,10.603666666666665,3
2010-03-09,0.0,60,35099.29,24.0,22.4,25.6,9.749802777777777,3
2010-03-10,0.0,70,38205.48,25.5,23.9,27.4,10.612633333333335,3
2010-03-11,0.0,85,40371.31,26.3,25.3,28.1,11.214252777777777,3
2010-03-12,0.0,81,38562.41,26.0,22.5,29.7,10.711780555555556,3
2010-03-13,0.0,58,40530.67,21.7,20.1,23.7,11.258519444444444,3
2010-03-14,0.0,53,40605.32,22.3,19.9,25.1,11.279255555555556,3
2010-03-15,0.0,60,40679.98,23.5,21.8,25.6,11.299994444444446,3
2010-03-16,0.0,63,38600.67,24.0,22.5,26.0,10.722408333333332,3
2010-03-17,4.2,72,2385.36,21.6,20.1,23.3,0.6626000000000001,3
2010-03-18,0.0,58,40903.66,20.8,18.8,24.1,11.36212777777778,3
2010-03-19,0.0,50,40977.93,21.8,19.3,24.7,11.382758333333333,3
2010-03-20,0.0,60,41051.98,23.7,22.2,25.4,11.403327777777779,3
2010-03-21,0.7,75,22038.12,23.2,19.2,26.7,6.1217,3
2010-03-22,0.2,61,35384.33,19.9,18.5,22.3,9.828980555555557,3
2010-03-23,0.0,56,41272.3,21.6,18.9,24.6,11.464527777777779,3
2010-03-24,0.5,71,27014.03,23.9,21.6,26.1,7.503897222222222,3
2010-03-25,0.4,82,40540.75,25.6,24.2,27.1,11.261319444444444,3
2010-03-26,1.2,87,39071.15,25.8,24.5,28.4,10.853097222222223,3
2010-03-27,0.4,83,41559.95,25.9,24.2,28.0,11.544430555555556,3
2010-03-28,0.0,78,41631.05,26.2,24.9,28.0,11.564180555555556,3
2010-03-29,0.5,72,37067.01,23.2,20.6,25.3,10.296391666666667,3
2010-03-30,0.0,58,41773.42,21.9,19.8,24.5,11.603727777777777,3
2010-03-31,0.0,63,41844.59,22.9,21.1,25.1,11.623497222222221,3
2010-04-01,0.0,64,41915.71,24.2,21.8,26.8,11.643252777777777,4
2010-04-02,0.0,69,41986.71,25.5,23.9,27.5,11.662975,4
2010-04-03,0.0,71,41248.82,25.7,24.2,27.9,11.458005555555555,4
2010-04-04,0.0,69,42103.24,25.4,23.9,27.1,11.695344444444444,4
2010-04-05,0.0,69,40086.67,25.1,23.8,27.1,11.13518611111111,4
2010-04-06,0.0,67,41355.16,25.3,23.9,27.1,11.487544444444445,4
2010-04-07,0.0,72,41417.89,25.9,24.5,28.0,11.504969444444445,4
2010-04-08,5.1,81,41825.14,25.9,24.8,27.9,11.618094444444445,4
2010-04-09,0.0,82,42190.36,26.2,24.7,28.2,11.719544444444445,4
2010-04-10,0.0,80,42208.05,26.0,24.5,28.0,11.724458333333335,4
2010-04-11,0.2,78,36000.0,26.2,24.3,28.8,10.0,4
2010-04-12,7.9,76,41647.73,25.4,24.5,27.5,11.56881388888889,4
2010-04-13,2.3,76,28865.19,25.2,24.4,26.7,8.018108333333332,4
2010-04-14,33.3,82,20168.48,24.1,23.0,25.5,5.6023555555555555,4
2010-04-15,30.5,87,36765.43,23.6,22.5,25.0,10.212619444444444,4
