calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute,temperature_2m_mean_min,temperature_2m_mean_max
1,1,Jan,72.92000000000002,27.36,132.99999999999997,279.9308557407408,252.06408222222223,297.46994944444447,23.640430107526882,21.0,25.860000000000003,74.91182795698924,62.0,86.0,15.0,29.8,15.0,29.8
2,2,Feb,43.7,22.32,69.67999999999999,275.3311761111111,256.9722894444444,287.9765844444444,24.295047169811323,21.6,26.1,74.0754716981132,62.0,83.0,16.2,32.0,16.2,32.0
3,3,Mar,31.86,16.560000000000002,50.68,332.68042851851845,311.3228238888889,343.7118027777778,25.093548387096774,23.0,26.6,72.23655913978494,60.0,80.0,17.4,32.4,17.4,32.4
4,4,Apr,47.033333333333324,12.12,85.54,341.85481685185187,337.51085,347.353795,26.377555555555556,24.8,27.6,74.53777777777778,66.9,81.0,17.0,32.3,17.0,32.3
5,5,May,93.64,20.58,170.39999999999998,357.28890537037034,337.5872788888889,376.8013288888889,27.224301075268816,25.64,28.4,76.6,70.0,84.0,19.5,33.8,19.5,33.8
6,6,Jun,190.9933333333333,101.7,247.29999999999995,310.4926894444444,280.0715588888889,347.0703161111111,27.49688888888889,26.1,28.7,82.04888888888888,76.0,88.0,22.1,33.5,22.1,33.5
7,7,Jul,113.29333333333334,38.08,222.67999999999998,355.3229851851851,332.1426788888889,370.44082944444443,28.10774193548387,27.1,29.0,80.14623655913978,75.0,85.0,22.9,33.5,22.9,33.5
8,8,Aug,143.92666666666668,77.84,251.1,345.5891033333333,326.49730944444445,358.81993166666666,28.15462365591398,27.2,29.1,80.6752688172043,76.0,85.0,22.7,34.3,22.7,34.3
9,9,Sep,192.33333333333331,105.66,336.29999999999995,306.9638088888889,287.33716444444445,327.8157788888889,27.567555555555554,26.5,28.6,82.64,77.0,88.0,22.2,32.9,22.2,32.9
10,10,Oct,180.49999999999997,77.2,313.35999999999996,302.722530925926,273.16967,323.86456444444445,26.56752688172043,25.240000000000002,27.860000000000003,80.18709677419355,69.0,90.0,18.6,33.0,18.6,33.0
11,11,Nov,95.93333333333335,34.1,172.23999999999998,287.6255016666666,270.81632055555554,300.4690238888889,25.228222222222218,23.590000000000003,26.8,77.21555555555555,64.0,88.10000000000002,15.4,30.8,15.4,30.8
12,12,Dec,66.24,28.44,98.74,284.71087277777775,264.9285722222222,303.2671688888889,24.44236559139785,22.1,26.4,75.8752688172043,65.0,86.0,14.2,29.9,14.2,29.9
