month,day,avg_accumulated_precipitation,years_sampled
1,1,0.59,15
1,2,1.23,15
1,3,4.01,15
1,4,12.24,15
1,5,13.52,15
1,6,14.91,15
1,7,16.28,15
1,8,17.26,15
1,9,20.47,15
1,10,22.69,15
1,11,27.29,15
1,12,29.44,15
1,13,32.78,15
1,14,35.57,15
1,15,37.39,15
1,16,39.27,15
1,17,40.99,15
1,18,41.54,15
1,19,42.63,15
1,20,43.23,15
1,21,45.19,15
1,22,48.76,15
1,23,50.24,15
1,24,52.11,15
1,25,54.1,15
1,26,60.69,15
1,27,64.98,15
1,28,67.8,15
1,29,69.67,15
1,30,71.14,15
1,31,72.92,15
2,1,73.97,15
2,2,74.74,15
2,3,76.82,15
2,4,80.58,15
2,5,83.54,15
2,6,85.09,15
2,7,85.67,15
2,8,88.23,15
2,9,89.65,15
2,10,90.74,15
2,11,92.89,15
2,12,96.98,15
2,13,98.13,15
2,14,98.51,15
2,15,100.66,15
2,16,101.8,15
2,17,102.7,15
2,18,103.58,15
2,19,104.45,15
2,20,105.36,15
2,21,106.65,15
2,22,107.69,15
2,23,108.37,15
2,24,110.25,15
2,25,110.65,15
2,26,112.62,15
2,27,115.32,15
2,28,116.62,15
2,29,116.62,4
3,1,117.3,15
3,2,117.89,15
3,3,118.55,15
3,4,119.55,15
3,5,121.95,15
3,6,126.62,15
3,7,127.2,15
3,8,128.35,15
3,9,128.94,15
3,10,130.03,15
3,11,130.65,15
3,12,132.97,15
3,13,133.29,15
3,14,134.08,15
3,15,134.67,15
3,16,135.31,15
3,17,137.13,15
3,18,137.96,15
3,19,141.0,15
3,20,142.83,15
3,21,143.4,15
3,22,143.9,15
3,23,144.1,15
3,24,144.4,15
3,25,145.36,15
3,26,145.7,15
3,27,146.43,15
3,28,146.94,15
3,29,147.32,15
3,30,148.04,15
3,31,148.48,15
4,1,149.2,15
4,2,149.65,15
4,3,150.31,15
4,4,151.65,15
4,5,152.25,15
4,6,152.66,15
4,7,153.03,15
4,8,155.33,15
4,9,157.69,15
4,10,157.94,15
4,11,159.39,15
4,12,160.57,15
4,13,161.49,15
4,14,164.25,15
4,15,168.18,15
4,16,170.75,15
4,17,172.29,15
4,18,174.53,15
4,19,176.99,15
4,20,180.41,15
4,21,182.08,15
4,22,182.97,15
4,23,183.79,15
4,24,184.05,15
4,25,185.71,15
4,26,188.34,15
4,27,189.75,15
4,28,191.05,15
4,29,193.9,15
4,30,195.51,15
5,1,196.67,15
5,2,197.99,15
5,3,199.4,15
5,4,202.48,15
5,5,203.63,15
5,6,204.21,15
5,7,204.69,15
5,8,205.11,15
5,9,206.19,15
5,10,211.3,15
5,11,212.94,15
5,12,216.17,15
5,13,218.42,15
5,14,220.73,15
5,15,223.43,15
5,16,227.09,15
5,17,230.38,15
5,18,235.77,15
5,19,239.0,15
5,20,243.85,15
5,21,249.53,15
5,22,254.13,15
5,23,257.77,15
5,24,262.5,15
5,25,265.15,15
5,26,266.55,15
5,27,268.14,15
5,28,269.78,15
5,29,273.99,15
5,30,279.74,15
5,31,289.15,15
6,1,299.83,15
6,2,306.79,15
6,3,310.51,15
6,4,318.95,15
6,5,332.08,15
6,6,337.78,15
6,7,342.04,15
6,8,346.51,15
6,9,348.81,15
6,10,352.73,15
6,11,356.27,15
6,12,359.69,15
6,13,369.63,15
6,14,379.98,15
6,15,386.31,15
6,16,397.91,15
6,17,405.25,15
6,18,413.47,15
6,19,420.08,15
6,20,425.55,15
6,21,431.63,15
6,22,437.69,15
6,23,443.08,15
6,24,448.45,15
6,25,452.64,15
6,26,458.14,15
6,27,463.66,15
6,28,468.69,15
6,29,475.28,15
6,30,480.15,15
7,1,482.47,15
7,2,484.65,15
7,3,489.07,15
7,4,492.0,15
7,5,503.31,15
7,6,510.39,15
7,7,513.45,15
7,8,516.1,15
7,9,519.41,15
7,10,522.44,15
7,11,524.63,15
7,12,526.95,15
7,13,527.98,15
7,14,529.96,15
7,15,534.12,15
7,16,536.73,15
7,17,541.09,15
7,18,545.57,15
7,19,549.26,15
7,20,554.37,15
7,21,558.98,15
7,22,563.93,15
7,23,565.56,15
7,24,568.04,15
7,25,572.21,15
7,26,575.06,15
7,27,579.01,15
7,28,583.29,15
7,29,586.9,15
7,30,590.29,15
7,31,593.44,15
8,1,595.82,15
8,2,599.44,15
8,3,602.65,15
8,4,605.13,15
8,5,607.19,15
8,6,611.29,15
8,7,616.37,15
8,8,619.82,15
8,9,625.21,15
8,10,630.15,15
8,11,633.75,15
8,12,637.27,15
8,13,640.26,15
8,14,645.47,15
8,15,654.11,15
8,16,657.07,15
8,17,658.52,15
8,18,661.17,15
8,19,667.47,15
8,20,673.07,15
8,21,680.89,15
8,22,685.73,15
8,23,689.8,15
8,24,694.74,15
8,25,700.06,15
8,26,707.3,15
8,27,712.13,15
8,28,717.1,15
8,29,722.31,15
8,30,729.52,15
8,31,737.37,15
9,1,746.89,15
9,2,755.3,15
9,3,759.67,15
9,4,763.24,15
9,5,766.19,15
9,6,771.19,15
9,7,776.38,15
9,8,781.0,15
9,9,787.16,15
9,10,794.79,15
9,11,805.16,15
9,12,811.87,15
9,13,817.67,15
9,14,825.44,15
9,15,830.37,15
9,16,835.84,15
9,17,843.68,15
9,18,850.21,15
9,19,856.47,15
9,20,861.31,15
9,21,866.74,15
9,22,872.37,15
9,23,879.28,15
9,24,887.01,15
9,25,900.01,15
9,26,906.81,15
9,27,913.66,15
9,28,918.76,15
9,29,922.34,15
9,30,929.7,15
10,1,935.89,15
10,2,944.51,15
10,3,957.39,15
10,4,961.83,15
10,5,965.67,15
10,6,971.33,15
10,7,981.43,15
10,8,984.19,15
10,9,987.7,15
10,10,993.39,15
10,11,995.51,15
10,12,999.09,15
10,13,1004.5,15
10,14,1008.51,15
10,15,1018.9,15
10,16,1027.32,15
10,17,1032.6,15
10,18,1040.15,15
10,19,1049.23,15
10,20,1054.2,15
10,21,1058.85,15
10,22,1065.96,15
10,23,1070.74,15
10,24,1076.03,15
10,25,1079.31,15
10,26,1084.2,15
10,27,1092.21,15
10,28,1099.35,15
10,29,1103.29,15
10,30,1107.49,15
10,31,1110.2,15
11,1,1113.75,15
11,2,1118.25,15
11,3,1124.98,15
11,4,1130.11,15
11,5,1134.59,15
11,6,1138.05,15
11,7,1140.33,15
11,8,1141.67,15
11,9,1143.35,15
11,10,1146.67,15
11,11,1150.31,15
11,12,1153.99,15
11,13,1160.7,15
11,14,1169.57,15
11,15,1173.69,15
11,16,1175.04,15
11,17,1178.45,15
11,18,1183.48,15
11,19,1187.16,15
11,20,1192.42,15
11,21,1193.24,15
11,22,1194.17,15
11,23,1194.98,15
11,24,1196.25,15
11,25,1197.81,15
11,26,1200.46,15
11,27,1201.89,15
11,28,1202.77,15
11,29,1204.27,15
11,30,1206.13,15
12,1,1208.43,15
12,2,1209.51,15
12,3,1210.83,15
12,4,1215.13,15
12,5,1217.37,15
12,6,1219.61,15
12,7,1220.66,15
12,8,1222.23,15
12,9,1223.2,15
12,10,1225.5,15
12,11,1227.35,15
12,12,1228.7,15
12,13,1230.86,15
12,14,1231.73,15
12,15,1233.35,15
12,16,1235.49,15
12,17,1237.62,15
12,18,1241.31,15
12,19,1244.09,15
12,20,1245.74,15
12,21,1249.28,15
12,22,1250.23,15
12,23,1250.97,15
12,24,1253.49,15
12,25,1256.22,15
12,26,1260.24,15
12,27,1263.7,15
12,28,1265.89,15
12,29,1268.73,15
12,30,1270.98,15
12,31,1272.37,15
