calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,73.88,27.85,128.85,283.68,255.26,301.19,23.65,21.1,25.85,75.24,63.0,86.5,15.0,30.8
2,2,Feb,44.05,22.6,68.25,291.05,270.57,305.65,24.34,21.7,26.1,74.38,63.0,83.0,16.0,32.0
3,3,Mar,31.61,16.6,50.3,350.66,328.92,362.2,25.13,23.0,26.65,72.37,61.0,80.0,17.3,32.4
4,4,Apr,46.12,12.25,85.35,352.04,347.37,358.37,26.34,24.7,27.6,74.39,66.0,81.0,17.0,32.3
5,5,May,91.23,20.75,166.75,370.91,349.34,391.46,27.26,25.6,28.5,76.74,70.0,84.0,19.5,33.8
6,6,Jun,193.11,108.2,250.5,321.79,289.36,357.7,27.49,26.1,28.7,82.1,76.0,88.0,22.1,33.5
7,7,Jul,115.66,39.25,217.45,363.57,342.61,383.71,28.07,27.1,29.0,80.44,75.0,85.0,22.9,33.5
8,8,Aug,142.54,78.9,248.05,351.3,330.67,365.68,28.12,27.1,29.0,80.96,76.0,85.5,22.5,34.3
9,9,Sep,189.99,105.85,321.95,314.33,294.38,335.86,27.52,26.5,28.6,82.96,78.0,88.0,22.2,34.4
10,10,Oct,182.14,77.2,303.85,307.13,278.76,328.29,26.51,25.2,27.7,80.69,70.0,90.0,18.6,33.0
11,11,Nov,96.11,34.7,170.15,304.62,287.5,317.61,25.17,23.59,26.7,77.62,65.0,88.0,15.4,30.8
12,12,Dec,66.49,28.75,98.0,301.04,281.2,319.78,24.43,22.1,26.3,76.33,65.0,87.0,14.2,29.9
