calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,43.48,13.85,82.0,270.38,253.7,286.82,13.08,10.85,15.55,78.59,67.0,89.0,4.0,29.5
2,2,Feb,42.52,10.8,82.6,264.56,237.76,287.51,13.48,11.2,15.7,78.28,68.0,88.0,3.6,32.2
3,3,Mar,54.02,8.45,123.85,317.23,289.24,339.98,14.94,13.0,17.0,76.87,66.0,86.0,5.5,31.1
4,4,Apr,32.66,10.95,60.1,354.24,338.92,368.5,16.98,14.6,19.11,75.12,67.0,84.0,7.5,34.4
5,5,May,16.57,2.05,43.8,378.17,365.27,392.18,19.52,16.75,22.3,71.74,61.0,81.0,8.6,38.0
6,6,Jun,5.79,1.1,12.6,373.43,355.08,390.09,21.59,19.4,24.3,71.9,64.0,79.0,11.6,40.8
7,7,Jul,0.84,0.0,1.75,389.56,378.97,399.09,23.16,21.2,25.2,74.57,68.0,81.0,14.8,40.0
8,8,Aug,1.69,0.0,4.15,382.45,371.0,396.08,23.85,22.2,25.9,75.3,68.5,82.0,16.1,41.1
9,9,Sep,8.72,0.75,16.7,326.0,312.15,336.73,22.38,20.9,24.0,76.96,69.0,84.0,14.2,35.6
10,10,Oct,32.13,4.25,68.25,307.25,294.79,321.47,20.56,18.1,23.0,76.2,63.0,86.0,9.7,36.8
11,11,Nov,58.69,18.3,111.05,267.2,254.8,280.93,16.66,13.89,19.5,77.58,66.0,88.0,6.3,33.5
12,12,Dec,40.06,3.1,65.5,258.58,243.05,268.95,14.12,11.9,16.75,79.93,68.0,89.0,4.7,26.9
