calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,60.62,28.7,94.0,165.82,119.37,194.08,-3.82,-12.2,2.75,73.94,56.0,90.0,-32.5,15.6
2,2,Feb,58.14,29.9,88.25,192.65,148.41,222.5,-2.86,-11.38,4.08,73.81,58.0,88.0,-24.1,21.8
3,3,Mar,76.73,40.95,128.3,253.4,216.91,288.48,3.12,-3.2,10.35,73.45,57.5,88.0,-19.8,24.8
4,4,Apr,108.6,68.0,161.8,268.36,239.8,292.22,8.54,2.99,14.71,71.58,56.0,87.0,-7.2,29.8
5,5,May,125.02,78.35,173.15,316.86,286.06,348.85,14.81,8.0,21.95,74.56,58.0,90.0,-1.3,33.4
6,6,Jun,122.45,63.5,204.65,349.75,323.49,383.63,20.95,15.97,26.0,72.73,55.0,89.0,7.3,37.4
7,7,Jul,125.54,56.15,202.95,372.8,350.54,399.07,23.62,19.7,27.3,73.82,61.0,86.0,12.6,36.9
8,8,Aug,99.22,52.2,143.0,362.04,343.03,381.44,22.97,19.85,26.3,73.15,60.0,86.0,11.1,37.0
9,9,Sep,85.99,37.25,144.5,294.81,266.68,324.45,19.53,14.8,24.4,72.29,59.9,86.0,6.1,34.6
10,10,Oct,107.47,55.05,198.05,239.4,206.7,277.06,12.85,7.2,19.3,70.98,57.0,85.0,-2.2,30.5
11,11,Nov,61.84,33.35,98.55,183.26,152.02,214.97,5.31,-1.6,12.0,71.51,56.0,86.0,-15.0,23.4
12,12,Dec,63.28,36.75,83.65,150.82,128.84,168.12,0.01,-7.4,6.0,75.3,59.0,90.0,-23.3,18.6
