month,day,avg_accumulated_precipitation,years_sampled
1,1,3.46,16
1,2,6.96,16
1,3,9.15,16
1,4,10.93,16
1,5,13.16,16
1,6,15.19,16
1,7,26.14,16
1,8,31.65,16
1,9,35.79,16
1,10,38.36,16
1,11,40.76,16
1,12,43.88,16
1,13,55.26,16
1,14,58.1,16
1,15,60.78,16
1,16,62.16,16
1,17,62.92,16
1,18,65.15,16
1,19,68.06,16
1,20,69.94,16
1,21,70.95,16
1,22,72.1,16
1,23,75.12,16
1,24,77.34,16
1,25,78.19,16
1,26,79.21,16
1,27,80.89,16
1,28,81.95,16
1,29,85.49,16
1,30,90.82,16
1,31,93.48,16
2,1,95.22,16
2,2,97.04,16
2,3,100.92,16
2,4,102.55,16
2,5,104.29,16
2,6,107.29,16
2,7,108.89,16
2,8,110.19,16
2,9,113.36,16
2,10,114.52,16
2,11,115.42,16
2,12,118.35,16
2,13,120.5,16
2,14,125.42,16
2,15,131.98,16
2,16,133.81,16
2,17,135.48,16
2,18,137.6,16
2,19,140.42,16
2,20,142.18,16
2,21,143.08,16
2,22,143.54,16
2,23,144.19,16
2,24,146.07,16
2,25,148.3,16
2,26,150.15,16
2,27,152.76,16
2,28,156.14,16
2,29,156.7,4
3,1,161.21,16
3,2,163.06,16
3,3,165.08,16
3,4,171.09,16
3,5,174.13,16
3,6,176.61,16
3,7,179.06,16
3,8,182.36,16
3,9,184.53,16
3,10,186.52,16
3,11,189.85,16
3,12,193.77,16
3,13,198.85,16
3,14,204.53,16
3,15,209.94,16
3,16,212.07,16
3,17,214.17,16
3,18,218.91,16
3,19,222.46,16
3,20,224.5,16
3,21,226.92,16
3,22,228.34,16
3,23,230.77,16
3,24,237.84,16
3,25,240.47,16
3,26,244.14,16
3,27,250.68,16
3,28,258.61,16
3,29,261.67,16
3,30,264.26,16
3,31,266.49,16
4,1,270.74,16
4,2,273.57,16
4,3,275.73,16
4,4,284.24,16
4,5,291.49,16
4,6,298.33,16
4,7,303.12,16
4,8,306.62,16
4,9,310.53,16
4,10,316.12,16
4,11,322.34,16
4,12,330.49,16
4,13,335.87,16
4,14,341.85,16
4,15,347.64,16
4,16,354.23,16
4,17,359.34,16
4,18,363.49,16
4,19,368.02,16
4,20,373.46,16
4,21,379.07,16
4,22,384.37,16
4,23,389.37,16
4,24,397.16,16
4,25,401.84,16
4,26,407.88,16
4,27,415.71,16
4,28,422.06,16
4,29,429.06,16
4,30,437.24,16
5,1,444.46,16
5,2,450.52,16
5,3,459.2,16
5,4,466.98,16
5,5,473.72,16
5,6,480.29,16
5,7,486.97,16
5,8,494.5,16
5,9,503.29,16
5,10,513.74,16
5,11,522.85,16
5,12,534.42,16
5,13,546.93,16
5,14,564.95,16
5,15,585.31,16
5,16,596.99,16
5,17,607.3,16
5,18,620.52,16
5,19,630.06,16
5,20,643.72,16
5,21,654.98,16
5,22,666.51,16
5,23,676.75,16
5,24,695.64,16
5,25,712.17,16
5,26,724.88,16
5,27,737.35,16
5,28,748.26,16
5,29,758.62,16
5,30,770.14,16
5,31,782.84,16
6,1,797.24,16
6,2,807.11,16
6,3,817.86,16
6,4,829.79,16
6,5,840.59,16
6,6,852.56,16
6,7,863.51,16
6,8,875.06,16
6,9,882.6,16
6,10,891.5,16
6,11,901.39,16
6,12,914.11,16
6,13,923.27,16
6,14,935.4,16
6,15,943.57,16
6,16,953.79,16
6,17,961.14,16
6,18,968.21,16
6,19,976.39,16
6,20,984.46,16
6,21,995.33,16
6,22,1002.77,16
6,23,1011.19,16
6,24,1019.48,16
6,25,1031.16,16
6,26,1042.18,16
6,27,1053.46,16
6,28,1062.39,16
6,29,1070.02,16
6,30,1076.99,16
7,1,1085.66,16
7,2,1092.94,16
7,3,1101.49,16
7,4,1107.14,16
7,5,1115.98,16
7,6,1121.26,16
7,7,1126.58,16
7,8,1134.55,16
7,9,1146.98,16
7,10,1158.23,16
7,11,1165.32,16
7,12,1170.68,16
7,13,1176.41,16
7,14,1183.34,16
7,15,1190.63,16
7,16,1202.61,16
7,17,1209.68,16
7,18,1215.41,16
7,19,1221.36,16
7,20,1226.38,16
7,21,1232.23,16
7,22,1241.07,16
7,23,1248.98,16
7,24,1257.31,16
7,25,1264.56,16
