month,day,avg_daytime_temperature,years_sampled
1,1,4.82,16
1,2,2.98,16
1,3,2.58,16
1,4,2.56,16
1,5,1.29,16
1,6,1.43,16
1,7,2.1,16
1,8,2.48,16
1,9,2.5,16
1,10,2.73,16
1,11,3.01,16
1,12,2.81,16
1,13,2.41,16
1,14,2.22,16
1,15,1.48,16
1,16,2.17,16
1,17,1.55,16
1,18,1.59,16
1,19,1.64,16
1,20,1.2,16
1,21,1.28,16
1,22,1.43,16
1,23,1.17,16
1,24,1.82,16
1,25,1.52,16
1,26,1.28,16
1,27,2.41,16
1,28,2.34,16
1,29,2.48,16
1,30,2.34,16
1,31,2.09,16
2,1,2.26,16
2,2,1.81,16
2,3,1.54,16
2,4,1.09,16
2,5,1.75,16
2,6,1.87,16
2,7,1.5,16
2,8,1.69,16
2,9,1.79,16
2,10,1.84,16
2,11,1.18,16
2,12,0.84,16
2,13,1.56,16
2,14,1.84,16
2,15,2.4,16
2,16,2.9,16
2,17,3.07,16
2,18,3.03,16
2,19,2.97,16
2,20,3.2,16
2,21,3.85,16
2,22,3.21,16
2,23,3.61,16
2,24,3.69,16
2,25,3.67,16
2,26,3.28,16
2,27,2.92,16
2,28,3.76,16
2,29,5.08,4
3,1,3.2,16
3,2,3.43,16
3,3,3.55,16
3,4,3.4,16
3,5,2.97,16
3,6,3.23,16
3,7,3.55,16
3,8,3.18,16
3,9,3.75,16
3,10,4.06,16
3,11,3.9,16
3,12,4.25,16
3,13,4.42,16
3,14,4.71,16
3,15,4.59,16
3,16,4.79,16
3,17,4.78,16
3,18,5.1,16
3,19,4.86,16
3,20,5.78,16
3,21,5.9,16
3,22,5.58,16
3,23,5.78,16
3,24,5.77,16
3,25,6.26,16
3,26,6.33,16
3,27,6.02,16
3,28,6.4,16
3,29,6.35,16
3,30,6.41,16
3,31,6.08,16
4,1,5.99,16
4,2,6.14,16
4,3,6.15,16
4,4,6.68,16
4,5,6.71,16
4,6,7.35,16
4,7,8.08,16
4,8,7.81,16
4,9,7.63,16
4,10,7.61,16
4,11,8.13,16
4,12,8.1,16
4,13,8.01,16
4,14,7.78,16
4,15,8.6,16
4,16,8.57,16
4,17,8.74,16
4,18,8.96,16
4,19,8.81,16
4,20,9.48,16
4,21,9.88,16
4,22,9.55,16
4,23,9.81,16
4,24,9.47,16
4,25,8.99,16
4,26,9.32,16
4,27,9.46,16
4,28,10.03,16
4,29,10.62,16
4,30,10.97,16
5,1,10.17,16
5,2,10.27,16
5,3,10.3,16
5,4,9.91,16
5,5,9.96,16
5,6,10.72,16
5,7,11.1,16
5,8,11.38,16
5,9,12.74,16
5,10,12.8,16
5,11,12.17,16
5,12,11.66,16
5,13,12.44,16
5,14,12.38,16
5,15,12.58,16
5,16,12.47,16
5,17,12.63,16
5,18,13.0,16
5,19,14.34,16
5,20,14.63,16
5,21,14.81,16
5,22,15.09,16
5,23,14.56,16
5,24,14.32,16
5,25,14.31,16
5,26,14.27,16
5,27,14.06,16
5,28,14.44,16
5,29,14.16,16
5,30,15.24,16
5,31,16.03,16
6,1,15.77,16
6,2,15.85,16
6,3,15.87,16
6,4,16.08,16
6,5,15.97,16
6,6,16.27,16
6,7,15.56,16
6,8,15.75,16
6,9,15.97,16
6,10,15.93,16
6,11,16.52,16
6,12,16.12,16
6,13,15.96,16
6,14,16.05,16
6,15,16.32,16
6,16,16.52,16
6,17,16.93,16
6,18,17.67,16
6,19,16.83,16
6,20,17.28,16
6,21,16.88,16
6,22,16.93,16
6,23,17.05,16
6,24,17.41,16
6,25,17.66,16
6,26,17.73,16
6,27,17.98,16
6,28,18.27,16
6,29,18.31,16
6,30,17.67,16
7,1,17.47,16
7,2,17.69,16
7,3,18.14,16
7,4,18.19,16
7,5,18.26,16
7,6,17.52,16
7,7,17.76,16
7,8,18.26,16
7,9,18.22,16
7,10,18.25,16
7,11,18.67,16
7,12,18.66,16
7,13,18.54,16
7,14,17.76,16
7,15,18.15,16
7,16,18.34,16
7,17,18.7,16
7,18,18.5,16
7,19,18.82,16
