month,day,avg_accumulated_precipitation,years_sampled
1,1,3.51,16
1,2,6.31,16
1,3,9.86,16
1,4,12.64,16
1,5,14.38,16
1,6,17.35,16
1,7,19.18,16
1,8,21.14,16
1,9,24.22,16
1,10,26.31,16
1,11,28.35,16
1,12,30.68,16
1,13,32.42,16
1,14,33.82,16
1,15,35.75,16
1,16,36.73,16
1,17,38.24,16
1,18,39.62,16
1,19,40.72,16
1,20,42.62,16
1,21,43.77,16
1,22,44.81,16
1,23,45.48,16
1,24,46.64,16
1,25,47.22,16
1,26,48.6,16
1,27,50.91,16
1,28,52.36,16
1,29,53.69,16
1,30,55.61,16
1,31,56.96,16
2,1,57.93,16
2,2,59.41,16
2,3,61.01,16
2,4,62.72,16
2,5,63.72,16
2,6,66.48,16
2,7,67.63,16
2,8,68.43,16
2,9,70.95,16
2,10,73.16,16
2,11,73.84,16
2,12,74.64,16
2,13,75.14,16
2,14,75.46,16
2,15,76.44,16
2,16,79.26,16
2,17,81.39,16
2,18,84.45,16
2,19,86.71,16
2,20,88.76,16
2,21,92.48,16
2,22,94.3,16
2,23,96.16,16
2,24,97.41,16
2,25,99.01,16
2,26,99.63,16
2,27,100.19,16
2,28,101.16,16
2,29,101.57,4
3,1,102.43,16
3,2,103.86,16
3,3,104.32,16
3,4,105.21,16
3,5,106.61,16
3,6,107.85,16
3,7,109.62,16
3,8,110.52,16
3,9,111.38,16
3,10,112.89,16
3,11,114.78,16
3,12,116.07,16
3,13,119.06,16
3,14,119.92,16
3,15,120.87,16
3,16,122.01,16
3,17,123.22,16
3,18,124.49,16
3,19,125.28,16
3,20,127.06,16
3,21,128.48,16
3,22,129.44,16
3,23,129.89,16
3,24,130.49,16
3,25,131.48,16
3,26,131.94,16
3,27,133.38,16
3,28,134.04,16
3,29,136.26,16
3,30,139.3,16
3,31,141.15,16
4,1,142.19,16
4,2,143.58,16
4,3,144.28,16
4,4,146.24,16
4,5,148.18,16
4,6,149.69,16
4,7,151.37,16
4,8,152.31,16
4,9,152.97,16
4,10,153.48,16
4,11,155.39,16
4,12,157.46,16
4,13,159.25,16
4,14,160.69,16
4,15,162.31,16
4,16,162.73,16
4,17,163.22,16
4,18,164.12,16
4,19,164.88,16
4,20,165.24,16
4,21,165.61,16
4,22,166.19,16
4,23,167.11,16
4,24,168.15,16
4,25,169.86,16
4,26,172.9,16
4,27,174.88,16
4,28,176.11,16
4,29,177.87,16
4,30,179.55,16
5,1,180.63,16
5,2,180.83,16
5,3,182.06,16
5,4,184.05,16
5,5,185.99,16
5,6,186.46,16
5,7,187.81,16
5,8,189.31,16
5,9,191.19,16
5,10,192.63,16
5,11,195.21,16
5,12,198.42,16
5,13,199.49,16
5,14,200.97,16
5,15,202.63,16
5,16,203.6,16
5,17,205.49,16
5,18,207.19,16
5,19,209.34,16
5,20,210.11,16
5,21,211.45,16
5,22,213.88,16
5,23,215.42,16
5,24,216.63,16
5,25,218.38,16
5,26,220.32,16
5,27,221.77,16
5,28,224.42,16
5,29,225.4,16
5,30,227.62,16
5,31,229.57,16
6,1,231.21,16
6,2,232.27,16
6,3,232.56,16
6,4,233.44,16
6,5,234.27,16
6,6,236.82,16
6,7,240.69,16
6,8,242.86,16
6,9,245.01,16
6,10,246.77,16
6,11,249.7,16
6,12,252.17,16
6,13,254.4,16
6,14,255.78,16
6,15,257.47,16
6,16,260.41,16
6,17,262.06,16
6,18,263.14,16
6,19,265.45,16
6,20,267.44,16
6,21,268.49,16
6,22,270.51,16
6,23,273.82,16
6,24,275.74,16
6,25,277.14,16
6,26,279.19,16
6,27,280.06,16
6,28,281.69,16
6,29,284.09,16
6,30,288.03,16
7,1,290.07,16
7,2,292.56,16
7,3,294.49,16
7,4,297.42,16
7,5,300.07,16
7,6,303.86,16
7,7,305.94,16
7,8,308.98,16
7,9,309.97,16
7,10,314.47,16
7,11,316.12,16
7,12,318.19,16
7,13,320.8,16
7,14,323.71,16
7,15,325.69,16
7,16,328.31,16
7,17,329.41,16
7,18,330.43,16
7,19,331.89,16
7,20,332.85,16
7,21,335.73,16
7,22,338.27,16
7,23,341.32,16
7,24,342.56,16
7,25,345.69,16
7,26,347.13,16
7,27,348.09,16
7,28,351.61,16
7,29,353.81,16
7,30,356.8,16
7,31,358.82,16
8,1,361.42,16
8,2,362.19,16
8,3,365.85,16
8,4,368.4,16
8,5,370.19,16
8,6,371.99,16
8,7,375.07,16
8,8,378.35,16
8,9,380.94,16
8,10,382.95,16
8,11,386.12,16
8,12,388.31,16
8,13,391.67,16
8,14,394.9,16
8,15,397.79,16
8,16,399.61,16
8,17,404.77,16
8,18,406.47,16
8,19,408.22,16
8,20,409.96,16
8,21,411.51,16
8,22,412.94,16
8,23,414.67,16
8,24,415.71,16
8,25,418.33,16
8,26,420.11,16
8,27,425.39,16
8,28,427.89,16
8,29,428.79,16
8,30,432.34,16
8,31,434.77,16
9,1,435.66,16
9,2,435.97,16
9,3,436.5,16
9,4,437.51,16
9,5,439.97,16
9,6,442.53,16
9,7,444.14,16
9,8,446.1,16
9,9,449.89,16
9,10,452.24,16
9,11,455.67,16
9,12,457.1,16
9,13,459.76,16
9,14,462.19,16
9,15,464.78,16
9,16,466.72,16
9,17,467.4,16
9,18,468.55,16
9,19,468.94,16
9,20,470.22,16
9,21,471.79,16
9,22,473.07,16
9,23,473.72,16
9,24,475.96,16
9,25,479.42,16
9,26,481.54,16
9,27,484.07,16
9,28,485.71,16
9,29,488.03,16
9,30,489.22,16
10,1,490.8,16
10,2,493.39,16
10,3,495.11,16
10,4,498.36,16
10,5,501.02,16
10,6,502.59,16
10,7,505.97,16
10,8,507.47,16
10,9,508.67,16
10,10,511.92,16
10,11,513.95,16
10,12,515.04,16
10,13,519.32,16
10,14,520.93,16
10,15,522.63,16
10,16,523.79,16
10,17,525.26,16
10,18,527.11,16
10,19,531.11,16
10,20,533.37,16
10,21,537.99,16
10,22,540.34,16
10,23,542.31,16
10,24,544.67,16
10,25,547.75,16
10,26,549.27,16
10,27,551.37,16
10,28,552.57,16
10,29,554.87,16
10,30,557.08,16
10,31,559.34,16
11,1,560.99,16
11,2,563.47,16
11,3,565.02,16
11,4,567.08,16
11,5,570.26,16
11,6,571.76,16
11,7,573.06,16
11,8,573.76,16
11,9,575.29,16
