month,day,avg_daytime_temperature,years_sampled
1,1,25.85,16
1,2,25.41,16
1,3,25.65,16
1,4,25.59,16
1,5,25.07,16
1,6,24.92,16
1,7,24.7,16
1,8,24.18,16
1,9,24.54,16
1,10,24.29,16
1,11,24.41,16
1,12,24.61,16
1,13,25.1,16
1,14,25.34,16
1,15,24.9,16
1,16,25.02,16
1,17,24.66,16
1,18,24.2,16
1,19,23.77,16
1,20,23.39,16
1,21,23.57,16
1,22,23.95,16
1,23,23.82,16
1,24,23.9,16
1,25,23.82,16
1,26,24.19,16
1,27,24.04,16
1,28,24.29,16
1,29,24.01,16
1,30,23.83,16
1,31,23.89,16
2,1,23.82,16
2,2,23.78,16
2,3,23.6,16
2,4,23.68,16
2,5,23.8,16
2,6,24.5,16
2,7,24.76,16
2,8,24.48,16
2,9,24.04,16
2,10,23.33,16
2,11,23.59,16
2,12,23.58,16
2,13,24.15,16
2,14,23.82,16
2,15,23.05,16
2,16,22.66,16
2,17,22.75,16
2,18,22.65,16
2,19,22.76,16
2,20,22.62,16
2,21,22.78,16
2,22,23.52,16
2,23,23.9,16
2,24,23.83,16
2,25,24.82,16
2,26,24.44,16
2,27,23.82,16
2,28,23.19,16
2,29,23.25,4
3,1,23.42,16
3,2,23.73,16
3,3,23.62,16
3,4,23.32,16
3,5,23.18,16
3,6,22.78,16
3,7,22.74,16
3,8,22.95,16
3,9,22.92,16
3,10,23.3,16
3,11,23.87,16
3,12,24.67,16
3,13,24.52,16
3,14,23.85,16
3,15,23.69,16
3,16,23.38,16
3,17,23.76,16
3,18,23.63,16
3,19,23.38,16
3,20,22.95,16
3,21,22.82,16
3,22,22.57,16
3,23,22.35,16
3,24,22.17,16
3,25,22.7,16
3,26,22.85,16
3,27,22.92,16
3,28,23.16,16
3,29,23.25,16
3,30,23.3,16
3,31,23.1,16
4,1,23.37,16
4,2,23.0,16
4,3,22.72,16
4,4,22.79,16
4,5,22.91,16
4,6,22.91,16
4,7,22.97,16
4,8,22.83,16
4,9,22.85,16
4,10,22.54,16
4,11,22.81,16
4,12,23.44,16
4,13,23.7,16
4,14,24.03,16
4,15,24.04,16
4,16,24.17,16
4,17,23.65,16
4,18,23.29,16
4,19,22.97,16
4,20,22.78,16
4,21,22.93,16
4,22,23.35,16
4,23,23.16,16
4,24,23.15,16
4,25,23.38,16
4,26,23.54,16
4,27,23.56,16
4,28,23.48,16
4,29,23.58,16
4,30,23.75,16
5,1,23.61,16
5,2,23.44,16
5,3,23.28,16
5,4,23.53,16
5,5,23.79,16
5,6,23.78,16
5,7,23.9,16
5,8,23.97,16
5,9,23.67,16
5,10,23.71,16
5,11,23.77,16
5,12,23.83,16
5,13,23.72,16
5,14,24.03,16
5,15,24.19,16
5,16,23.89,16
5,17,23.99,16
5,18,24.39,16
5,19,24.3,16
5,20,24.38,16
5,21,24.37,16
5,22,24.44,16
5,23,24.34,16
5,24,24.55,16
5,25,24.58,16
5,26,24.81,16
5,27,25.23,16
5,28,25.24,16
5,29,25.52,16
5,30,25.47,16
5,31,25.31,16
6,1,25.14,16
6,2,25.09,16
6,3,25.25,16
6,4,25.38,16
6,5,25.17,16
6,6,25.16,16
6,7,25.34,16
6,8,25.86,16
6,9,26.1,16
6,10,26.02,16
6,11,26.21,16
6,12,26.33,16
6,13,26.07,16
6,14,26.35,16
6,15,26.34,16
6,16,26.3,16
6,17,26.38,16
6,18,26.4,16
6,19,26.34,16
6,20,26.42,16
6,21,26.69,16
6,22,26.77,16
6,23,26.63,16
6,24,26.83,16
6,25,26.7,16
6,26,26.75,16
6,27,26.59,16
6,28,26.64,16
6,29,27.0,16
6,30,27.12,16
7,1,27.0,16
7,2,27.08,16
7,3,27.46,16
7,4,27.1,16
7,5,27.36,16
7,6,27.54,16
7,7,27.51,16
7,8,27.4,16
7,9,27.16,16
7,10,27.19,16
7,11,27.43,16
