calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,0.97,0.0,1.8,318.23,300.62,328.23,22.93,20.7,25.4,53.06,38.0,72.0,15.2,35.3
2,2,Feb,0.38,0.0,0.85,301.72,293.32,307.42,22.06,19.51,25.0,56.85,37.0,77.0,15.5,38.7
3,3,Mar,0.21,0.0,0.75,343.91,337.3,352.04,21.69,19.7,24.0,66.9,47.0,80.5,16.8,33.7
4,4,Apr,0.06,0.0,0.2,351.92,345.24,357.85,21.97,20.2,23.7,72.64,60.0,82.0,17.0,37.6
5,5,May,0.59,0.0,0.15,361.22,346.65,370.46,23.1,21.25,25.0,76.41,68.0,83.0,17.9,33.6
6,6,Jun,3.4,0.0,10.05,343.55,323.62,360.11,25.17,23.5,26.6,78.42,74.0,83.0,19.3,32.5
7,7,Jul,34.12,3.55,74.65,329.63,304.77,356.24,26.78,25.8,27.7,77.46,73.0,82.0,22.3,33.2
8,8,Aug,151.78,75.65,236.15,299.6,282.44,328.78,27.16,26.2,28.0,80.92,75.0,85.0,23.4,32.1
9,9,Sep,110.89,61.75,153.0,300.81,281.15,316.34,27.47,26.5,28.3,82.81,78.9,86.0,23.6,32.5
10,10,Oct,18.73,5.2,35.95,330.64,310.92,354.32,28.12,27.15,29.1,77.91,70.0,84.0,21.8,36.6
11,11,Nov,1.52,0.0,2.55,302.36,282.77,326.45,26.96,25.09,28.6,65.39,51.0,77.0,21.0,39.0
12,12,Dec,1.06,0.0,3.65,303.05,270.7,317.45,24.48,22.5,26.5,55.52,39.0,73.5,17.1,38.5
