month,day,avg_accumulated_precipitation,years_sampled
1,1,0.0,16
1,2,0.0,16
1,3,0.0,16
1,4,0.0,16
1,5,0.0,16
1,6,0.0,16
1,7,0.0,16
1,8,0.53,16
1,9,0.73,16
1,10,0.97,16
1,11,0.97,16
1,12,0.97,16
1,13,0.97,16
1,14,0.97,16
1,15,0.97,16
1,16,0.97,16
1,17,0.97,16
1,18,0.97,16
1,19,0.97,16
1,20,0.97,16
1,21,0.97,16
1,22,0.97,16
1,23,0.97,16
1,24,0.97,16
1,25,0.97,16
1,26,0.97,16
1,27,0.97,16
1,28,0.97,16
1,29,0.97,16
1,30,0.97,16
1,31,0.97,16
2,1,0.97,16
2,2,0.97,16
2,3,0.97,16
2,4,0.97,16
2,5,0.99,16
2,6,1.04,16
2,7,1.04,16
2,8,1.06,16
2,9,1.07,16
2,10,1.07,16
2,11,1.07,16
2,12,1.35,16
2,13,1.35,16
2,14,1.35,16
2,15,1.35,16
2,16,1.35,16
2,17,1.35,16
2,18,1.35,16
2,19,1.35,16
2,20,1.35,16
2,21,1.35,16
2,22,1.35,16
2,23,1.35,16
2,24,1.35,16
2,25,1.35,16
2,26,1.35,16
2,27,1.35,16
2,28,1.35,16
2,29,1.35,4
3,1,1.35,16
3,2,1.36,16
3,3,1.36,16
3,4,1.36,16
3,5,1.36,16
3,6,1.36,16
3,7,1.36,16
3,8,1.36,16
3,9,1.36,16
3,10,1.36,16
3,11,1.36,16
3,12,1.36,16
3,13,1.36,16
3,14,1.36,16
3,15,1.36,16
3,16,1.36,16
3,17,1.36,16
3,18,1.36,16
3,19,1.36,16
3,20,1.36,16
3,21,1.36,16
3,22,1.36,16
3,23,1.36,16
3,24,1.36,16
3,25,1.38,16
3,26,1.38,16
3,27,1.38,16
3,28,1.48,16
3,29,1.49,16
3,30,1.53,16
3,31,1.56,16
4,1,1.56,16
4,2,1.56,16
4,3,1.56,16
4,4,1.56,16
4,5,1.56,16
4,6,1.56,16
4,7,1.56,16
4,8,1.56,16
4,9,1.56,16
4,10,1.56,16
4,11,1.58,16
4,12,1.58,16
4,13,1.59,16
4,14,1.59,16
4,15,1.59,16
4,16,1.59,16
4,17,1.59,16
4,18,1.59,16
4,19,1.59,16
4,20,1.59,16
4,21,1.59,16
4,22,1.61,16
4,23,1.61,16
4,24,1.61,16
4,25,1.61,16
4,26,1.62,16
4,27,1.62,16
4,28,1.62,16
4,29,1.63,16
4,30,1.63,16
5,1,1.63,16
5,2,1.63,16
5,3,1.63,16
5,4,1.63,16
5,5,1.64,16
5,6,1.64,16
5,7,1.64,16
5,8,1.64,16
5,9,1.64,16
5,10,1.64,16
5,11,1.64,16
5,12,1.64,16
5,13,1.64,16
5,14,1.64,16
5,15,1.64,16
5,16,1.64,16
5,17,1.64,16
5,18,1.64,16
5,19,1.64,16
5,20,1.64,16
5,21,1.65,16
5,22,1.65,16
5,23,1.65,16
5,24,1.65,16
5,25,1.65,16
5,26,1.65,16
5,27,2.21,16
5,28,2.21,16
5,29,2.21,16
5,30,2.21,16
5,31,2.21,16
6,1,2.21,16
6,2,2.21,16
6,3,2.21,16
6,4,2.21,16
6,5,2.21,16
6,6,2.21,16
6,7,2.21,16
6,8,2.21,16
6,9,2.24,16
6,10,2.24,16
6,11,2.24,16
6,12,2.25,16
6,13,2.49,16
6,14,2.49,16
6,15,2.58,16
6,16,2.58,16
6,17,2.58,16
6,18,2.96,16
6,19,3.44,16
6,20,3.55,16
6,21,3.61,16
6,22,3.93,16
6,23,4.01,16
6,24,4.01,16
6,25,4.12,16
6,26,4.19,16
6,27,5.1,16
6,28,5.12,16
6,29,5.38,16
6,30,5.61,16
7,1,5.68,16
7,2,5.78,16
7,3,5.83,16
7,4,6.08,16
7,5,6.28,16
7,6,6.34,16
7,7,8.59,16
7,8,9.56,16
7,9,10.14,16
7,10,10.76,16
7,11,10.83,16
7,12,11.8,16
7,13,12.31,16
7,14,12.8,16
7,15,13.12,16
7,16,13.68,16
7,17,14.42,16
7,18,16.32,16
7,19,16.66,16
7,20,17.68,16
7,21,20.77,16
7,22,23.94,16
7,23,25.29,16
7,24,28.96,16
7,25,31.19,16
7,26,32.04,16
7,27,32.49,16
7,28,33.19,16
7,29,34.72,16
7,30,36.4,16
7,31,39.73,16
8,1,41.93,16
8,2,45.88,16
8,3,50.19,16
8,4,51.87,16
8,5,55.68,16
