month,day,avg_accumulated_precipitation,years_sampled
1,1,0.75,16
1,2,1.02,16
1,3,1.19,16
1,4,1.94,16
1,5,2.98,16
1,6,3.46,16
1,7,4.09,16
1,8,4.59,16
1,9,5.68,16
1,10,6.11,16
1,11,7.86,16
1,12,8.18,16
1,13,8.52,16
1,14,8.95,16
1,15,9.48,16
1,16,10.04,16
1,17,10.49,16
1,18,11.94,16
1,19,12.31,16
1,20,12.77,16
1,21,13.75,16
1,22,14.05,16
1,23,14.39,16
1,24,14.99,16
1,25,15.87,16
1,26,16.52,16
1,27,17.32,16
1,28,18.4,16
1,29,18.81,16
1,30,20.24,16
1,31,21.61,16
2,1,23.39,16
2,2,24.59,16
2,3,29.04,16
2,4,29.78,16
2,5,30.19,16
2,6,31.32,16
2,7,32.59,16
2,8,33.69,16
2,9,34.37,16
2,10,35.22,16
2,11,35.89,16
2,12,36.33,16
2,13,36.51,16
2,14,37.18,16
2,15,38.11,16
2,16,39.05,16
2,17,39.69,16
2,18,40.28,16
2,19,41.01,16
2,20,42.3,16
2,21,44.22,16
2,22,46.24,16
2,23,47.88,16
2,24,49.31,16
2,25,50.3,16
2,26,50.91,16
2,27,51.37,16
2,28,51.54,16
2,29,51.54,4
3,1,52.06,16
3,2,53.0,16
3,3,53.64,16
3,4,55.69,16
3,5,56.39,16
3,6,57.03,16
3,7,58.32,16
3,8,59.05,16
3,9,60.36,16
3,10,60.72,16
3,11,61.19,16
3,12,61.38,16
3,13,65.84,16
3,14,70.02,16
3,15,70.97,16
3,16,71.88,16
3,17,73.11,16
3,18,75.12,16
3,19,78.84,16
3,20,79.01,16
3,21,79.55,16
3,22,81.11,16
3,23,85.84,16
3,24,87.52,16
3,25,88.42,16
3,26,89.82,16
3,27,90.75,16
3,28,92.71,16
3,29,95.68,16
3,30,97.21,16
3,31,98.18,16
4,1,99.12,16
4,2,100.78,16
4,3,103.17,16
4,4,104.56,16
4,5,104.73,16
4,6,106.14,16
4,7,106.69,16
4,8,106.81,16
4,9,107.89,16
4,10,109.52,16
4,11,109.86,16
4,12,110.67,16
4,13,112.35,16
4,14,113.32,16
4,15,115.61,16
4,16,119.91,16
4,17,122.68,16
4,18,123.8,16
4,19,126.56,16
4,20,127.6,16
4,21,129.45,16
4,22,132.28,16
4,23,134.94,16
4,24,136.37,16
4,25,138.67,16
4,26,141.61,16
4,27,147.02,16
4,28,148.86,16
4,29,151.37,16
4,30,152.94,16
5,1,155.23,16
5,2,157.52,16
5,3,161.17,16
5,4,163.82,16
5,5,165.11,16
5,6,167.23,16
5,7,171.38,16
5,8,174.79,16
5,9,178.54,16
5,10,182.97,16
5,11,192.12,16
5,12,196.95,16
5,13,197.39,16
5,14,199.64,16
5,15,201.42,16
5,16,203.05,16
5,17,205.99,16
5,18,212.25,16
5,19,217.04,16
5,20,219.94,16
5,21,222.04,16
5,22,223.27,16
5,23,225.88,16
5,24,229.77,16
5,25,231.47,16
5,26,233.15,16
5,27,234.56,16
5,28,235.99,16
5,29,237.24,16
5,30,239.34,16
5,31,241.49,16
6,1,242.61,16
6,2,243.55,16
6,3,245.72,16
6,4,247.78,16
6,5,250.72,16
6,6,252.05,16
6,7,252.85,16
6,8,254.78,16
6,9,255.69,16
6,10,256.82,16
6,11,259.74,16
6,12,262.46,16
6,13,265.09,16
6,14,265.76,16
6,15,266.82,16
6,16,268.41,16
6,17,270.31,16
6,18,271.71,16
6,19,273.13,16
6,20,274.45,16
6,21,275.52,16
6,22,276.92,16
6,23,277.57,16
6,24,278.38,16
6,25,279.88,16
6,26,280.71,16
6,27,281.19,16
6,28,281.75,16
6,29,282.24,16
6,30,283.66,16
7,1,284.71,16
7,2,284.87,16
7,3,285.15,16
7,4,287.21,16
7,5,287.94,16
7,6,289.19,16
7,7,293.49,16
7,8,296.04,16
7,9,296.37,16
7,10,296.86,16
7,11,297.29,16
7,12,298.46,16
7,13,298.93,16
7,14,301.68,16
7,15,303.48,16
7,16,306.06,16
7,17,306.41,16
7,18,306.72,16
7,19,307.72,16
7,20,309.35,16
7,21,310.71,16
7,22,311.25,16
7,23,312.27,16
7,24,312.71,16
7,25,313.18,16
7,26,314.92,16
7,27,315.72,16
7,28,317.28,16
7,29,319.16,16
7,30,321.52,16
7,31,323.82,16
8,1,324.81,16
8,2,325.35,16
8,3,326.12,16
8,4,326.58,16
8,5,328.38,16
8,6,329.21,16
8,7,333.02,16
8,8,334.7,16
8,9,335.51,16
8,10,336.12,16
8,11,336.25,16
8,12,336.45,16
8,13,336.98,16
8,14,338.12,16
8,15,339.89,16
8,16,340.91,16
8,17,341.26,16
8,18,342.22,16
8,19,343.08,16
8,20,343.71,16
8,21,344.51,16
8,22,346.06,16
8,23,347.36,16
8,24,347.99,16
8,25,351.26,16
8,26,352.73,16
8,27,353.28,16
8,28,354.11,16
8,29,354.45,16
8,30,354.57,16
8,31,354.85,16
9,1,355.24,16
9,2,355.36,16
9,3,355.88,16
9,4,356.19,16
9,5,357.07,16
9,6,357.53,16
9,7,358.46,16
9,8,360.2,16
9,9,361.04,16
9,10,362.86,16
9,11,365.11,16
9,12,368.68,16
9,13,370.14,16
9,14,372.46,16
9,15,375.49,16
9,16,375.67,16
9,17,375.89,16
9,18,375.98,16
9,19,376.38,16
9,20,376.55,16
9,21,377.25,16
9,22,379.11,16
9,23,382.11,16
9,24,382.61,16
9,25,382.79,16
9,26,383.67,16
9,27,384.59,16
9,28,385.11,16
9,29,386.11,16
9,30,386.41,16
10,1,387.19,16
10,2,389.03,16
10,3,390.54,16
10,4,391.81,16
10,5,393.15,16
10,6,395.11,16
10,7,395.33,16
10,8,397.04,16
10,9,399.38,16
10,10,400.18,16
10,11,400.42,16
10,12,401.29,16
10,13,401.72,16
10,14,402.76,16
10,15,402.82,16
10,16,402.84,16
10,17,403.29,16
10,18,404.01,16
10,19,404.48,16
10,20,404.76,16
10,21,406.16,16
10,22,407.12,16
10,23,408.04,16
10,24,409.56,16
10,25,411.03,16
10,26,412.92,16
10,27,414.41,16
10,28,415.58,16
10,29,416.48,16
10,30,417.87,16
10,31,418.01,16
11,1,418.86,16
11,2,419.76,16
11,3,421.17,16
11,4,421.79,16
11,5,423.05,16
11,6,423.46,16
11,7,423.91,16
11,8,425.61,16
11,9,427.05,16
11,10,427.94,16
11,11,429.46,16
11,12,429.83,16
11,13,429.84,16
11,14,429.95,16
11,15,430.29,16
11,16,430.73,16
11,17,432.57,16
11,18,432.7,16
11,19,432.74,16
11,20,433.39,16
11,21,434.41,16
11,22,435.13,16
11,23,435.3,16
11,24,436.54,16
11,25,436.83,16
11,26,438.18,16
11,27,438.73,16
11,28,438.81,16
11,29,439.52,16
11,30,439.82,16
12,1,440.37,16
12,2,440.54,16
12,3,441.92,16
12,4,442.49,16
12,5,442.79,16
12,6,442.91,16
