month,day,avg_daytime_temperature,years_sampled
1,1,21.68,16
1,2,21.28,16
1,3,20.83,16
1,4,20.61,16
1,5,19.96,16
1,6,20.12,16
1,7,20.31,16
1,8,20.51,16
1,9,20.45,16
1,10,20.39,16
1,11,19.17,16
1,12,19.28,16
1,13,19.28,16
1,14,19.4,16
1,15,19.98,16
1,16,20.02,16
1,17,20.36,16
1,18,19.45,16
1,19,18.91,16
1,20,19.42,16
1,21,18.99,16
1,22,18.96,16
1,23,18.74,16
1,24,19.72,16
1,25,20.28,16
1,26,20.08,16
1,27,20.58,16
1,28,20.26,16
1,29,20.0,16
1,30,20.11,16
1,31,20.53,16
2,1,21.47,16
2,2,20.34,16
2,3,19.41,16
2,4,19.69,16
2,5,19.7,16
2,6,19.73,16
2,7,20.29,16
2,8,20.34,16
2,9,20.68,16
2,10,20.46,16
2,11,20.5,16
2,12,20.63,16
2,13,20.85,16
2,14,20.94,16
2,15,21.52,16
2,16,21.84,16
2,17,22.58,16
2,18,21.88,16
2,19,21.36,16
2,20,21.74,16
2,21,21.37,16
2,22,21.28,16
2,23,22.11,16
2,24,22.15,16
2,25,22.12,16
2,26,21.7,16
2,27,21.33,16
2,28,21.76,16
2,29,21.4,4
3,1,22.37,16
3,2,21.71,16
3,3,21.73,16
3,4,21.93,16
3,5,22.99,16
3,6,22.61,16
3,7,23.29,16
3,8,23.45,16
3,9,23.56,16
3,10,24.21,16
3,11,24.5,16
3,12,24.93,16
3,13,24.12,16
3,14,24.26,16
3,15,24.82,16
3,16,24.28,16
3,17,24.67,16
3,18,24.56,16
3,19,24.9,16
3,20,24.78,16
3,21,25.11,16
3,22,25.23,16
3,23,24.98,16
3,24,24.42,16
3,25,24.62,16
3,26,24.43,16
3,27,25.05,16
3,28,25.76,16
3,29,26.33,16
3,30,26.31,16
3,31,26.94,16
4,1,27.25,16
4,2,27.14,16
4,3,27.57,16
4,4,27.21,16
4,5,27.98,16
4,6,27.99,16
4,7,27.83,16
4,8,28.69,16
4,9,28.99,16
4,10,29.59,16
4,11,29.88,16
4,12,29.85,16
4,13,28.77,16
4,14,28.65,16
4,15,28.3,16
4,16,28.19,16
4,17,29.3,16
4,18,29.61,16
4,19,29.51,16
4,20,29.21,16
4,21,29.51,16
4,22,29.97,16
