month,day,avg_accumulated_precipitation,years_sampled
1,1,2.57,16
1,2,4.9,16
1,3,8.36,16
1,4,11.24,16
1,5,14.68,16
1,6,16.85,16
1,7,19.56,16
1,8,21.04,16
1,9,23.3,16
1,10,26.5,16
1,11,29.2,16
1,12,30.85,16
1,13,33.01,16
1,14,36.76,16
1,15,39.39,16
1,16,41.61,16
1,17,41.77,16
1,18,42.99,16
1,19,44.13,16
1,20,45.53,16
1,21,48.56,16
1,22,50.18,16
1,23,51.91,16
1,24,54.16,16
1,25,55.62,16
1,26,59.31,16
1,27,62.03,16
1,28,65.25,16
1,29,69.43,16
1,30,70.37,16
1,31,73.41,16
2,1,74.73,16
2,2,76.59,16
2,3,79.28,16
2,4,83.08,16
2,5,87.02,16
2,6,88.51,16
2,7,91.24,16
2,8,93.61,16
2,9,96.99,16
2,10,98.92,16
2,11,100.62,16
2,12,102.02,16
2,13,105.28,16
2,14,107.24,16
2,15,109.49,16
2,16,112.86,16
2,17,115.2,16
2,18,118.16,16
2,19,120.18,16
2,20,122.95,16
2,21,125.17,16
2,22,127.79,16
2,23,132.3,16
2,24,135.16,16
2,25,136.77,16
2,26,139.01,16
2,27,140.59,16
2,28,142.33,16
2,29,143.09,4
3,1,145.46,16
3,2,147.03,16
3,3,148.21,16
3,4,151.08,16
3,5,152.5,16
3,6,154.88,16
3,7,156.66,16
3,8,158.08,16
3,9,160.19,16
3,10,163.24,16
3,11,165.16,16
3,12,169.59,16
3,13,172.69,16
3,14,175.49,16
3,15,177.43,16
3,16,181.38,16
3,17,183.34,16
3,18,184.96,16
3,19,186.36,16
3,20,188.04,16
3,21,188.99,16
3,22,190.61,16
3,23,192.02,16
3,24,192.61,16
3,25,193.93,16
3,26,196.81,16
3,27,199.34,16
3,28,201.01,16
3,29,204.03,16
3,30,208.16,16
3,31,211.23,16
4,1,213.45,16
4,2,215.29,16
4,3,220.48,16
4,4,223.7,16
4,5,226.76,16
4,6,228.89,16
4,7,230.08,16
4,8,230.6,16
4,9,232.8,16
4,10,235.12,16
4,11,236.61,16
4,12,238.73,16
4,13,240.03,16
4,14,241.5,16
4,15,242.59,16
4,16,243.64,16
4,17,245.22,16
4,18,245.93,16
4,19,246.43,16
4,20,246.99,16
4,21,247.81,16
4,22,248.7,16
4,23,249.63,16
4,24,250.7,16
4,25,252.57,16
4,26,254.55,16
4,27,255.39,16
4,28,256.8,16
4,29,259.23,16
4,30,261.26,16
5,1,262.51,16
5,2,263.8,16
5,3,267.05,16
5,4,268.94,16
5,5,270.43,16
5,6,273.73,16
5,7,276.07,16
5,8,279.31,16
5,9,280.93,16
5,10,283.58,16
5,11,285.48,16
5,12,287.95,16
5,13,290.26,16
5,14,291.48,16
5,15,292.5,16
5,16,293.49,16
5,17,294.71,16
5,18,297.64,16
5,19,298.69,16
5,20,301.06,16
5,21,303.92,16
5,22,308.11,16
5,23,312.68,16
5,24,314.51,16
5,25,316.59,16
5,26,320.74,16
5,27,322.26,16
5,28,323.59,16
5,29,325.75,16
5,30,328.21,16
5,31,330.08,16
6,1,331.96,16
6,2,333.28,16
6,3,334.82,16
6,4,336.64,16
6,5,339.63,16
6,6,342.97,16
6,7,346.78,16
6,8,349.74,16
6,9,351.56,16
6,10,353.91,16
6,11,355.06,16
6,12,357.29,16
6,13,360.71,16
6,14,363.75,16
6,15,365.61,16
6,16,368.14,16
6,17,370.39,16
6,18,371.18,16
6,19,373.85,16
6,20,376.03,16
6,21,379.28,16
6,22,381.46,16
6,23,382.83,16
6,24,385.75,16
6,25,387.52,16
6,26,389.7,16
6,27,391.93,16
6,28,395.55,16
6,29,400.24,16
6,30,401.96,16
7,1,403.76,16
7,2,406.96,16
7,3,409.0,16
7,4,413.81,16
7,5,415.41,16
7,6,419.91,16
7,7,422.81,16
7,8,424.14,16
7,9,428.34,16
7,10,432.04,16
7,11,434.09,16
7,12,435.33,16
7,13,437.12,16
7,14,440.66,16
7,15,443.89,16
7,16,446.31,16
7,17,448.76,16
7,18,453.66,16
7,19,457.73,16
7,20,461.37,16
7,21,464.25,16
7,22,466.81,16
7,23,469.89,16
7,24,471.52,16
7,25,473.64,16
7,26,475.78,16
7,27,480.44,16
7,28,484.91,16
7,29,486.78,16
7,30,489.02,16
7,31,491.58,16
8,1,495.01,16
8,2,498.54,16
8,3,501.04,16
8,4,504.91,16
8,5,507.19,16
8,6,511.06,16
8,7,513.94,16
8,8,515.74,16
8,9,518.38,16
8,10,523.53,16
8,11,529.95,16
8,12,532.93,16
8,13,534.04,16
8,14,536.98,16
8,15,541.29,16
8,16,543.26,16
8,17,545.14,16
8,18,547.53,16
8,19,550.88,16
8,20,553.06,16
8,21,556.79,16
8,22,558.5,16
8,23,561.36,16
8,24,562.89,16
8,25,565.7,16
8,26,567.84,16
8,27,570.41,16
8,28,571.7,16
8,29,572.79,16
8,30,573.94,16
8,31,574.42,16
9,1,575.06,16
9,2,576.81,16
9,3,579.06,16
9,4,580.55,16
9,5,582.56,16
9,6,583.97,16
9,7,587.19,16
9,8,588.93,16
9,9,591.63,16
9,10,595.64,16
9,11,598.8,16
9,12,600.97,16
9,13,603.49,16
9,14,605.56,16
9,15,607.7,16
9,16,609.94,16
9,17,611.31,16
9,18,613.39,16
9,19,616.37,16
9,20,619.08,16
9,21,621.08,16
9,22,623.03,16
9,23,625.26,16
9,24,628.46,16
9,25,631.19,16
9,26,632.93,16
9,27,635.86,16
9,28,637.73,16
9,29,640.18,16
9,30,642.77,16
10,1,646.41,16
10,2,648.98,16
10,3,655.05,16
10,4,659.79,16
10,5,663.93,16
10,6,668.03,16
10,7,673.81,16
