month,day,avg_daytime_temperature,years_sampled
1,1,17.76,16
1,2,18.86,16
1,3,18.26,16
1,4,18.66,16
1,5,19.65,16
1,6,19.45,16
1,7,18.88,16
1,8,17.87,16
1,9,17.11,16
1,10,17.14,16
1,11,16.46,16
1,12,16.01,16
1,13,17.02,16
1,14,18.06,16
1,15,18.1,16
1,16,17.62,16
1,17,17.18,16
1,18,18.04,16
1,19,18.82,16
1,20,18.84,16
1,21,18.59,16
1,22,18.0,16
1,23,17.62,16
1,24,18.04,16
1,25,17.58,16
1,26,17.17,16
1,27,17.54,16
1,28,17.41,16
1,29,17.48,16
1,30,17.99,16
1,31,18.23,16
2,1,18.65,16
2,2,19.3,16
2,3,19.03,16
2,4,19.58,16
2,5,19.58,16
2,6,20.7,16
2,7,20.23,16
2,8,19.07,16
2,9,17.8,16
2,10,18.86,16
2,11,18.79,16
2,12,18.63,16
2,13,19.14,16
2,14,19.81,16
2,15,19.38,16
2,16,18.76,16
2,17,19.44,16
2,18,19.92,16
2,19,19.3,16
2,20,19.93,16
2,21,21.16,16
2,22,20.42,16
2,23,19.3,16
2,24,19.4,16
2,25,20.02,16
2,26,20.65,16
2,27,20.8,16
2,28,22.01,16
2,29,19.4,4
3,1,22.34,16
3,2,22.43,16
3,3,22.11,16
3,4,22.39,16
3,5,23.38,16
3,6,23.09,16
3,7,21.17,16
3,8,21.19,16
3,9,20.71,16
3,10,20.01,16
3,11,20.74,16
3,12,22.07,16
3,13,22.8,16
3,14,22.81,16
3,15,22.68,16
3,16,22.2,16
3,17,23.34,16
3,18,23.57,16
3,19,24.53,16
3,20,25.22,16
3,21,24.19,16
3,22,24.32,16
3,23,23.29,16
3,24,23.0,16
3,25,22.44,16
3,26,23.12,16
3,27,22.62,16
3,28,23.58,16
3,29,23.51,16
3,30,24.06,16
3,31,24.08,16
4,1,24.09,16
4,2,24.73,16
4,3,25.48,16
4,4,25.61,16
4,5,25.46,16
4,6,24.97,16
4,7,24.11,16
4,8,23.62,16
4,9,24.38,16
4,10,25.23,16
4,11,26.2,16
4,12,26.02,16
4,13,26.18,16
4,14,26.25,16
4,15,26.05,16
4,16,25.95,16
4,17,26.22,16
4,18,27.11,16
4,19,28.51,16
4,20,28.8,16
4,21,28.24,16
4,22,27.19,16
4,23,27.06,16
4,24,27.28,16
4,25,27.51,16
4,26,26.79,16
4,27,26.82,16
4,28,27.16,16
4,29,27.62,16
4,30,27.83,16
5,1,27.49,16
5,2,28.09,16
5,3,28.19,16
5,4,29.01,16
5,5,28.53,16
5,6,29.38,16
5,7,29.68,16
5,8,29.63,16
5,9,29.28,16
5,10,28.91,16
5,11,28.89,16
5,12,28.13,16
5,13,28.25,16
5,14,29.39,16
5,15,28.92,16
5,16,29.08,16
5,17,29.7,16
5,18,30.15,16
5,19,30.29,16
5,20,30.42,16
5,21,29.87,16
5,22,30.05,16
5,23,28.84,16
5,24,28.18,16
5,25,28.63,16
5,26,29.18,16
5,27,29.09,16
5,28,29.46,16
5,29,29.84,16
5,30,29.74,16
5,31,30.03,16
6,1,31.34,16
6,2,31.21,16
6,3,31.16,16
6,4,30.72,16
6,5,30.45,16
6,6,29.92,16
6,7,29.88,16
6,8,30.14,16
6,9,30.46,16
6,10,30.04,16
6,11,29.94,16
6,12,30.63,16
6,13,30.81,16
6,14,30.63,16
6,15,30.44,16
6,16,31.09,16
6,17,31.12,16
6,18,31.25,16
6,19,31.81,16
6,20,31.88,16
6,21,31.65,16
6,22,31.24,16
6,23,30.44,16
6,24,29.62,16
6,25,29.92,16
6,26,30.56,16
6,27,30.92,16
6,28,31.28,16
6,29,31.22,16
6,30,30.68,16
7,1,30.78,16
7,2,30.8,16
7,3,30.88,16
7,4,31.09,16
7,5,30.74,16
7,6,30.85,16
7,7,30.68,16
7,8,30.68,16
7,9,31.01,16
7,10,30.88,16
7,11,30.42,16
7,12,30.73,16
7,13,30.52,16
7,14,29.73,16
7,15,30.21,16
7,16,30.66,16
7,17,30.79,16
7,18,30.58,16
7,19,30.06,16
7,20,29.32,16
7,21,29.42,16
7,22,29.67,16
7,23,29.65,16
7,24,30.07,16
7,25,29.91,16
7,26,30.13,16
7,27,30.03,16
7,28,29.16,16
7,29,29.36,16
7,30,29.47,16
7,31,29.69,16
8,1,29.29,16
8,2,29.33,16
8,3,29.04,16
8,4,29.42,16
8,5,29.03,16
8,6,29.13,16
8,7,29.74,16
8,8,30.13,16
8,9,30.44,16
8,10,30.28,16
8,11,29.89,16
8,12,29.92,16
8,13,29.94,16
8,14,29.85,16
8,15,29.17,16
8,16,29.41,16
8,17,29.41,16
8,18,29.44,16
8,19,28.53,16
8,20,28.62,16
8,21,29.03,16
8,22,29.75,16
8,23,29.78,16
8,24,28.97,16
8,25,29.17,16
8,26,29.13,16
8,27,29.19,16
8,28,28.98,16
8,29,28.77,16
8,30,28.78,16
8,31,29.35,16
9,1,29.24,16
9,2,29.07,16
9,3,28.72,16
9,4,28.99,16
9,5,29.45,16
9,6,29.3,16
9,7,28.77,16
9,8,28.31,16
9,9,28.02,16
9,10,28.5,16
9,11,28.16,16
9,12,28.17,16
9,13,28.25,16
9,14,27.84,16
9,15,28.01,16
9,16,28.41,16
9,17,28.28,16
9,18,28.56,16
9,19,28.62,16
9,20,28.28,16
9,21,28.44,16
9,22,28.1,16
9,23,28.02,16
9,24,28.03,16
9,25,27.67,16
9,26,27.51,16
9,27,27.64,16
9,28,28.04,16
9,29,28.27,16
9,30,27.4,16
10,1,27.53,16
10,2,27.83,16
10,3,27.6,16
10,4,27.52,16
10,5,27.05,16
10,6,26.84,16
10,7,26.89,16
10,8,27.03,16
10,9,26.96,16
10,10,26.09,16
10,11,26.38,16
10,12,26.87,16
10,13,26.62,16
10,14,26.1,16
10,15,25.95,16
10,16,25.3,16
10,17,25.06,16
10,18,24.91,16
10,19,25.18,16
10,20,26.06,16
10,21,25.7,16
10,22,25.74,16
10,23,25.23,16
10,24,24.98,16
10,25,25.54,16
10,26,25.9,16
10,27,25.54,16
10,28,24.79,16
10,29,24.33,16
10,30,24.23,16
10,31,24.18,16
11,1,23.66,16
11,2,23.66,16
11,3,24.38,16
11,4,24.62,16
11,5,24.91,16
11,6,25.09,16
11,7,25.02,16
11,8,24.24,16
11,9,23.92,16
11,10,24.16,16
11,11,23.98,16
11,12,24.47,16
11,13,23.61,16
