calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,54.54,15.8,100.15,123.66,61.11,184.53,16.63,11.9,20.9,76.15,60.0,89.0,4.5,30.2
2,2,Feb,39.23,13.9,71.2,109.81,69.67,157.86,18.26,13.01,23.5,78.16,65.0,88.0,6.7,34.7
3,3,Mar,66.52,30.05,102.5,125.13,87.52,177.8,21.45,17.1,25.3,80.89,69.0,88.0,9.5,36.3
4,4,Apr,102.1,44.7,150.35,190.77,147.68,229.54,24.87,20.7,28.6,81.39,72.0,88.0,12.3,41.2
5,5,May,232.77,143.45,316.55,257.97,209.51,288.21,27.81,24.8,30.85,81.27,73.0,89.0,17.7,39.2
6,6,Jun,257.04,126.65,455.15,259.45,227.92,296.26,29.41,27.2,31.8,80.07,70.0,88.0,19.5,38.7
7,7,Jul,293.49,180.85,436.95,265.95,215.04,305.06,29.0,26.9,31.45,82.23,71.5,90.0,23.4,37.8
8,8,Aug,371.46,228.75,512.4,242.39,213.26,269.2,28.23,26.3,30.4,85.58,79.0,91.0,22.9,37.2
9,9,Sep,311.21,209.35,493.8,233.37,198.0,264.99,27.2,25.2,28.9,84.54,75.0,91.0,19.4,35.2
10,10,Oct,174.6,64.15,284.35,242.96,186.03,291.32,24.7,21.5,27.2,78.13,66.0,89.0,11.4,33.3
11,11,Nov,59.27,18.6,101.95,209.39,169.37,246.56,21.98,18.3,25.3,77.19,64.0,88.0,11.2,32.3
12,12,Dec,37.34,10.4,70.0,168.97,125.45,203.2,17.45,13.45,21.65,72.19,55.0,86.5,4.6,30.2
