month,day,avg_accumulated_precipitation,years_sampled
1,1,0.71,16
1,2,1.51,16
1,3,2.97,16
1,4,3.62,16
1,5,4.02,16
1,6,5.24,16
1,7,6.51,16
1,8,8.34,16
1,9,10.33,16
1,10,16.15,16
1,11,21.26,16
1,12,23.7,16
1,13,24.74,16
1,14,26.09,16
1,15,27.15,16
1,16,28.66,16
1,17,30.21,16
1,18,30.44,16
1,19,30.85,16
1,20,31.91,16
1,21,35.32,16
1,22,39.32,16
1,23,40.67,16
1,24,41.91,16
1,25,45.05,16
1,26,48.11,16
1,27,49.76,16
1,28,51.04,16
1,29,52.81,16
1,30,53.36,16
1,31,54.54,16
2,1,55.17,16
2,2,55.85,16
2,3,57.82,16
2,4,59.31,16
2,5,61.39,16
2,6,62.61,16
2,7,64.72,16
2,8,67.03,16
2,9,70.5,16
2,10,71.12,16
2,11,72.15,16
2,12,73.49,16
2,13,75.34,16
2,14,76.31,16
2,15,77.29,16
2,16,78.05,16
2,17,79.34,16
2,18,82.41,16
2,19,84.71,16
2,20,86.58,16
2,21,87.15,16
2,22,88.22,16
2,23,89.71,16
2,24,90.57,16
2,25,91.64,16
2,26,92.32,16
2,27,93.06,16
2,28,93.66,16
2,29,93.78,4
3,1,94.87,16
3,2,95.87,16
3,3,98.59,16
3,4,102.62,16
3,5,103.49,16
3,6,104.91,16
3,7,107.35,16
3,8,108.64,16
3,9,109.66,16
3,10,110.67,16
3,11,111.4,16
3,12,112.52,16
3,13,113.59,16
3,14,115.56,16
3,15,117.79,16
3,16,121.97,16
3,17,125.33,16
3,18,127.65,16
3,19,131.86,16
3,20,133.36,16
3,21,135.76,16
3,22,138.66,16
3,23,142.6,16
3,24,145.46,16
3,25,149.32,16
3,26,150.61,16
3,27,151.69,16
3,28,153.73,16
3,29,156.95,16
3,30,157.99,16
3,31,160.29,16
4,1,168.29,16
4,2,170.32,16
4,3,172.02,16
4,4,173.79,16
4,5,174.78,16
4,6,176.5,16
4,7,179.86,16
4,8,181.44,16
4,9,182.09,16
4,10,183.52,16
4,11,184.25,16
4,12,186.82,16
4,13,188.09,16
4,14,191.32,16
4,15,194.68,16
4,16,196.69,16
4,17,202.09,16
4,18,206.11,16
4,19,208.22,16
4,20,211.54,16
4,21,216.19,16
4,22,222.52,16
4,23,227.71,16
4,24,231.62,16
4,25,237.98,16
4,26,244.21,16
4,27,249.58,16
4,28,254.71,16
4,29,256.98,16
4,30,262.39,16
5,1,275.5,16
5,2,278.91,16
5,3,284.48,16
5,4,288.32,16
5,5,293.94,16
5,6,297.51,16
5,7,301.17,16
5,8,305.62,16
5,9,315.41,16
5,10,324.08,16
5,11,328.71,16
5,12,339.23,16
5,13,349.7,16
5,14,357.43,16
5,15,369.64,16
5,16,373.67,16
5,17,376.33,16
5,18,379.58,16
5,19,384.31,16
5,20,388.78,16
5,21,397.47,16
5,22,404.54,16
5,23,423.49,16
5,24,436.44,16
5,25,442.84,16
5,26,451.71,16
5,27,459.42,16
5,28,471.5,16
5,29,479.66,16
5,30,489.15,16
5,31,495.17,16
6,1,501.61,16
6,2,506.98,16
6,3,512.04,16
6,4,519.12,16
6,5,528.64,16
6,6,540.03,16
6,7,550.32,16
6,8,560.95,16
6,9,569.78,16
6,10,581.28,16
6,11,589.04,16
6,12,596.05,16
6,13,604.42,16
6,14,613.83,16
6,15,623.68,16
6,16,626.31,16
6,17,633.45,16
6,18,638.76,16
6,19,642.68,16
6,20,647.44,16
6,21,666.63,16
6,22,675.21,16
6,23,686.42,16
6,24,709.3,16
6,25,720.61,16
6,26,725.69,16
6,27,734.31,16
6,28,738.69,16
6,29,743.36,16
6,30,752.21,16
7,1,759.81,16
7,2,769.92,16
7,3,780.06,16
7,4,785.82,16
7,5,794.26,16
7,6,799.22,16
7,7,806.55,16
7,8,814.73,16
7,9,818.87,16
7,10,824.74,16
7,11,833.14,16
7,12,839.8,16
7,13,847.24,16
7,14,856.54,16
7,15,863.32,16
7,16,870.09,16
7,17,880.55,16
7,18,891.06,16
7,19,903.49,16
7,20,913.68,16
7,21,927.72,16
7,22,936.22,16
7,23,956.63,16
7,24,967.12,16
7,25,976.09,16
7,26,983.16,16
7,27,990.52,16
7,28,1011.05,16
7,29,1023.34,16
7,30,1035.86,16
7,31,1045.7,16
8,1,1057.78,16
8,2,1068.59,16
8,3,1088.62,16
8,4,1105.14,16
8,5,1122.21,16
8,6,1134.88,16
8,7,1143.46,16
8,8,1152.76,16
8,9,1158.66,16
8,10,1166.74,16
8,11,1177.87,16
8,12,1185.36,16
8,13,1193.53,16
8,14,1203.81,16
8,15,1215.82,16
8,16,1229.55,16
8,17,1241.78,16
8,18,1257.75,16
8,19,1270.11,16
8,20,1282.73,16
8,21,1290.89,16
8,22,1301.09,16
8,23,1312.14,16
8,24,1326.82,16
8,25,1342.91,16
8,26,1358.68,16
8,27,1372.28,16
8,28,1382.11,16
8,29,1396.16,16
8,30,1411.29,16
8,31,1417.16,16
9,1,1424.21,16
9,2,1430.99,16
9,3,1441.94,16
9,4,1449.01,16
9,5,1454.4,16
9,6,1461.8,16
9,7,1477.61,16
9,8,1490.91,16
9,9,1503.6,16
9,10,1512.8,16
9,11,1526.81,16
9,12,1537.84,16
9,13,1545.07,16
9,14,1554.12,16
9,15,1562.54,16
9,16,1572.19,16
9,17,1585.92,16
9,18,1598.05,16
9,19,1611.22,16
9,20,1628.85,16
9,21,1636.21,16
9,22,1646.32,16
9,23,1653.73,16
9,24,1659.85,16
9,25,1673.41,16
9,26,1684.14,16
9,27,1693.82,16
9,28,1704.19,16
9,29,1714.76,16
9,30,1728.37,16
10,1,1736.52,16
10,2,1739.8,16
10,3,1742.36,16
10,4,1746.38,16
10,5,1754.28,16
10,6,1760.87,16
10,7,1776.99,16
10,8,1780.79,16
10,9,1786.42,16
10,10,1798.92,16
10,11,1807.16,16
10,12,1808.91,16
10,13,1812.14,16
10,14,1826.78,16
10,15,1834.59,16
10,16,1841.49,16
10,17,1851.15,16
10,18,1856.13,16
10,19,1859.82,16
10,20,1861.56,16
10,21,1864.5,16
10,22,1866.85,16
10,23,1870.02,16
10,24,1874.4,16
10,25,1875.43,16
10,26,1876.17,16
10,27,1878.62,16
10,28,1886.5,16
10,29,1896.49,16
10,30,1899.98,16
10,31,1902.97,16
11,1,1905.35,16
11,2,1906.82,16
11,3,1907.09,16
11,4,1907.36,16
11,5,1907.49,16
11,6,1909.94,16
11,7,1913.19,16
11,8,1917.69,16
11,9,1923.12,16
11,10,1926.91,16
11,11,1931.94,16
11,12,1933.17,16
11,13,1937.29,16
11,14,1937.75,16
11,15,1939.18,16
11,16,1942.98,16
11,17,1943.89,16
11,18,1947.18,16
11,19,1948.52,16
11,20,1949.81,16
11,21,1951.32,16
11,22,1953.14,16
11,23,1954.73,16
11,24,1956.37,16
11,25,1957.59,16
11,26,1959.03,16
11,27,1959.62,16
11,28,1960.61,16
11,29,1960.72,16
11,30,1962.24,16
12,1,1965.13,16
12,2,1966.47,16
12,3,1966.91,16
12,4,1967.86,16
12,5,1969.41,16
12,6,1970.22,16
12,7,1971.44,16
12,8,1973.96,16
12,9,1974.98,16
12,10,1975.41,16
12,11,1977.51,16
12,12,1978.13,16
12,13,1981.05,16
12,14,1984.03,16
12,15,1985.44,16
12,16,1987.22,16
12,17,1987.38,16
12,18,1987.77,16
12,19,1988.31,16
12,20,1988.67,16
12,21,1989.13,16
12,22,1989.94,16
12,23,1990.51,16
12,24,1991.48,16
12,25,1992.27,16
12,26,1993.33,16
12,27,1995.22,16
12,28,1997.03,16
12,29,1998.13,16
12,30,1999.38,16
12,31,1999.58,16
