month,day,avg_accumulated_precipitation,years_sampled
1,1,0.13,16
1,2,0.67,16
1,3,1.24,16
1,4,4.53,16
1,5,6.03,16
1,6,6.42,16
1,7,7.63,16
1,8,8.45,16
1,9,9.62,16
1,10,10.54,16
1,11,11.46,16
1,12,13.26,16
1,13,14.41,16
1,14,16.02,16
1,15,20.29,16
1,16,21.14,16
1,17,22.33,16
1,18,22.56,16
1,19,22.98,16
1,20,25.11,16
1,21,26.18,16
1,22,28.16,16
1,23,29.01,16
1,24,30.0,16
1,25,31.21,16
1,26,32.28,16
1,27,33.72,16
1,28,34.99,16
1,29,36.02,16
1,30,36.25,16
1,31,36.73,16
2,1,37.29,16
2,2,37.71,16
2,3,37.87,16
2,4,38.73,16
2,5,40.95,16
2,6,42.63,16
2,7,44.31,16
2,8,44.87,16
2,9,45.49,16
2,10,45.77,16
2,11,46.24,16
2,12,47.63,16
2,13,49.8,16
2,14,49.98,16
2,15,50.74,16
2,16,52.11,16
2,17,52.29,16
2,18,53.21,16
2,19,54.14,16
2,20,54.77,16
2,21,55.29,16
2,22,60.26,16
2,23,60.53,16
2,24,63.87,16
2,25,64.61,16
2,26,65.14,16
2,27,66.16,16
2,28,68.26,16
2,29,68.26,4
3,1,68.96,16
3,2,69.78,16
3,3,70.11,16
3,4,70.59,16
3,5,71.17,16
3,6,72.28,16
3,7,72.76,16
3,8,73.23,16
3,9,73.31,16
3,10,74.81,16
3,11,75.45,16
3,12,77.1,16
3,13,77.58,16
3,14,78.35,16
3,15,78.63,16
3,16,78.72,16
3,17,79.26,16
3,18,80.15,16
3,19,81.65,16
3,20,83.33,16
3,21,84.13,16
3,22,84.75,16
3,23,85.15,16
3,24,85.47,16
3,25,86.37,16
3,26,86.93,16
3,27,88.11,16
3,28,88.48,16
3,29,89.24,16
3,30,89.7,16
3,31,90.43,16
4,1,90.91,16
4,2,91.19,16
4,3,91.71,16
4,4,92.63,16
4,5,93.68,16
4,6,94.32,16
4,7,94.59,16
4,8,95.96,16
4,9,97.31,16
4,10,97.48,16
4,11,98.1,16
4,12,99.34,16
4,13,99.72,16
4,14,100.03,16
4,15,100.66,16
4,16,101.6,16
4,17,102.09,16
4,18,103.97,16
4,19,104.81,16
4,20,105.57,16
4,21,107.29,16
4,22,110.61,16
4,23,111.13,16
4,24,112.14,16
4,25,113.29,16
4,26,115.18,16
4,27,116.26,16
4,28,117.33,16
4,29,119.48,16
4,30,122.33,16
5,1,124.54,16
5,2,127.45,16
5,3,128.39,16
5,4,130.68,16
5,5,132.29,16
5,6,133.15,16
5,7,133.79,16
5,8,134.2,16
5,9,135.26,16
5,10,139.11,16
5,11,141.04,16
5,12,142.78,16
5,13,146.39,16
5,14,149.02,16
5,15,152.36,16
5,16,154.84,16
5,17,157.15,16
5,18,159.67,16
5,19,165.83,16
5,20,169.13,16
5,21,173.69,16
5,22,177.88,16
5,23,181.17,16
5,24,184.04,16
5,25,190.83,16
5,26,194.54,16
5,27,195.74,16
5,28,198.33,16
5,29,202.65,16
5,30,206.98,16
5,31,211.09,16
6,1,219.36,16
6,2,231.98,16
6,3,240.46,16
6,4,245.89,16
6,5,251.38,16
6,6,256.18,16
6,7,259.09,16
6,8,264.93,16
6,9,271.74,16
6,10,276.78,16
6,11,280.68,16
6,12,285.45,16
6,13,288.23,16
6,14,290.51,16
6,15,293.68,16
6,16,297.77,16
6,17,301.41,16
6,18,303.82,16
6,19,306.76,16
6,20,311.5,16
6,21,314.09,16
6,22,317.21,16
6,23,318.79,16
6,24,321.2,16
6,25,324.88,16
6,26,329.54,16
6,27,333.61,16
6,28,336.98,16
6,29,340.04,16
6,30,344.72,16
7,1,348.53,16
7,2,351.23,16
7,3,353.74,16
7,4,356.64,16
7,5,359.75,16
7,6,364.51,16
7,7,367.19,16
7,8,368.88,16
7,9,371.38,16
7,10,373.61,16
7,11,377.58,16
7,12,381.1,16
7,13,383.12,16
7,14,385.73,16
7,15,388.54,16
7,16,390.35,16
7,17,394.02,16
7,18,397.19,16
7,19,400.88,16
7,20,403.7,16
7,21,407.78,16
7,22,410.64,16
7,23,413.27,16
7,24,416.88,16
7,25,419.56,16
7,26,422.59,16
7,27,424.28,16
7,28,427.12,16
7,29,428.62,16
7,30,430.73,16
7,31,432.64,16
8,1,435.41,16
8,2,439.54,16
8,3,446.42,16
8,4,451.58,16
