calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute,temperature_2m_mean_min,temperature_2m_mean_max
1,1,Jan,13.906666666666666,0.08000000000000003,39.78,280.3357201851852,268.67519111111113,292.7835377777778,16.19849462365591,12.840000000000002,19.560000000000002,46.178494623655915,28.0,71.0,0.8,32.2,0.8,32.2
2,2,Feb,10.499999999999998,0.0,24.259999999999998,274.7314990740741,252.55378555555555,291.0284666666667,17.478301886792455,13.23,21.7,43.43867924528302,24.0,68.0,-0.7,35.5,-0.7,35.5
3,3,Mar,8.653333333333332,0.0,20.559999999999995,326.0163772222222,304.15965666666665,341.83188722222224,20.901935483870968,16.9,24.7,34.63870967741936,19.0,52.0,6.6,38.3,6.6,38.3
4,4,Apr,0.8133333333333334,0.0,2.139999999999999,357.1492488888889,353.76567,360.6159361111111,24.18888888888889,20.69,27.8,28.24,17.0,42.10000000000002,8.9,40.4,8.9,40.4
5,5,May,0.10666666666666667,0.0,0.30000000000000004,391.2857027777778,387.09132500000004,394.5954811111111,26.96258064516129,23.240000000000002,30.2,27.21720430107527,16.0,39.0,11.0,43.5,11.0,43.5
6,6,Jun,5.359999999999999,0.0,11.84,381.6904675925926,366.2752972222222,389.1054472222222,31.936444444444444,29.0,34.4,33.34888888888889,16.0,47.0,16.0,47.1,16.0,47.1
7,7,Jul,47.72666666666667,9.24,79.66,368.11740555555554,350.0996005555555,382.83015611111114,32.4294623655914,29.3,35.160000000000004,50.52258064516129,35.0,69.0,20.4,45.7,20.4,45.7
8,8,Aug,52.93333333333332,15.780000000000001,109.8,356.9580625925927,338.70571333333334,370.9798411111111,32.24,28.9,35.2,55.51397849462366,37.400000000000006,75.0,22.3,45.6,22.3,45.6
9,9,Sep,56.93333333333332,11.280000000000001,124.11999999999999,320.6393938888889,297.00606055555556,337.8137238888889,30.211777777777776,27.0,33.31,57.355555555555554,34.0,79.0,17.8,44.4,17.8,44.4
10,10,Oct,9.2,0.0,11.520000000000001,318.33229796296297,312.63832833333333,325.631555,26.827956989247312,22.84,30.9,43.348387096774196,25.0,61.0,10.0,43.9,10.0,43.9
11,11,Nov,14.113333333333333,0.0,33.47999999999999,280.75515055555553,270.5871627777778,293.818215,21.053555555555555,17.0,25.1,41.602222222222224,25.0,61.0,7.3,39.5,7.3,39.5
12,12,Dec,12.22,0.7200000000000002,27.34,271.0772505555556,254.37899944444445,284.13884777777776,16.58430107526882,13.0,20.060000000000002,47.71827956989247,27.0,72.0,3.4,31.7,3.4,31.7
