month,day,avg_daytime_temperature,years_sampled
1,1,17.97,16
1,2,17.94,16
1,3,18.72,16
1,4,19.74,16
1,5,19.98,16
1,6,19.93,16
1,7,19.62,16
1,8,19.1,16
1,9,18.73,16
1,10,18.78,16
1,11,18.92,16
1,12,19.19,16
1,13,19.77,16
1,14,19.42,16
1,15,20.06,16
1,16,20.17,16
1,17,20.38,16
1,18,21.08,16
1,19,21.27,16
1,20,20.44,16
1,21,19.71,16
1,22,19.16,16
1,23,19.07,16
1,24,18.76,16
1,25,19.61,16
1,26,19.44,16
1,27,19.87,16
1,28,19.92,16
1,29,20.39,16
1,30,20.33,16
1,31,20.49,16
2,1,20.1,16
2,2,20.32,16
2,3,19.5,16
2,4,20.43,16
2,5,20.81,16
2,6,20.62,16
2,7,21.54,16
2,8,21.87,16
2,9,22.17,16
2,10,21.65,16
2,11,20.94,16
2,12,21.09,16
2,13,21.45,16
2,14,22.02,16
2,15,22.16,16
2,16,21.65,16
2,17,21.69,16
2,18,21.1,16
2,19,20.59,16
2,20,20.28,16
2,21,19.98,16
2,22,20.08,16
2,23,19.88,16
2,24,20.45,16
2,25,21.19,16
2,26,21.35,16
2,27,21.25,16
2,28,21.32,16
2,29,22.84,4
3,1,22.26,16
3,2,22.54,16
3,3,22.31,16
3,4,22.37,16
3,5,23.46,16
3,6,23.51,16
3,7,22.11,16
3,8,20.89,16
3,9,22.34,16
3,10,23.16,16
3,11,23.96,16
3,12,23.7,16
3,13,23.56,16
3,14,24.21,16
3,15,24.62,16
3,16,24.55,16
3,17,24.7,16
3,18,23.71,16
3,19,24.13,16
3,20,24.87,16
3,21,25.31,16
3,22,24.97,16
3,23,24.57,16
3,24,24.62,16
3,25,24.74,16
3,26,24.57,16
3,27,25.02,16
3,28,26.05,16
3,29,26.49,16
3,30,26.18,16
3,31,26.09,16
4,1,25.65,16
4,2,25.27,16
4,3,25.78,16
4,4,26.41,16
4,5,26.81,16
4,6,26.96,16
4,7,28.0,16
4,8,28.14,16
4,9,27.28,16
4,10,27.43,16
4,11,27.63,16
4,12,26.4,16
4,13,25.6,16
4,14,25.88,16
4,15,26.69,16
4,16,26.79,16
4,17,26.79,16
4,18,27.31,16
4,19,27.84,16
4,20,28.13,16
4,21,28.51,16
4,22,27.79,16
4,23,27.2,16
4,24,27.59,16
4,25,28.01,16
4,26,27.56,16
4,27,27.54,16
4,28,28.19,16
4,29,28.44,16
4,30,28.1,16
5,1,27.87,16
5,2,28.27,16
5,3,28.65,16
5,4,29.22,16
5,5,29.44,16
5,6,28.97,16
5,7,28.16,16
5,8,27.93,16
5,9,28.27,16
5,10,28.48,16
5,11,29.2,16
5,12,29.74,16
5,13,30.55,16
5,14,30.72,16
5,15,30.43,16
5,16,29.96,16
5,17,29.7,16
5,18,29.24,16
5,19,29.33,16
5,20,30.26,16
5,21,30.48,16
5,22,30.12,16
5,23,29.56,16
5,24,29.72,16
5,25,30.51,16
5,26,30.8,16
5,27,31.5,16
5,28,31.88,16
5,29,31.34,16
5,30,31.85,16
5,31,32.44,16
6,1,32.55,16
6,2,32.97,16
6,3,33.68,16
6,4,34.01,16
6,5,34.3,16
6,6,33.72,16
6,7,33.36,16
6,8,33.39,16
6,9,33.53,16
6,10,33.87,16
6,11,34.35,16
6,12,34.65,16
6,13,34.46,16
6,14,34.69,16
6,15,34.37,16
6,16,34.89,16
6,17,35.31,16
6,18,35.48,16
6,19,35.47,16
6,20,35.51,16
6,21,35.0,16
6,22,34.74,16
6,23,34.95,16
6,24,35.24,16
6,25,35.41,16
6,26,35.21,16
6,27,35.3,16
6,28,35.31,16
6,29,35.34,16
6,30,35.47,16
7,1,35.52,16
7,2,35.18,16
7,3,33.51,16
7,4,33.25,16
7,5,33.73,16
7,6,34.61,16
7,7,34.95,16
7,8,35.02,16
7,9,34.64,16
7,10,34.63,16
7,11,34.6,16
7,12,34.73,16
7,13,34.08,16
7,14,34.08,16
7,15,34.5,16
7,16,34.18,16
7,17,33.46,16
7,18,33.98,16
7,19,33.87,16
7,20,34.1,16
7,21,33.92,16
7,22,33.99,16
7,23,33.93,16
7,24,34.04,16
7,25,34.53,16
7,26,34.58,16
7,27,34.4,16
7,28,33.37,16
7,29,32.79,16
7,30,33.34,16
7,31,33.77,16
8,1,35.1,16
8,2,35.84,16
8,3,35.87,16
8,4,35.88,16
8,5,35.59,16
8,6,34.75,16
8,7,34.26,16
8,8,34.41,16
8,9,33.97,16
8,10,32.79,16
8,11,33.54,16
8,12,34.0,16
8,13,34.03,16
8,14,34.32,16
8,15,33.62,16
8,16,33.56,16
8,17,33.86,16
8,18,32.78,16
8,19,32.94,16
8,20,32.64,16
8,21,32.49,16
8,22,33.28,16
8,23,33.51,16
8,24,32.81,16
8,25,33.54,16
8,26,33.93,16
8,27,34.2,16
8,28,34.47,16
8,29,34.69,16
8,30,33.97,16
8,31,32.97,16
9,1,32.6,16
9,2,32.85,16
9,3,32.63,16
9,4,32.39,16
9,5,33.1,16
9,6,32.76,16
9,7,31.79,16
9,8,31.56,16
9,9,31.55,16
9,10,32.16,16
9,11,33.03,16
9,12,33.39,16
9,13,33.62,16
9,14,33.43,16
9,15,33.0,16
9,16,33.1,16
9,17,33.29,16
9,18,33.1,16
9,19,33.47,16
9,20,32.37,16
9,21,32.1,16
9,22,31.96,16
9,23,32.49,16
9,24,32.99,16
9,25,32.63,16
9,26,32.28,16
9,27,31.38,16
9,28,31.85,16
9,29,32.66,16
9,30,32.45,16
10,1,32.39,16
10,2,32.29,16
10,3,32.45,16
10,4,32.08,16
10,5,31.54,16
10,6,31.55,16
10,7,31.58,16
10,8,30.63,16
10,9,30.55,16
10,10,30.52,16
10,11,29.91,16
10,12,29.69,16
10,13,29.94,16
10,14,29.88,16
10,15,29.98,16
10,16,29.87,16
10,17,29.56,16
10,18,29.2,16
10,19,29.16,16
10,20,29.2,16
10,21,29.37,16
10,22,29.74,16
10,23,29.4,16
10,24,29.0,16
10,25,28.99,16
10,26,28.21,16
10,27,27.64,16
10,28,27.87,16
10,29,27.94,16
10,30,27.02,16
10,31,26.74,16
11,1,26.78,16
11,2,26.93,16
11,3,26.46,16
11,4,26.03,16
11,5,26.37,16
11,6,26.77,16
11,7,26.51,16
11,8,25.82,16
11,9,25.18,16
11,10,24.62,16
11,11,24.15,16
11,12,24.49,16
11,13,24.51,16
11,14,24.64,16
11,15,24.44,16
11,16,23.63,16
11,17,23.24,16
11,18,23.52,16
11,19,23.4,16
11,20,22.79,16
11,21,22.74,16
11,22,22.82,16
11,23,22.37,16
11,24,21.84,16
11,25,21.38,16
11,26,22.23,16
11,27,21.93,16
11,28,21.22,16
11,29,21.03,16
11,30,21.27,16
12,1,21.86,16
12,2,21.51,16
12,3,21.67,16
12,4,21.3,16
12,5,21.35,16
12,6,21.52,16
12,7,21.45,16
12,8,21.4,16
12,9,21.51,16
12,10,21.39,16
12,11,21.28,16
12,12,20.14,16
12,13,20.11,16
12,14,20.12,16
12,15,19.86,16
12,16,19.3,16
12,17,19.45,16
12,18,19.25,16
12,19,19.82,16
12,20,20.42,16
12,21,20.58,16
12,22,20.03,16
12,23,20.13,16
12,24,19.96,16
12,25,19.88,16
12,26,19.16,16
12,27,18.77,16
12,28,18.45,16
12,29,18.21,16
12,30,18.77,16
12,31,18.33,16
