month,day,avg_accumulated_precipitation,years_sampled
1,1,0.42,16
1,2,0.48,16
1,3,0.48,16
1,4,0.57,16
1,5,0.67,16
1,6,1.35,16
1,7,1.36,16
1,8,1.44,16
1,9,1.47,16
1,10,1.62,16
1,11,1.62,16
1,12,1.62,16
1,13,1.62,16
1,14,2.25,16
1,15,2.25,16
1,16,2.34,16
1,17,2.72,16
1,18,2.73,16
1,19,2.74,16
1,20,3.81,16
1,21,5.04,16
1,22,6.62,16
1,23,9.56,16
1,24,9.62,16
1,25,9.72,16
1,26,10.38,16
1,27,10.74,16
1,28,10.74,16
1,29,10.82,16
1,30,12.77,16
1,31,13.12,16
2,1,13.23,16
2,2,13.74,16
2,3,14.92,16
2,4,14.92,16
2,5,14.96,16
2,6,15.05,16
2,7,15.13,16
2,8,15.36,16
2,9,15.36,16
2,10,15.89,16
2,11,15.96,16
2,12,15.96,16
2,13,16.44,16
2,14,16.54,16
2,15,17.62,16
2,16,18.25,16
2,17,18.25,16
2,18,19.56,16
2,19,21.06,16
2,20,21.28,16
2,21,21.67,16
2,22,22.78,16
2,23,22.78,16
2,24,22.78,16
2,25,22.78,16
2,26,22.82,16
2,27,22.91,16
2,28,22.96,16
2,29,22.96,4
3,1,22.97,16
3,2,23.28,16
3,3,23.65,16
3,4,23.65,16
3,5,23.65,16
3,6,23.7,16
3,7,24.01,16
3,8,24.49,16
3,9,24.49,16
3,10,24.68,16
3,11,25.22,16
3,12,28.31,16
3,13,28.38,16
3,14,28.38,16
3,15,28.38,16
3,16,28.39,16
3,17,28.39,16
3,18,30.23,16
3,19,30.26,16
3,20,30.31,16
3,21,30.31,16
3,22,30.31,16
3,23,30.31,16
3,24,30.43,16
3,25,31.01,16
3,26,31.01,16
3,27,31.01,16
3,28,31.01,16
3,29,31.01,16
3,30,31.01,16
3,31,31.08,16
4,1,31.28,16
4,2,31.29,16
4,3,31.29,16
4,4,31.31,16
4,5,31.31,16
4,6,31.31,16
4,7,31.31,16
4,8,31.31,16
4,9,31.31,16
4,10,31.31,16
4,11,31.46,16
4,12,31.79,16
4,13,31.79,16
4,14,31.79,16
4,15,31.79,16
4,16,31.79,16
4,17,31.8,16
4,18,31.8,16
4,19,31.82,16
4,20,31.82,16
4,21,31.82,16
4,22,31.84,16
4,23,31.86,16
4,24,31.86,16
4,25,31.86,16
4,26,31.86,16
4,27,31.86,16
4,28,31.86,16
4,29,31.86,16
4,30,31.86,16
5,1,31.86,16
5,2,31.86,16
5,3,31.86,16
5,4,31.86,16
5,5,31.88,16
5,6,31.88,16
5,7,31.88,16
5,8,31.89,16
5,9,31.89,16
5,10,31.89,16
5,11,31.89,16
5,12,31.91,16
5,13,31.91,16
5,14,31.91,16
5,15,31.91,16
5,16,31.91,16
5,17,31.91,16
5,18,31.91,16
5,19,31.91,16
5,20,31.91,16
5,21,31.91,16
5,22,31.91,16
5,23,31.91,16
5,24,31.91,16
5,25,31.91,16
5,26,31.91,16
5,27,31.91,16
5,28,31.91,16
5,29,31.91,16
5,30,31.91,16
5,31,31.96,16
6,1,32.11,16
6,2,32.21,16
6,3,32.21,16
6,4,32.21,16
6,5,32.21,16
6,6,32.21,16
6,7,32.21,16
6,8,32.36,16
6,9,32.44,16
6,10,32.47,16
6,11,32.47,16
6,12,32.47,16
6,13,32.47,16
6,14,32.48,16
6,15,33.56,16
6,16,33.89,16
6,17,33.93,16
6,18,33.93,16
6,19,33.93,16
6,20,33.94,16
6,21,34.19,16
6,22,34.23,16
6,23,34.97,16
6,24,35.09,16
6,25,35.8,16
6,26,36.08,16
6,27,36.23,16
6,28,36.5,16
6,29,36.78,16
6,30,37.29,16
7,1,37.68,16
7,2,38.69,16
7,3,41.02,16
7,4,44.18,16
7,5,46.67,16
7,6,47.32,16
7,7,47.89,16
7,8,48.33,16
7,9,49.06,16
7,10,50.16,16
7,11,50.68,16
7,12,51.25,16
7,13,53.63,16
7,14,54.13,16
7,15,56.08,16
7,16,57.54,16
7,17,62.01,16
7,18,63.26,16
7,19,64.88,16
7,20,66.27,16
7,21,68.49,16
7,22,69.56,16
7,23,71.1,16
7,24,71.68,16
7,25,71.88,16
7,26,72.26,16
7,27,74.0,16
7,28,76.58,16
7,29,79.42,16
7,30,81.6,16
7,31,84.12,16
8,1,84.56,16
8,2,84.82,16
8,3,85.19,16
8,4,85.36,16
8,5,85.76,16
8,6,86.54,16
8,7,87.73,16
8,8,89.24,16
8,9,92.87,16
8,10,93.92,16
8,11,96.2,16
8,12,99.21,16
8,13,102.07,16
8,14,103.16,16
8,15,104.74,16
8,16,106.25,16
8,17,107.86,16
8,18,111.78,16
8,19,114.12,16
8,20,117.06,16
8,21,118.97,16
8,22,120.34,16
8,23,122.19,16
8,24,124.55,16
8,25,125.16,16
8,26,125.67,16
8,27,126.92,16
8,28,128.7,16
8,29,129.76,16
8,30,132.29,16
8,31,135.44,16
9,1,139.04,16
9,2,140.79,16
9,3,145.26,16
9,4,147.18,16
9,5,153.48,16
9,6,162.8,16
9,7,169.26,16
9,8,172.44,16
9,9,173.79,16
9,10,175.04,16
9,11,175.74,16
9,12,176.04,16
9,13,176.86,16
9,14,177.72,16
9,15,178.67,16
9,16,180.04,16
9,17,181.27,16
9,18,182.69,16
9,19,183.49,16
9,20,185.91,16
9,21,190.36,16
9,22,196.36,16
9,23,196.67,16
9,24,197.82,16
9,25,198.82,16
9,26,200.36,16
9,27,201.04,16
9,28,201.36,16
9,29,201.41,16
9,30,201.67,16
10,1,201.72,16
10,2,201.84,16
10,3,201.94,16
10,4,202.11,16
10,5,202.68,16
10,6,202.75,16
10,7,202.79,16
10,8,203.1,16
10,9,203.19,16
10,10,203.21,16
10,11,207.88,16
10,12,213.22,16
10,13,214.24,16
10,14,214.9,16
10,15,215.2,16
10,16,215.2,16
10,17,215.49,16
10,18,215.52,16
10,19,215.52,16
10,20,215.59,16
10,21,215.59,16
10,22,215.6,16
10,23,215.69,16
10,24,215.74,16
10,25,215.75,16
10,26,215.75,16
