month,day,avg_daytime_temperature,years_sampled
1,1,16.44,16
1,2,17.51,16
1,3,17.76,16
1,4,17.49,16
1,5,18.89,16
1,6,18.05,16
1,7,17.45,16
1,8,17.38,16
1,9,16.62,16
1,10,16.79,16
1,11,16.02,16
1,12,16.04,16
1,13,16.17,16
1,14,17.23,16
1,15,16.97,16
1,16,17.06,16
1,17,17.24,16
1,18,17.24,16
1,19,17.92,16
1,20,18.36,16
1,21,18.17,16
1,22,17.32,16
1,23,16.09,16
1,24,16.03,16
1,25,16.4,16
1,26,16.73,16
1,27,16.9,16
1,28,17.13,16
1,29,16.5,16
1,30,16.89,16
1,31,17.25,16
2,1,17.96,16
2,2,17.85,16
2,3,17.65,16
2,4,18.05,16
2,5,17.74,16
2,6,18.6,16
2,7,18.21,16
2,8,17.18,16
2,9,16.71,16
2,10,17.28,16
2,11,17.67,16
2,12,17.85,16
2,13,17.85,16
2,14,18.22,16
2,15,18.14,16
2,16,18.1,16
2,17,17.58,16
2,18,18.1,16
2,19,17.03,16
2,20,18.01,16
2,21,18.43,16
2,22,18.7,16
2,23,18.48,16
2,24,18.21,16
2,25,18.78,16
2,26,19.13,16
2,27,19.23,16
2,28,20.06,16
2,29,20.38,4
3,1,20.78,16
3,2,19.98,16
3,3,20.05,16
3,4,20.68,16
3,5,21.01,16
3,6,20.56,16
3,7,19.15,16
3,8,18.93,16
3,9,18.51,16
3,10,18.17,16
3,11,18.61,16
3,12,20.22,16
3,13,21.24,16
3,14,20.52,16
3,15,20.68,16
3,16,20.66,16
3,17,21.47,16
3,18,22.07,16
3,19,22.43,16
3,20,22.69,16
3,21,21.9,16
3,22,21.71,16
3,23,21.56,16
3,24,21.26,16
3,25,20.91,16
3,26,21.25,16
3,27,21.32,16
3,28,21.9,16
3,29,21.96,16
3,30,22.27,16
3,31,22.32,16
4,1,21.92,16
4,2,22.21,16
4,3,22.95,16
4,4,22.87,16
4,5,23.15,16
4,6,22.69,16
4,7,22.32,16
4,8,22.53,16
4,9,22.69,16
4,10,23.19,16
4,11,23.74,16
4,12,23.35,16
4,13,23.83,16
4,14,24.2,16
4,15,23.68,16
4,16,23.85,16
4,17,24.28,16
4,18,24.48,16
4,19,24.58,16
4,20,24.61,16
4,21,24.64,16
4,22,24.42,16
4,23,24.09,16
4,24,24.5,16
4,25,24.45,16
4,26,24.12,16
4,27,24.36,16
4,28,24.78,16
4,29,24.94,16
4,30,25.15,16
5,1,24.7,16
5,2,25.04,16
5,3,25.13,16
5,4,25.35,16
5,5,25.72,16
5,6,25.89,16
5,7,25.67,16
5,8,26.01,16
5,9,26.33,16
5,10,26.43,16
5,11,25.95,16
5,12,26.13,16
5,13,26.15,16
5,14,26.68,16
5,15,26.84,16
5,16,26.21,16
5,17,26.36,16
5,18,26.6,16
5,19,27.01,16
5,20,26.86,16
5,21,26.84,16
5,22,26.96,16
5,23,26.52,16
5,24,26.57,16
5,25,26.65,16
5,26,26.98,16
5,27,27.3,16
5,28,27.55,16
5,29,27.49,16
5,30,27.5,16
5,31,27.73,16
6,1,27.9,16
6,2,28.13,16
6,3,27.97,16
6,4,27.72,16
6,5,27.68,16
6,6,27.69,16
6,7,27.74,16
6,8,27.88,16
6,9,27.93,16
6,10,28.13,16
6,11,27.73,16
6,12,27.58,16
6,13,27.64,16
6,14,27.88,16
6,15,27.79,16
6,16,27.79,16
6,17,27.89,16
6,18,28.39,16
6,19,28.82,16
6,20,28.96,16
6,21,28.68,16
6,22,28.33,16
6,23,28.22,16
6,24,28.21,16
6,25,28.38,16
6,26,28.31,16
6,27,28.76,16
6,28,28.59,16
6,29,28.55,16
6,30,28.53,16
7,1,28.49,16
7,2,28.65,16
7,3,28.76,16
7,4,28.98,16
7,5,28.93,16
7,6,28.79,16
7,7,28.85,16
7,8,29.14,16
7,9,29.24,16
7,10,28.76,16
7,11,28.94,16
7,12,28.87,16
7,13,29.15,16
7,14,29.06,16
7,15,29.02,16
7,16,28.74,16
7,17,28.74,16
7,18,28.48,16
7,19,28.32,16
7,20,28.32,16
7,21,28.35,16
7,22,28.78,16
