calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,30.18,2.25,43.8,247.93,194.28,301.35,15.9,12.2,19.0,72.63,54.0,87.0,2.3,25.7
2,2,Feb,42.53,15.0,88.15,203.23,148.57,247.03,17.12,12.4,20.7,78.9,64.0,91.0,5.1,27.6
3,3,Mar,82.3,24.75,155.6,227.25,195.2,255.94,19.88,16.6,22.9,82.65,66.0,94.0,7.4,30.1
4,4,Apr,156.55,63.4,271.05,242.39,203.8,280.7,22.8,19.8,25.21,85.9,75.0,94.0,10.3,31.2
5,5,May,269.9,145.3,418.05,257.9,203.56,320.9,25.76,23.6,28.0,88.52,82.0,94.0,15.6,32.7
6,6,Jun,339.39,224.15,464.8,266.14,217.94,302.79,27.6,26.2,28.8,88.69,84.0,93.0,20.7,32.6
7,7,Jul,284.09,175.15,369.7,318.49,290.95,348.4,28.21,26.8,29.4,86.97,82.0,92.0,24.4,34.3
8,8,Aug,334.5,157.15,456.3,287.49,249.5,337.5,27.96,26.6,29.1,87.61,82.0,93.0,23.9,34.6
9,9,Sep,260.77,113.9,463.75,282.32,238.94,320.41,27.33,25.9,28.6,84.7,75.9,93.0,21.1,33.8
10,10,Oct,133.83,25.75,257.85,281.21,244.59,311.5,24.82,22.6,27.35,76.06,64.0,88.0,14.6,33.7
11,11,Nov,74.52,7.5,224.65,241.81,202.89,282.64,21.7,18.59,24.4,74.84,60.0,89.0,10.5,30.6
12,12,Dec,28.25,2.8,73.75,242.6,196.05,267.63,16.93,12.85,20.85,67.98,49.0,84.0,4.6,29.3
