month,day,avg_accumulated_precipitation,years_sampled
1,1,0.31,16
1,2,1.07,16
1,3,1.54,16
1,4,1.86,16
1,5,4.59,16
1,6,5.39,16
1,7,7.12,16
1,8,7.57,16
1,9,7.92,16
1,10,8.59,16
1,11,10.36,16
1,12,11.42,16
1,13,13.59,16
1,14,14.21,16
1,15,17.01,16
1,16,17.61,16
1,17,18.67,16
1,18,18.73,16
1,19,18.82,16
1,20,19.4,16
1,21,19.79,16
1,22,21.08,16
1,23,21.76,16
1,24,22.16,16
1,25,22.75,16
1,26,23.91,16
1,27,24.24,16
1,28,27.07,16
1,29,29.24,16
1,30,29.64,16
1,31,30.18,16
2,1,30.6,16
2,2,30.97,16
2,3,31.55,16
2,4,32.43,16
2,5,32.94,16
2,6,33.42,16
2,7,38.03,16
2,8,39.21,16
2,9,40.01,16
2,10,42.75,16
2,11,43.29,16
2,12,44.19,16
2,13,46.17,16
2,14,47.42,16
2,15,48.86,16
2,16,49.58,16
2,17,50.3,16
2,18,51.16,16
2,19,54.91,16
2,20,58.12,16
2,21,62.41,16
2,22,67.12,16
2,23,69.84,16
2,24,70.51,16
2,25,71.21,16
2,26,71.86,16
2,27,72.08,16
2,28,72.54,16
2,29,72.71,4
3,1,72.99,16
3,2,73.39,16
3,3,75.76,16
3,4,78.84,16
3,5,82.07,16
3,6,85.38,16
3,7,90.05,16
3,8,91.97,16
3,9,95.36,16
3,10,97.63,16
3,11,100.08,16
3,12,101.54,16
3,13,102.37,16
3,14,103.53,16
3,15,104.69,16
3,16,105.03,16
3,17,105.44,16
3,18,106.63,16
3,19,108.81,16
3,20,110.78,16
3,21,112.98,16
3,22,114.72,16
3,23,121.08,16
3,24,124.14,16
3,25,127.21,16
3,26,130.14,16
3,27,131.81,16
3,28,137.59,16
3,29,140.79,16
3,30,145.87,16
3,31,155.01,16
4,1,158.51,16
4,2,161.91,16
4,3,165.49,16
4,4,167.09,16
4,5,170.44,16
4,6,175.87,16
4,7,178.09,16
4,8,180.19,16
4,9,183.41,16
4,10,185.48,16
4,11,190.71,16
4,12,194.86,16
4,13,198.36,16
4,14,200.06,16
4,15,202.9,16
4,16,206.22,16
4,17,210.34,16
4,18,217.51,16
4,19,223.44,16
4,20,233.35,16
4,21,238.95,16
4,22,245.4,16
4,23,252.23,16
4,24,258.49,16
4,25,268.18,16
4,26,279.18,16
4,27,289.49,16
4,28,297.48,16
4,29,304.11,16
4,30,311.56,16
5,1,320.99,16
5,2,325.46,16
5,3,329.68,16
5,4,336.12,16
5,5,340.13,16
5,6,344.34,16
5,7,354.0,16
5,8,360.68,16
5,9,366.92,16
5,10,372.59,16
5,11,385.36,16
5,12,393.7,16
5,13,404.67,16
5,14,410.54,16
5,15,416.49,16
5,16,427.15,16
5,17,432.99,16
5,18,439.25,16
5,19,447.07,16
5,20,460.34,16
5,21,484.98,16
5,22,496.46,16
5,23,508.39,16
5,24,517.69,16
5,25,528.73,16
5,26,535.54,16
5,27,545.59,16
5,28,552.87,16
5,29,565.16,16
5,30,571.66,16
5,31,581.46,16
6,1,589.23,16
6,2,596.32,16
6,3,603.34,16
6,4,613.16,16
6,5,623.09,16
6,6,633.99,16
6,7,650.02,16
6,8,666.84,16
6,9,677.52,16
6,10,687.09,16
6,11,703.28,16
6,12,720.41,16
