calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,43.11,11.6,101.5,316.04,303.0,326.41,22.59,21.4,23.6,73.85,64.0,83.0,14.3,28.4
2,2,Feb,42.42,9.25,96.05,291.17,263.55,308.39,22.31,20.6,23.7,73.48,64.0,83.0,14.9,28.0
3,3,Mar,53.1,13.75,83.8,332.56,311.53,351.33,22.5,21.2,23.7,73.02,64.0,83.0,16.4,29.1
4,4,Apr,40.31,17.65,81.45,350.78,322.78,367.68,23.34,22.2,24.3,73.29,66.0,81.0,16.8,28.8
5,5,May,41.59,14.25,62.3,386.23,363.76,400.78,24.13,23.2,24.95,72.13,66.0,78.0,18.5,29.5
6,6,Jun,23.48,13.05,32.1,383.25,376.9,389.86,24.98,24.3,25.7,71.29,66.0,76.1,20.4,30.6
7,7,Jul,22.79,15.5,30.15,395.5,390.42,400.17,25.52,24.7,26.3,72.11,67.0,77.0,21.4,31.1
8,8,Aug,29.46,6.55,61.15,383.92,373.62,392.55,25.92,25.0,26.8,71.52,66.0,77.0,21.3,31.5
9,9,Sep,22.89,10.1,46.55,348.57,342.16,353.83,25.91,25.0,26.81,72.11,66.0,78.0,20.8,31.3
10,10,Oct,36.18,11.15,86.8,334.51,322.86,342.12,25.43,24.6,26.3,73.59,68.0,79.0,19.2,30.9
11,11,Nov,28.07,8.25,51.0,307.66,295.44,319.46,24.37,23.3,25.4,73.2,65.0,80.0,17.4,30.3
12,12,Dec,62.99,16.35,128.25,306.3,284.26,326.11,23.22,21.8,24.35,75.2,67.0,83.0,16.3,29.0
