month,day,avg_accumulated_precipitation,years_sampled
1,1,1.52,16
1,2,4.2,16
1,3,5.45,16
1,4,6.07,16
1,5,6.88,16
1,6,7.11,16
1,7,7.96,16
1,8,11.3,16
1,9,12.69,16
1,10,13.41,16
1,11,13.91,16
1,12,16.21,16
1,13,17.52,16
1,14,19.37,16
1,15,20.09,16
1,16,21.04,16
1,17,22.31,16
1,18,22.76,16
1,19,23.02,16
1,20,23.49,16
1,21,23.75,16
1,22,24.24,16
1,23,24.63,16
1,24,25.66,16
1,25,26.7,16
1,26,28.14,16
1,27,30.69,16
1,28,33.21,16
1,29,35.18,16
1,30,41.77,16
1,31,43.11,16
2,1,44.79,16
2,2,46.23,16
2,3,49.58,16
2,4,51.51,16
2,5,52.52,16
2,6,56.56,16
2,7,57.33,16
2,8,57.37,16
2,9,57.69,16
2,10,58.66,16
2,11,62.37,16
2,12,62.78,16
2,13,63.34,16
2,14,66.93,16
2,15,68.99,16
2,16,70.73,16
2,17,74.29,16
2,18,76.52,16
2,19,78.65,16
2,20,80.19,16
2,21,80.94,16
2,22,81.61,16
2,23,82.07,16
2,24,82.59,16
2,25,83.35,16
2,26,83.96,16
2,27,84.26,16
2,28,85.29,16
2,29,85.54,4
3,1,90.56,16
3,2,92.09,16
3,3,93.54,16
3,4,97.19,16
3,5,99.44,16
3,6,102.63,16
3,7,103.56,16
3,8,105.93,16
3,9,108.88,16
3,10,111.02,16
3,11,111.86,16
3,12,113.68,16
3,13,115.24,16
3,14,116.31,16
3,15,117.46,16
3,16,118.84,16
3,17,121.06,16
3,18,122.38,16
3,19,122.92,16
3,20,123.48,16
3,21,124.27,16
3,22,127.15,16
3,23,127.84,16
3,24,131.01,16
3,25,132.5,16
3,26,133.07,16
3,27,134.05,16
3,28,135.63,16
3,29,137.01,16
3,30,137.64,16
3,31,138.64,16
4,1,139.66,16
4,2,142.0,16
4,3,142.39,16
4,4,143.38,16
4,5,144.2,16
4,6,145.27,16
4,7,146.24,16
4,8,147.06,16
4,9,147.89,16
4,10,148.57,16
4,11,149.99,16
4,12,151.19,16
4,13,152.57,16
4,14,155.48,16
4,15,156.24,16
4,16,157.11,16
4,17,157.67,16
4,18,158.82,16
4,19,161.96,16
4,20,163.51,16
4,21,164.81,16
4,22,165.94,16
4,23,167.17,16
4,24,168.49,16
4,25,169.65,16
4,26,170.73,16
4,27,172.44,16
4,28,173.84,16
4,29,175.18,16
4,30,178.95,16
5,1,179.95,16
5,2,182.06,16
5,3,183.64,16
5,4,185.44,16
5,5,188.21,16
5,6,188.87,16
5,7,189.55,16
5,8,191.73,16
5,9,192.49,16
5,10,193.53,16
5,11,194.36,16
5,12,194.89,16
5,13,196.19,16
5,14,197.77,16
5,15,198.79,16
5,16,202.52,16
5,17,205.2,16
5,18,207.96,16
5,19,209.33,16
5,20,210.46,16
5,21,211.16,16
5,22,211.89,16
5,23,213.04,16
5,24,214.23,16
5,25,216.3,16
5,26,216.99,16
5,27,217.65,16
5,28,218.76,16
5,29,219.41,16
5,30,219.85,16
5,31,220.54,16
6,1,221.19,16
6,2,221.67,16
6,3,222.71,16
6,4,223.74,16
6,5,224.39,16
6,6,225.29,16
6,7,225.77,16
6,8,225.92,16
6,9,226.41,16
6,10,226.89,16
6,11,227.1,16
6,12,227.51,16
6,13,228.06,16
6,14,228.69,16
6,15,229.31,16
6,16,229.79,16
6,17,230.48,16
6,18,230.89,16
6,19,231.54,16
6,20,232.65,16
6,21,233.5,16
6,22,233.94,16
6,23,234.57,16
6,24,236.07,16
6,25,238.72,16
6,26,242.1,16
6,27,242.55,16
6,28,243.19,16
6,29,243.64,16
6,30,244.02,16
7,1,244.36,16
7,2,244.89,16
7,3,245.62,16
7,4,246.57,16
7,5,247.21,16
7,6,247.72,16
7,7,248.24,16
7,8,248.61,16
7,9,249.25,16
7,10,249.83,16
7,11,250.63,16
7,12,251.51,16
7,13,252.2,16
7,14,253.13,16
7,15,253.64,16
7,16,254.22,16
7,17,254.77,16
7,18,255.46,16
7,19,256.51,16
7,20,259.66,16
7,21,260.23,16
7,22,261.07,16
7,23,261.78,16
7,24,262.55,16
7,25,263.22,16
7,26,263.7,16
7,27,264.37,16
7,28,264.87,16
7,29,265.49,16
7,30,266.4,16
7,31,266.81,16
8,1,267.53,16
8,2,267.86,16
8,3,268.4,16
8,4,268.86,16
8,5,269.42,16
8,6,270.08,16
8,7,270.87,16
8,8,272.06,16
8,9,272.69,16
8,10,274.75,16
8,11,275.21,16
8,12,275.44,16
8,13,275.85,16
8,14,276.2,16
8,15,276.43,16
8,16,276.83,16
8,17,277.69,16
8,18,278.6,16
8,19,279.23,16
8,20,279.63,16
8,21,280.06,16
8,22,280.68,16
8,23,284.98,16
8,24,288.58,16
8,25,290.78,16
8,26,292.55,16
8,27,293.43,16
8,28,294.12,16
8,29,294.56,16
8,30,295.61,16
8,31,296.28,16
9,1,296.7,16
9,2,297.39,16
9,3,299.14,16
9,4,299.78,16
9,5,300.19,16
9,6,300.41,16
9,7,300.8,16
9,8,301.29,16
9,9,301.88,16
9,10,302.81,16
9,11,303.47,16
9,12,305.13,16
9,13,306.19,16
9,14,306.79,16
9,15,308.27,16
9,16,308.76,16
9,17,309.58,16
9,18,310.23,16
9,19,310.76,16
9,20,311.63,16
9,21,312.28,16
9,22,313.0,16
9,23,313.79,16
9,24,314.16,16
9,25,315.31,16
9,26,316.26,16
9,27,317.12,16
9,28,317.9,16
9,29,318.56,16
9,30,319.17,16
10,1,319.71,16
10,2,320.98,16
10,3,321.67,16
10,4,322.29,16
10,5,323.03,16
10,6,324.22,16
10,7,325.13,16
10,8,325.64,16
10,9,325.8,16
10,10,326.74,16
10,11,327.5,16
10,12,328.19,16
10,13,329.29,16
10,14,330.53,16
10,15,330.89,16
10,16,331.51,16
10,17,332.28,16
10,18,333.62,16
10,19,338.57,16
10,20,339.45,16
10,21,340.31,16
10,22,341.04,16
10,23,343.38,16
10,24,345.98,16
10,25,346.3,16
10,26,347.29,16
10,27,347.88,16
10,28,349.33,16
10,29,350.16,16
10,30,353.39,16
10,31,355.35,16
11,1,355.84,16
11,2,356.29,16
11,3,356.91,16
11,4,357.58,16
11,5,358.65,16
11,6,359.23,16
11,7,360.16,16
11,8,361.06,16
11,9,361.66,16
11,10,362.49,16
11,11,362.76,16
11,12,363.24,16
11,13,363.54,16
11,14,365.5,16
11,15,365.9,16
11,16,366.29,16
11,17,366.72,16
11,18,367.66,16
11,19,369.79,16
11,20,373.46,16
11,21,374.7,16
11,22,376.16,16
11,23,377.83,16
11,24,378.14,16
11,25,378.43,16
11,26,378.77,16
11,27,379.24,16
11,28,380.28,16
11,29,382.59,16
11,30,383.43,16
12,1,387.29,16
12,2,387.81,16
12,3,388.12,16
12,4,388.78,16
12,5,392.15,16
12,6,397.42,16
12,7,399.13,16
12,8,400.68,16
12,9,402.38,16
12,10,405.76,16
12,11,406.41,16
12,12,407.0,16
12,13,407.72,16
12,14,409.94,16
12,15,410.88,16
12,16,412.24,16
12,17,413.61,16
12,18,416.33,16
12,19,426.52,16
12,20,428.77,16
12,21,430.05,16
12,22,430.86,16
12,23,431.24,16
12,24,431.68,16
12,25,436.61,16
12,26,439.5,16
12,27,441.89,16
12,28,443.21,16
12,29,443.76,16
12,30,445.03,16
12,31,446.41,16
