month,day,avg_daytime_temperature,years_sampled
1,1,7.94,16
1,2,8.23,16
1,3,8.3,16
1,4,8.08,16
1,5,8.53,16
1,6,9.26,16
1,7,8.25,16
1,8,7.45,16
1,9,7.07,16
1,10,8.26,16
1,11,9.19,16
1,12,8.09,16
1,13,6.81,16
1,14,7.07,16
1,15,7.12,16
1,16,7.45,16
1,17,8.03,16
1,18,7.59,16
1,19,7.49,16
1,20,7.8,16
1,21,8.34,16
1,22,8.05,16
1,23,7.76,16
1,24,7.3,16
1,25,7.07,16
1,26,7.12,16
1,27,5.13,16
1,28,6.38,16
1,29,7.43,16
1,30,6.96,16
1,31,7.36,16
2,1,8.68,16
2,2,8.47,16
2,3,8.84,16
2,4,9.38,16
2,5,8.46,16
2,6,8.01,16
2,7,8.52,16
2,8,8.24,16
2,9,7.53,16
2,10,8.01,16
2,11,8.55,16
2,12,8.28,16
2,13,7.97,16
2,14,7.79,16
2,15,7.29,16
2,16,7.02,16
2,17,6.89,16
2,18,7.85,16
2,19,7.85,16
2,20,8.01,16
2,21,8.19,16
2,22,8.4,16
2,23,8.39,16
2,24,8.73,16
2,25,9.37,16
2,26,9.56,16
2,27,9.23,16
2,28,7.98,16
2,29,8.48,4
3,1,7.82,16
3,2,9.0,16
3,3,9.12,16
3,4,9.15,16
3,5,9.84,16
3,6,9.86,16
3,7,9.93,16
3,8,9.7,16
3,9,9.6,16
3,10,9.24,16
3,11,9.8,16
3,12,9.88,16
3,13,9.77,16
3,14,10.0,16
3,15,10.2,16
3,16,9.54,16
3,17,9.41,16
3,18,9.08,16
3,19,9.66,16
3,20,9.54,16
3,21,10.59,16
3,22,10.22,16
3,23,10.46,16
3,24,10.43,16
3,25,10.42,16
3,26,11.25,16
3,27,11.5,16
3,28,10.98,16
3,29,10.77,16
3,30,11.89,16
3,31,12.48,16
4,1,13.45,16
4,2,12.19,16
4,3,12.21,16
4,4,12.24,16
4,5,12.27,16
4,6,13.45,16
4,7,12.35,16
4,8,12.01,16
4,9,11.84,16
4,10,12.12,16
4,11,11.45,16
4,12,12.31,16
4,13,13.48,16
4,14,14.24,16
4,15,14.08,16
4,16,14.88,16
4,17,14.53,16
4,18,13.46,16
4,19,13.23,16
4,20,13.5,16
4,21,13.07,16
4,22,13.84,16
4,23,14.36,16
4,24,15.36,16
4,25,15.67,16
4,26,15.97,16
4,27,15.43,16
4,28,16.04,16
4,29,16.13,16
4,30,15.88,16
5,1,15.97,16
5,2,16.8,16
5,3,16.94,16
5,4,16.26,16
5,5,16.67,16
5,6,16.49,16
5,7,16.83,16
5,8,16.83,16
5,9,16.19,16
5,10,15.6,16
5,11,16.3,16
5,12,17.75,16
5,13,17.87,16
5,14,18.45,16
5,15,19.37,16
5,16,19.79,16
5,17,19.27,16
5,18,18.45,16
5,19,18.76,16
5,20,18.97,16
5,21,18.94,16
5,22,19.34,16
5,23,19.46,16
5,24,19.67,16
5,25,19.65,16
5,26,19.9,16
5,27,19.55,16
5,28,19.87,16
5,29,20.81,16
5,30,20.84,16
5,31,21.26,16
6,1,21.13,16
6,2,21.02,16
6,3,21.61,16
6,4,21.99,16
6,5,22.45,16
6,6,22.3,16
6,7,21.92,16
6,8,22.13,16
6,9,22.59,16
6,10,22.96,16
6,11,23.18,16
6,12,23.19,16
6,13,23.52,16
6,14,23.13,16
6,15,23.1,16
6,16,24.02,16
6,17,24.12,16
6,18,23.81,16
6,19,23.51,16
6,20,23.93,16
6,21,24.23,16
6,22,24.22,16
6,23,24.49,16
6,24,24.86,16
6,25,25.16,16
6,26,25.06,16
6,27,24.93,16
6,28,24.75,16
6,29,24.23,16
6,30,24.91,16
7,1,25.66,16
7,2,25.69,16
7,3,25.58,16
7,4,24.93,16
7,5,25.39,16
7,6,25.71,16
7,7,26.26,16
7,8,25.66,16
7,9,26.3,16
7,10,25.61,16
7,11,25.61,16
7,12,26.08,16
7,13,26.23,16
7,14,26.07,16
7,15,26.03,16
7,16,26.36,16
7,17,26.62,16
7,18,26.11,16
7,19,26.22,16
7,20,26.53,16
7,21,26.68,16
7,22,27.09,16
7,23,27.76,16
7,24,26.7,16
7,25,26.87,16
7,26,27.57,16
7,27,27.15,16
7,28,27.04,16
7,29,27.57,16
7,30,27.46,16
7,31,27.42,16
8,1,27.27,16
8,2,27.36,16
8,3,27.68,16
8,4,27.81,16
8,5,27.87,16
8,6,28.16,16
8,7,27.65,16
8,8,27.31,16
8,9,27.38,16
8,10,27.47,16
8,11,27.01,16
8,12,26.93,16
8,13,26.59,16
8,14,26.98,16
8,15,26.62,16
8,16,26.76,16
8,17,26.82,16
8,18,26.61,16
8,19,26.65,16
8,20,26.47,16
8,21,26.47,16
8,22,26.85,16
8,23,26.65,16
8,24,26.7,16
8,25,26.35,16
8,26,26.22,16
8,27,26.37,16
8,28,26.31,16
8,29,26.33,16
8,30,25.53,16
8,31,25.82,16
9,1,25.23,16
9,2,25.4,16
9,3,25.38,16
9,4,25.02,16
9,5,24.51,16
9,6,24.16,16
9,7,24.33,16
9,8,23.93,16
9,9,24.33,16
9,10,24.33,16
9,11,24.31,16
9,12,23.93,16
9,13,24.08,16
9,14,23.93,16
9,15,24.03,16
9,16,24.21,16
9,17,23.98,16
9,18,23.39,16
9,19,23.15,16
9,20,22.64,16
9,21,21.19,16
9,22,20.84,16
9,23,21.01,16
9,24,21.4,16
9,25,21.82,16
9,26,22.13,16
9,27,21.73,16
9,28,21.5,16
9,29,21.15,16
9,30,19.98,16
10,1,20.2,16
10,2,19.87,16
10,3,19.95,16
10,4,19.76,16
10,5,19.5,16
10,6,19.64,16
10,7,19.76,16
10,8,18.44,16
10,9,17.88,16
10,10,18.59,16
10,11,18.97,16
10,12,19.21,16
10,13,18.33,16
10,14,18.41,16
10,15,18.16,16
10,16,18.48,16
10,17,17.84,16
10,18,17.02,16
10,19,16.95,16
10,20,17.03,16
10,21,17.39,16
10,22,17.82,16
10,23,18.13,16
10,24,17.49,16
10,25,16.55,16
10,26,16.6,16
10,27,16.65,16
10,28,16.5,16
10,29,15.97,16
10,30,15.69,16
10,31,15.05,16
11,1,14.91,16
11,2,14.93,16
11,3,15.43,16
11,4,16.14,16
11,5,16.26,16
11,6,16.7,16
11,7,15.9,16
11,8,15.97,16
11,9,16.09,16
11,10,15.2,16
11,11,15.64,16
11,12,15.48,16
11,13,14.92,16
11,14,13.9,16
11,15,13.81,16
11,16,13.02,16
11,17,13.51,16
11,18,14.03,16
11,19,14.11,16
11,20,13.99,16
11,21,14.36,16
11,22,13.56,16
11,23,13.43,16
11,24,12.96,16
11,25,12.35,16
11,26,12.19,16
11,27,12.81,16
11,28,12.81,16
11,29,12.98,16
11,30,12.06,16
12,1,11.54,16
12,2,12.18,16
12,3,12.44,16
12,4,10.98,16
12,5,10.73,16
12,6,10.91,16
12,7,10.39,16
12,8,10.18,16
12,9,11.45,16
12,10,10.58,16
12,11,10.59,16
12,12,10.04,16
12,13,9.3,16
12,14,9.87,16
12,15,9.76,16
12,16,9.88,16
12,17,9.91,16
12,18,9.45,16
12,19,8.93,16
12,20,8.72,16
12,21,9.03,16
12,22,8.66,16
12,23,9.17,16
12,24,9.5,16
12,25,10.17,16
12,26,10.12,16
12,27,9.88,16
12,28,9.11,16
12,29,8.78,16
12,30,8.13,16
12,31,7.19,16
