calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,101.31,62.85,145.4,174.3,141.9,193.41,6.76,1.9,11.55,78.24,66.0,89.0,-5.7,17.8
2,2,Feb,71.46,28.5,124.75,193.3,166.01,215.69,7.15,2.61,11.6,78.13,68.0,88.0,-3.7,19.3
3,3,Mar,69.52,38.15,107.05,251.54,229.51,283.89,8.72,5.0,12.75,76.66,66.0,87.5,-6.9,25.3
4,4,Apr,51.86,22.45,78.7,304.36,273.17,338.49,12.23,8.6,15.9,75.76,66.0,86.0,2.1,26.8
5,5,May,48.36,24.7,71.85,371.24,337.49,398.91,17.14,13.7,20.9,75.61,64.0,85.0,5.0,30.8
6,6,Jun,40.54,10.85,78.9,391.95,369.82,415.75,22.13,19.3,25.0,72.89,61.0,83.0,12.1,35.1
7,7,Jul,20.66,0.95,42.4,423.13,411.01,432.29,25.04,22.9,27.1,68.12,57.0,78.0,16.0,38.1
8,8,Aug,16.12,1.8,37.0,393.84,380.16,402.16,25.33,23.5,26.95,68.9,59.0,78.0,16.0,36.8
9,9,Sep,43.27,12.55,88.65,327.56,308.12,342.2,21.87,18.59,24.6,68.94,58.0,79.0,9.9,34.6
10,10,Oct,79.53,24.0,128.2,256.23,227.44,276.21,16.69,13.5,19.9,75.32,64.0,86.0,5.8,30.9
11,11,Nov,69.16,23.2,109.6,215.47,181.29,242.15,13.24,9.1,17.21,76.47,65.0,87.1,2.4,27.3
12,12,Dec,95.43,43.9,160.35,171.89,145.71,201.67,9.01,5.0,13.0,78.41,66.0,88.5,-1.6,21.4
