calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,300.79,193.45,423.25,254.55,231.25,286.28,26.04,25.0,27.2,85.14,80.0,89.5,21.8,33.2
2,2,Feb,293.86,226.15,396.65,241.06,201.23,276.56,26.02,25.2,26.9,86.23,82.0,90.0,21.8,33.3
3,3,Mar,260.1,181.05,330.15,291.95,270.17,318.69,26.45,25.6,27.3,84.88,80.0,89.0,21.9,33.6
4,4,Apr,223.58,149.5,282.1,296.51,275.58,320.79,26.72,25.8,27.5,84.77,80.0,88.1,22.3,33.4
5,5,May,158.84,102.65,226.85,315.64,286.35,343.0,27.01,26.1,28.1,83.62,78.0,88.0,21.9,34.4
6,6,Jun,122.06,50.0,189.55,307.82,280.28,335.95,26.71,25.7,27.7,82.29,75.9,88.0,21.4,34.5
7,7,Jul,91.78,19.55,202.7,335.12,315.43,357.5,26.71,25.6,27.8,78.15,69.0,86.0,19.8,34.9
8,8,Aug,59.36,11.05,129.95,353.68,344.4,363.27,27.08,26.0,28.2,74.55,65.0,84.0,20.8,36.7
9,9,Sep,88.47,14.95,177.7,331.73,307.2,349.72,27.38,26.1,28.5,74.24,65.0,84.0,21.1,37.6
10,10,Oct,152.71,44.85,273.05,325.56,284.4,353.92,27.48,26.05,28.85,77.04,67.5,86.0,21.0,37.2
11,11,Nov,228.68,153.1,273.9,281.05,257.52,323.0,26.9,25.9,28.1,82.15,76.0,88.0,22.0,35.8
12,12,Dec,270.51,185.8,360.3,264.65,231.09,287.01,26.48,25.4,27.7,83.52,77.0,89.0,22.2,35.0
