month,day,avg_accumulated_precipitation,years_sampled
1,1,13.27,16
1,2,20.02,16
1,3,29.09,16
1,4,38.98,16
1,5,49.46,16
1,6,58.72,16
1,7,67.12,16
1,8,76.75,16
1,9,91.14,16
1,10,102.64,16
1,11,109.65,16
1,12,119.49,16
1,13,130.11,16
1,14,139.46,16
1,15,146.77,16
1,16,152.47,16
1,17,158.78,16
1,18,172.38,16
1,19,182.66,16
1,20,192.26,16
1,21,201.69,16
1,22,209.76,16
1,23,218.81,16
1,24,231.22,16
1,25,240.91,16
1,26,247.72,16
1,27,257.57,16
1,28,271.62,16
1,29,282.21,16
1,30,291.55,16
1,31,300.79,16
2,1,314.8,16
2,2,324.59,16
2,3,338.48,16
2,4,348.37,16
2,5,358.48,16
2,6,368.21,16
2,7,377.94,16
2,8,390.67,16
2,9,400.58,16
2,10,413.03,16
2,11,422.78,16
2,12,433.56,16
2,13,443.12,16
2,14,453.22,16
2,15,462.21,16
2,16,473.11,16
2,17,484.42,16
2,18,493.66,16
2,19,505.13,16
2,20,513.2,16
2,21,519.62,16
2,22,527.56,16
2,23,541.04,16
2,24,551.16,16
2,25,561.96,16
2,26,571.94,16
2,27,578.89,16
2,28,591.51,16
2,29,594.66,4
3,1,607.77,16
3,2,618.74,16
3,3,627.51,16
3,4,637.38,16
3,5,646.49,16
3,6,655.52,16
3,7,663.57,16
3,8,672.36,16
3,9,680.63,16
3,10,689.61,16
3,11,700.28,16
3,12,708.46,16
3,13,714.63,16
3,14,721.64,16
3,15,729.81,16
3,16,737.79,16
3,17,747.76,16
3,18,754.06,16
3,19,761.24,16
3,20,770.11,16
3,21,778.25,16
3,22,785.39,16
3,23,791.64,16
3,24,798.72,16
3,25,807.22,16
3,26,815.4,16
3,27,825.53,16
3,28,833.17,16
3,29,840.21,16
3,30,847.9,16
3,31,854.76,16
4,1,865.06,16
4,2,873.33,16
4,3,882.26,16
4,4,890.02,16
4,5,896.44,16
4,6,904.84,16
4,7,911.87,16
4,8,918.35,16
4,9,925.58,16
4,10,932.13,16
4,11,942.56,16
4,12,951.23,16
4,13,957.44,16
4,14,963.14,16
4,15,971.11,16
4,16,977.93,16
4,17,985.41,16
4,18,993.46,16
4,19,999.59,16
4,20,1005.04,16
4,21,1015.9,16
4,22,1021.73,16
4,23,1026.83,16
4,24,1034.01,16
4,25,1041.41,16
4,26,1050.24,16
4,27,1058.45,16
4,28,1063.55,16
4,29,1069.04,16
4,30,1078.33,16
5,1,1083.42,16
5,2,1087.71,16
5,3,1093.83,16
5,4,1101.51,16
5,5,1106.93,16
5,6,1112.89,16
5,7,1118.72,16
5,8,1124.51,16
5,9,1128.35,16
