calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,27.36,2.75,65.7,296.39,276.23,316.02,10.76,8.55,12.85,72.96,59.0,84.0,-1.4,22.6
2,2,Feb,38.36,8.9,70.55,286.92,267.36,301.67,12.89,10.3,15.3,70.85,57.0,83.0,1.2,24.4
3,3,Mar,50.99,26.15,88.2,327.28,309.23,343.96,16.48,13.5,19.2,64.06,48.0,81.0,2.4,30.2
4,4,Apr,74.07,17.45,150.35,340.79,322.76,362.3,19.72,17.0,22.7,60.3,39.0,85.0,8.2,31.5
5,5,May,205.86,84.4,304.3,344.73,305.96,377.0,20.87,18.8,23.1,75.83,54.5,89.0,11.7,31.8
6,6,Jun,450.61,309.95,674.05,285.5,226.38,334.19,22.56,21.5,23.8,85.85,76.0,94.0,15.8,30.6
7,7,Jul,854.49,565.0,1204.3,205.72,139.52,280.94,22.63,21.85,23.4,91.45,87.0,96.0,18.4,29.9
8,8,Aug,687.46,453.25,922.65,228.63,176.33,279.64,22.51,21.8,23.2,90.98,87.0,95.0,17.2,30.5
9,9,Sep,420.59,238.05,567.75,255.17,210.6,309.29,21.64,20.6,22.5,89.55,85.0,94.0,15.1,30.6
10,10,Oct,101.81,37.7,224.7,303.68,272.45,330.93,18.84,16.6,20.9,81.85,71.5,90.0,9.3,28.6
11,11,Nov,11.95,3.15,17.45,290.56,281.78,298.03,15.33,13.49,16.91,76.96,65.0,86.0,6.1,24.8
12,12,Dec,9.24,0.3,21.0,294.27,282.53,304.22,12.16,10.0,14.45,73.94,60.0,85.0,0.5,22.1
