month,day,avg_accumulated_precipitation,years_sampled
1,1,1.16,16
1,2,3.32,16
1,3,5.45,16
1,4,6.22,16
1,5,6.31,16
1,6,6.49,16
1,7,7.21,16
1,8,8.06,16
1,9,9.31,16
1,10,10.58,16
1,11,11.24,16
1,12,12.52,16
1,13,13.09,16
1,14,13.14,16
1,15,13.43,16
1,16,14.99,16
1,17,17.23,16
1,18,19.71,16
1,19,20.6,16
1,20,21.64,16
1,21,22.0,16
1,22,22.08,16
1,23,22.94,16
1,24,23.32,16
1,25,24.48,16
1,26,24.99,16
1,27,26.02,16
1,28,26.29,16
1,29,26.53,16
1,30,27.01,16
1,31,27.36,16
2,1,27.82,16
2,2,27.96,16
2,3,28.03,16
2,4,29.64,16
2,5,31.16,16
2,6,31.67,16
2,7,32.64,16
2,8,36.57,16
2,9,38.83,16
2,10,38.89,16
2,11,39.04,16
2,12,39.72,16
2,13,39.99,16
2,14,41.09,16
2,15,43.58,16
2,16,49.53,16
2,17,52.04,16
2,18,53.11,16
2,19,53.56,16
2,20,54.01,16
2,21,54.73,16
2,22,55.72,16
2,23,56.35,16
2,24,57.61,16
2,25,59.66,16
2,26,61.46,16
2,27,63.11,16
2,28,65.11,16
2,29,65.72,4
3,1,68.2,16
3,2,70.97,16
3,3,73.4,16
3,4,74.21,16
3,5,74.64,16
3,6,75.04,16
3,7,76.08,16
3,8,77.06,16
3,9,77.99,16
3,10,79.52,16
3,11,81.66,16
3,12,81.94,16
3,13,83.74,16
3,14,85.67,16
3,15,87.31,16
3,16,88.68,16
3,17,89.94,16
3,18,91.88,16
3,19,93.99,16
3,20,95.84,16
3,21,98.23,16
3,22,99.36,16
3,23,100.72,16
3,24,101.41,16
3,25,102.81,16
3,26,104.36,16
3,27,105.72,16
3,28,107.87,16
3,29,109.21,16
3,30,112.84,16
3,31,116.71,16
4,1,118.55,16
4,2,120.07,16
4,3,121.61,16
4,4,123.74,16
4,5,125.27,16
4,6,127.77,16
4,7,130.57,16
4,8,131.41,16
4,9,132.72,16
4,10,134.86,16
4,11,137.09,16
4,12,138.67,16
4,13,142.09,16
4,14,143.77,16
4,15,145.66,16
4,16,147.16,16
4,17,151.46,16
4,18,153.95,16
4,19,157.21,16
4,20,159.66,16
4,21,162.85,16
4,22,167.71,16
4,23,170.09,16
4,24,172.97,16
4,25,175.24,16
4,26,177.89,16
4,27,179.61,16
4,28,182.39,16
4,29,186.15,16
4,30,190.78,16
5,1,196.27,16
5,2,200.27,16
5,3,203.43,16
5,4,209.86,16
5,5,216.75,16
5,6,223.89,16
5,7,228.19,16
5,8,231.18,16
5,9,235.7,16
5,10,239.87,16
5,11,244.49,16
5,12,249.1,16
5,13,253.68,16
5,14,259.31,16
5,15,263.79,16
5,16,267.72,16
5,17,275.41,16
5,18,281.64,16
5,19,287.36,16
5,20,297.68,16
5,21,302.52,16
5,22,307.51,16
5,23,319.72,16
5,24,327.1,16
5,25,332.12,16
5,26,339.12,16
5,27,350.57,16
5,28,368.36,16
5,29,376.97,16
5,30,389.02,16
5,31,396.64,16
6,1,403.01,16
6,2,411.13,16
6,3,412.8,16
6,4,416.89,16
6,5,426.17,16
6,6,434.01,16
6,7,441.57,16
6,8,449.14,16
6,9,455.84,16
6,10,464.9,16
6,11,472.69,16
6,12,482.07,16
6,13,493.49,16
6,14,510.96,16
6,15,526.81,16
6,16,549.51,16
6,17,565.69,16
6,18,579.51,16
6,19,598.97,16
6,20,613.72,16
6,21,629.73,16
6,22,653.58,16
6,23,671.97,16
6,24,703.02,16
6,25,729.02,16
6,26,752.3,16
6,27,774.36,16
6,28,797.06,16
6,29,823.31,16
6,30,847.25,16
7,1,896.92,16
7,2,944.21,16
7,3,964.27,16
7,4,989.99,16
7,5,1025.22,16
7,6,1056.36,16
7,7,1077.23,16
7,8,1099.61,16
7,9,1123.04,16
7,10,1161.39,16
7,11,1200.84,16
7,12,1243.88,16
7,13,1264.57,16
7,14,1291.49,16
7,15,1322.12,16
7,16,1348.31,16
7,17,1373.52,16
7,18,1395.88,16
7,19,1426.84,16
7,20,1458.45,16
7,21,1479.94,16
7,22,1500.34,16
7,23,1526.0,16
7,24,1553.41,16
7,25,1576.09,16
7,26,1597.25,16
7,27,1616.54,16
7,28,1643.58,16
7,29,1665.86,16
7,30,1686.48,16
7,31,1701.74,16
8,1,1720.38,16
8,2,1748.82,16
8,3,1780.18,16
8,4,1795.29,16
8,5,1818.16,16
8,6,1839.71,16
8,7,1863.84,16
8,8,1884.43,16
8,9,1906.24,16
8,10,1923.26,16
8,11,1943.66,16
8,12,1969.38,16
8,13,2006.94,16
8,14,2039.68,16
8,15,2071.12,16
8,16,2092.72,16
8,17,2114.72,16
8,18,2137.51,16
8,19,2157.29,16
8,20,2181.07,16
8,21,2198.44,16
8,22,2215.68,16
8,23,2249.14,16
8,24,2266.66,16
8,25,2284.86,16
8,26,2304.71,16
8,27,2327.0,16
8,28,2346.29,16
8,29,2358.86,16
8,30,2372.91,16
8,31,2389.21,16
9,1,2410.54,16
9,2,2423.27,16
